DateTime,AddedIPs,RemovedIPs
1526908443,10,14
1526912053,5,14
1526915669,14,9
1526919283,9,14
1526922837,26,15
1526926464,15,7
1526930079,3,11
1526933620,10,2
1526937259,8,17
1526940853,13,10
1526944450,4,4
1526948066,30,13
1526951652,6,18
1526955257,25,11
1526958885,4,14
1526962414,17,13
1526966025,11,4
1526969639,3,10
1526973240,7,1
1526976844,15,13
1526980424,16,8
1526984007,5,6
1526987677,7,6
1526991283,3,14
1526994859,7,22
1526998471,11,10
1527002046,8,27
1527005634,37,15
1527009273,4,1
1527012850,14,4
1527016419,5,2
1527020055,5,46
1527023631,20,12
1527027218,26,9
1527030873,3,4
1527034474,34,7
1527038013,10,5
1527041610,11,11
1527045230,14,11
1527048823,5,16
1527052449,6,14
1527056042,10,12
1527059624,5,42
1527063218,41,10
1527066834,11,6
1527070424,13,4
1527074056,3,9
1527077617,15,14
1527081241,12,11
1527084785,9,20
1527088428,17,3
1527092038,5,16
1527095611,11,11
1527099229,8,10
1527102849,9,27
1527106432,12,11
1527110013,23,15
1527113639,7,5
1527117265,8,15
1527120835,33,9
1527124470,8,30
1527128008,16,9
1527131642,5,44
1527135181,19,8
1527138824,30,4
1527142425,2,13
1527145989,5,5
1527149619,9,11
1527153234,8,27
1527156824,18,2
1527160396,32,9
1527164005,11,7
1527167592,16,6
1527171203,14,7
1527174833,5,14
1527178396,18,11
1527182031,4,5
1527185601,4,10
1527189197,18,6
1527192823,3,30
1527196402,11,7
1527199997,6,6
1527203642,4,47
1527207255,81,7
1527210887,7,3
1527214455,3,13
1527218067,5,29
1527221607,15,19
1527225272,6,10
1527228816,10,5
1527232422,13,8
1527236019,8,10
1527239629,12,4
1527243225,9,10
1527246832,10,4
1527250423,2,7
1527254053,1,12
1527257669,5,8
1527261243,5,18
1527264806,20,6
1527268433,4,5
1527272050,12,1
1527275669,1,7
1527279203,11,11
1527282836,9,3
1527286433,10,9
1527290081,1,7
1527293639,22,26
1527297228,24,9
1527300828,11,6
1527304453,5,24
1527308076,3,9
1527311626,10,14
1527315224,8,23
1527318797,12,8
1527322425,10,6
1527325995,15,23
1527329655,3,12
1527333224,6,5
1527336868,9,15
1527340455,14,40
1527344050,8,15
1527347665,8,16
1527351189,64,2
1527354867,6,6
1527358431,17,4
1527362029,8,2
1527365651,10,8
1527369270,10,5
1527372840,5,7
1527376453,10,13
1527380051,23,22
1527383640,22,9
1527387248,20,3
1527390836,5,30
1527394471,2,3
1527398028,1,6
1527401611,9,11
1527405281,5,10
1527408850,6,2
1527412435,8,13
1527416023,6,14
1527419645,15,5
1527423225,4,6
1527426837,18,11
1527430430,6,5
1527434052,13,5
1527437670,1,4
1527441233,6,9
1527445525,8,6
1527448998,4,3
1527452175,5,1
1527455656,3,3
1527459232,3,9
1527462852,5,16
1527466449,25,13
