DateTime,AddedIPs,RemovedIPs
1527709715,90,121
1527711609,1005,105
1527713527,3659,99
1527715450,2919,112
1527717368,316,115
1527719286,257,97
1527721259,98,85
1527723168,88,134
1527725060,86,99
1527726977,289,180
1527728904,96,131
1527730818,64,1192
1527732742,70,108
1527734676,70,85
1527736576,228,129
1527738499,300,129
1527740418,75,535
1527742353,100,140
1527744264,93,119
1527746188,84,118
1527748130,108,157
1527750050,112,151
1527751948,75,138
1527753876,94,145
1527755786,83,156
1527757703,86,159
1527759619,74,124
1527761554,139,122
1527763491,101,117
1527765381,94,123
1527767301,173,118
1527769241,119,130
1527771160,82,106
1527773058,132,128
1527774981,108,117
1527776895,102,116
1527778830,126,104
1527780782,98,91
1527782661,130,135
1527784619,218,160
1527786532,264,85
1527788457,197,117
1527790492,201,152
1527792301,119,131
1527794173,92,177
1527796131,90,88
1527798013,87,1220
1527799952,98,3746
1527801871,79,2886
1527803792,143,254
1527806002,255,171
1527807869,83,78
1527809817,79,97
1527811708,62,100
1527813625,107,311
1527815556,92,95
1527817492,92,82
1527819387,103,1044
1527821325,81,75
1527823221,281,275
1527825164,426,278
1527827070,128,96
1527829011,363,114
1527830907,107,92
1527832861,104,85
1527834770,1363,234
1527836667,348,105
1527838601,105,90
1527840520,97,102
1527842450,100,104
1527844361,307,87
1527846306,153,92
1527848187,125,128
1527850109,195,102
1527852038,186,98
1527853947,593,214
1527855867,121,117
1527857833,124,104
1527859700,125,169
1527861659,92,104
1527863563,191,117
1527865466,275,135
1527867402,260,95
1527869342,199,139
1527871226,107,243
1527873080,137,243
1527875059,138,259
1527876969,90,280
1527878907,107,136
1527880809,93,83
1527882730,575,86
1527884670,875,81
1527886572,75,94
1527888489,88,75
1527890440,67,175
1527892335,102,232
1527894542,117,109
1527896432,80,76
1527898397,161,67
1527900303,397,98
1527902241,316,84
1527904144,76,91
1527906074,97,113
1527907989,114,74
1527909919,90,266
1527911820,107,346
1527916432,653,450
1527918671,122,111
1527921128,158,1009
1527923305,51,291
1527926018,0,0
1527928509,167,136
1527930852,109,336
1527933067,99,166
1527935209,164,146
1527937865,148,196
1527940227,102,583
1527942637,125,145
1527944962,321,157
1527947201,70,296
1527949059,213,109
1527951385,107,333
1527953712,1657,324
1527956400,103,340
1527958690,135,289
1527961190,124,387
1527963552,222,120
1527965960,112,116
1527968414,153,111
1527970732,120,1266
1527972874,109,93
1527974850,122,94
1527977281,107,98
1527979835,106,138
1527981991,38,196
1527984231,0,95
1527986635,82,78
1527988965,99,94
1527991395,107,102
1527993816,0,132
1527996215,130,128
1527998605,96,475
1528001071,64,139
1528003372,85,135
1528005402,76,122
1528007355,172,145
1528009246,370,73
1528011135,397,87
1528013055,361,117
1528014987,402,79
1528016894,313,97
1528018836,357,102
1528020738,288,99
1528022651,276,82
1528024479,108,127
1528026486,171,110
1528028301,108,91
1528030337,112,163
1528032253,135,219
1528034173,214,78
1528036096,93,485
1528038032,110,427
1528039937,113,1665
1528041866,719,81
1528043766,260,89
1528045694,100,104
1528047695,87,96
1528049539,107,158
1528051496,76,110
1528053388,85,132
1528055329,99,88
1528057215,174,104
1528059181,192,96
1528061058,247,88
1528063002,317,66
1528064909,132,96
1528067775,194,132
1528069692,79,91
1528071618,1606,97
1528073534,2033,57
1528075450,1279,98
1528077377,58,63
1528079298,61,110
1528082228,115,170
1528084104,81,65
1528086044,87,69
1528087938,109,68
1528089892,135,67
1528091766,299,81
1528093718,260,135
1528095643,101,304
1528097568,304,353
1528099458,3571,365
1528101437,1381,341
1528103291,91,241
1528105256,86,283
1528107142,68,267
1528109085,80,253
1528110975,90,118
1528112914,77,144
1528114827,99,124
1528116778,95,102
1528118669,87,131
1528120535,83,81
1528122496,145,95
1528124487,117,122
1528126332,158,116
1528128323,117,1106
1528130179,123,332
1528132128,133,101
1528134040,73,75
1528135946,144,106
1528137862,117,88
1528139799,340,82
1528141704,153,96
1528143625,1422,166
1528145559,145,185
1528147470,301,187
1528149379,309,281
1528151320,233,189
1528153257,125,197
1528155137,234,86
1528157058,164,594
1528158992,106,1920
1528160901,72,1647
1528162813,61,425
1528164743,91,58
1528166664,95,49
1528168579,83,77
1528170531,62,83
1528172423,351,84
1528174339,71,191
1528176273,76,83
1528178175,79,77
1528180398,94,303
1528182261,79,78
1528184172,108,93
1528186097,148,4712
1528188013,221,845
1528189936,249,87
1528191861,209,81
1528193774,328,86
1528195691,430,69
