DateTime,Entries,UniqueIPs
1527773058,17365,17365
1527774981,17356,17356
1527776895,17342,17342
1527778830,17364,17364
1527780782,17371,17371
1527782661,17366,17366
1527784619,17424,17424
1527786532,17603,17603
1527788457,17683,17683
1527790492,17732,17732
1527792301,17720,17720
1527794173,17635,17635
1527796131,17637,17637
1527798013,16504,16504
1527799952,12856,12856
1527801871,10049,10049
1527803792,9938,9938
1527806002,10022,10022
1527807869,10027,10027
1527809817,10009,10009
1527811708,9971,9971
1527813625,9767,9767
1527815556,9764,9764
1527817492,9774,9774
1527819387,8833,8833
1527821325,8839,8839
1527823221,8845,8845
1527825164,8993,8993
1527827070,9025,9025
1527829011,9274,9274
1527830907,9289,9289
1527832861,9308,9308
1527834770,10437,10437
1527836667,10680,10680
1527838601,10695,10695
1527840520,10690,10690
1527842450,10686,10686
1527844361,10906,10906
1527846306,10967,10967
1527848187,10964,10964
1527850109,11057,11057
1527852038,11145,11145
1527853947,11524,11524
1527855867,11528,11528
1527857833,11548,11548
1527859700,11504,11504
1527861659,11492,11492
1527863563,11566,11566
1527865466,11706,11706
1527867402,11871,11871
1527869342,11931,11931
1527871226,11795,11795
1527873080,11689,11689
1527875059,11568,11568
1527876969,11378,11378
1527878907,11349,11349
1527880809,11359,11359
1527882730,11848,11848
1527884670,12642,12642
1527886572,12623,12623
1527888489,12636,12636
1527890440,12528,12528
1527892335,12398,12398
1527894542,12406,12406
1527896432,12410,12410
1527898397,12504,12504
1527900303,12803,12803
1527902241,13035,13035
1527904144,13020,13020
1527906074,13004,13004
1527907989,13044,13044
1527909919,12868,12868
1527911820,12629,12629
1527916432,12832,12832
1527918671,12843,12843
1527921128,11992,11992
1527923305,11752,11752
1527923305,11752,11752
1527926018,11752,11752
1527926018,11752,11752
1527928509,11783,11783
1527930852,11556,11556
1527930852,11556,11556
1527933067,11489,11489
1527933067,11489,11489
1527935209,11507,11507
1527935209,11507,11507
1527937865,11459,11459
1527937865,11459,11459
1527940227,10978,10978
1527940227,10978,10978
1527942637,10958,10958
1527942637,10958,10958
1527944962,11122,11122
1527944962,11122,11122
1527947201,10896,10896
1527947201,10896,10896
1527949059,11000,11000
1527949059,11000,11000
1527951385,10774,10774
1527951385,10774,10774
1527953712,12107,12107
1527953712,12107,12107
1527956400,11870,11870
1527956400,11870,11870
1527958690,11716,11716
1527958690,11716,11716
1527961190,11453,11453
1527961190,11453,11453
1527963552,11555,11555
1527963552,11555,11555
1527965960,11551,11551
1527965960,11551,11551
1527968414,11593,11593
1527968414,11593,11593
1527970732,10447,10447
1527970732,10447,10447
1527972874,10463,10463
1527972874,10463,10463
1527974850,10491,10491
1527974850,10491,10491
1527977281,10500,10500
1527977281,10500,10500
1527979835,10468,10468
1527979835,10468,10468
1527981991,10310,10310
1527984231,10491,10491
1527984231,10491,10491
1527986635,10495,10495
1527986635,10495,10495
1527988965,10500,10500
1527988965,10500,10500
1527991395,10505,10505
1527991395,10505,10505
1527993816,10486,10486
1527993816,10486,10486
1527996215,10488,10488
1527996215,10488,10488
1527998605,10109,10109
1527998605,10109,10109
1528001071,10034,10034
1528001071,10034,10034
1528003372,9984,9984
1528003372,9984,9984
1528005402,9938,9938
1528007355,9965,9965
1528009246,10262,10262
1528011135,10572,10572
1528013055,10816,10816
1528014987,11139,11139
1528016894,11355,11355
1528018836,11610,11610
1528020738,11799,11799
1528022651,11993,11993
1528024479,11974,11974
1528026486,12035,12035
1528028301,12052,12052
1528030337,12001,12001
1528032253,11917,11917
1528034173,12053,12053
1528036096,11661,11661
1528038032,11344,11344
1528039937,9792,9792
1528041866,10430,10430
1528043766,10601,10601
1528045694,10597,10597
1528047695,10588,10588
1528049539,10537,10537
1528051496,10503,10503
1528053388,10456,10456
1528055329,10467,10467
1528057215,10537,10537
1528059181,10633,10633
1528061058,10792,10792
1528063002,11043,11043
1528064909,11079,11079
1528067775,11141,11141
1528069692,11129,11129
1528071618,12638,12638
1528073534,14614,14614
1528075450,15795,15795
1528077377,15790,15790
1528079298,15741,15741
1528082228,15686,15686
1528084104,15702,15702
1528086044,15720,15720
1528087938,15761,15761
1528089892,15829,15829
1528091766,16047,16047
1528093718,16172,16172
1528095643,15969,15969
1528097568,15920,15920
1528099458,19126,19126
1528101437,20166,20166
1528103291,20016,20016
1528105256,19819,19819
1528107142,19620,19620
1528109085,19447,19447
1528110975,19419,19419
1528112914,19352,19352
1528114827,19327,19327
1528116778,19320,19320
1528118669,19276,19276
1528120535,19278,19278
1528122496,19328,19328
1528124487,19323,19323
1528126332,19365,19365
1528128323,18376,18376
1528130179,18167,18167
1528132128,18199,18199
1528134040,18197,18197
1528135946,18235,18235
1528137862,18264,18264
1528139799,18522,18522
1528141704,18579,18579
1528143625,19835,19835
1528145559,19795,19795
1528147470,19909,19909
1528149379,19937,19937
1528151320,19981,19981
1528153257,19909,19909
1528155137,20057,20057
1528157058,19627,19627
1528158992,17813,17813
1528160901,16238,16238
1528162813,15874,15874
1528164743,15907,15907
1528166664,15953,15953
1528168579,15959,15959
1528170531,15938,15938
1528172423,16205,16205
1528174339,16085,16085
1528176273,16078,16078
1528178175,16080,16080
