DateTime,AddedIPs,RemovedIPs
1522045044,3,0
1522056547,1,0
1522058527,1,0
1522074998,1,0
1522082674,1,0
1522096105,3,0
1522100290,1,1
1522123959,0,1
1522125878,1,0
1522131854,0,3
1522139552,1,0
1522141471,1,0
1522145320,1,1
1522147938,1,0
1522160196,1,0
1522162115,1,1
1522168100,0,1
1522171949,1,0
1522173885,1,0
1522181560,1,3
1522185395,2,0
1522209937,1,0
1522211983,0,1
1522215486,1,0
1522226652,0,1
1522238697,0,3
1522241087,0,6
1522244675,7,0
1522247819,0,3
1522253617,0,1
1522276481,0,6
1522300107,0,1
1522302032,0,1
1523307085,0,0
1524974197,1,0
1525061308,0,1
1526322766,12,0
1526324681,0,1
1526326614,0,1
1526331052,1,0
1526333067,0,1
1526334899,2,0
1526338775,0,1
1526350838,1,0
1526358528,1,1
1526364762,0,1
1526366686,0,1
1526368831,0,1
1526370761,2,0
1526397402,0,1
1526399289,0,1
1526403386,1,1
1526417812,1,1
1526421731,0,2
1526431483,1,0
1526433400,1,0
1526437241,0,1
1526444918,0,1
1526456436,1,1
1526458341,0,1
1526469872,1,0
1526489302,0,1
1526502746,0,1
1526517636,0,1
1526519561,0,1
1526521457,1,0
1526523408,1,0
1526529160,1,0
1526544528,0,1
1526546437,1,0
1526548363,1,0
1526550265,1,0
1526557955,1,1
1526560100,0,1
1526562084,1,0
1526564200,1,0
1526581704,1,0
1526592757,1,0
1526594687,1,0
1526596575,1,0
1526602351,1,0
1526608113,0,1
1526610031,0,1
1526611964,2,0
1526615803,2,1
1526633073,0,1
1526635000,0,1
1526636928,1,1
1526638830,2,0
1526649380,0,1
1526665451,1,0
1526667573,1,1
1526674590,1,1
1526676510,1,0
1526678418,0,2
1526682276,0,2
1526684166,1,0
1526689964,1,1
1526697887,0,2
1526701722,0,1
1526703624,0,1
1526709429,1,0
1526713291,1,0
1526720930,1,0
1526722840,0,1
1526724750,0,1
1526736522,1,0
1526738463,0,1
1526752026,0,1
1526754026,0,1
1526761688,0,1
1526763875,0,1
1526769576,1,0
1526771570,1,0
1526777317,0,1
1526783074,1,0
1526796767,0,1
1526798664,1,0
1526800585,0,1
1526808285,1,1
1526814089,1,0
1526821980,0,1
1526827696,1,0
1526843086,1,0
1526857489,0,2
1526859383,1,0
1526867289,1,0
1526869157,0,1
1526873020,1,0
1526884834,1,1
1526888677,1,0
1526892564,1,1
1526894425,0,1
1526898301,1,0
1526900222,0,1
1526913853,0,1
1526925676,1,0
1526927576,1,0
1526929497,0,1
1526934686,1,0
1526938823,1,0
1526945092,0,1
1526952770,0,1
1526958567,0,1
1526970542,1,1
1526974620,0,1
1526976533,1,0
1526978444,0,1
1526982293,1,0
1526986123,0,1
1526994289,1,0
1526996718,1,0
1527004367,1,0
1527010125,2,1
1527014219,0,1
1527019978,1,0
1527021895,0,1
1527024187,0,1
1527026081,2,0
1527031969,1,0
1527055264,1,0
1527057164,0,1
1527059089,1,0
1527062936,0,1
1527066775,1,0
1527068694,0,1
1527079726,0,1
1527090506,0,1
1527092425,1,0
