DateTime,AddedIPs,RemovedIPs
1527692185,4,3
1527694091,4,30
1527696060,2,4
1527698211,7,22
1527700022,5,19
1527702007,4,3
1527703935,3,10
1527705854,7,2
1527707769,5,12
1527709716,7,3
1527711610,5,16
1527713527,2,2
1527715451,2,14
1527717368,4,1
1527719287,1,10
1527723169,2,5
1527725060,4,6
1527726977,2,70
1527728904,3,11
1527730819,3,2
1527732743,3,10
1527734677,4,2
1527736577,1,12
1527738500,68,1
1527740419,3,10
1527742354,2,1
1527744265,1,14
1527746188,2,1
1527748131,1,11
1527750082,2,2
1527751949,0,12
1527753877,3,10
1527755787,3,2
1527757704,1,11
1527759620,3,2
1527761554,3,15
1527763492,4,1
1527765382,0,17
1527767302,3,4
1527769242,3,9
1527771161,2,5
1527773059,4,18
1527774982,0,2
1527776895,20,14
1527778840,0,2
1527780783,12,3
1527782662,14,2
1527784620,3,7
1527786533,9,5
1527788458,1,4
1527790492,13,4
1527792302,4,6
1527794174,12,5
1527796132,4,7
1527798014,11,6
1527799952,0,2
1527801872,7,2
1527803792,2,4
1527806002,14,1
1527807869,11,0
1527809818,3,5
1527811709,4,2
1527813626,3,2
1527815556,14,2
1527817493,2,1
1527819388,6,4
1527821325,2,3
1527823222,10,1
1527825164,2,68
1527827071,8,3
1527829012,2,2
1527830908,7,2
1527832891,1,1
1527834770,8,2
1527836668,11,2
1527840521,8,2
1527842451,3,2
1527844362,5,1
1527846307,1,3
1527848188,14,4
1527850110,1,3
1527852039,9,1
1527853948,2,2
1527855867,18,3
1527857833,4,2
1527859700,14,4
1527861690,4,1
1527863564,14,16
1527865467,14,8
1527867403,0,3
1527869343,15,16
1527871227,2,3
1527873081,22,11
1527875060,4,0
1527876970,6,14
1527878908,1,5
1527880809,12,10
1527882731,2,4
1527884670,10,10
1527886572,1,0
1527888489,10,8
1527890460,2,3
1527892336,11,11
1527894543,15,13
1527896433,1,3
1527898398,8,3
1527900304,4,4
1527902241,6,13
1527904144,2,2
1527906075,10,6
1527907990,6,2
1527909920,8,10
1527911820,0,3
1527914404,0,35
1527916433,44,7
1527918672,2,1
1527921129,9,7
1527923307,0,40
1527928510,51,11
1527930852,15,5
1527933068,2,1
1527935210,8,13
1527937866,14,10
1527940228,0,50
1527942638,69,16
1527944963,14,13
1527947202,0,5
1527949060,16,16
1527951386,1,2
1527953713,14,12
1527956401,10,15
1527958691,0,46
1527961190,65,27
1527963553,78,8
1527965961,1,2
1527968415,24,15
1527970733,16,10
1527972875,3,1
1527974851,420,0
1527977282,16,12
1527979836,4,4
1527981992,0,141
1527984232,167,7
1527986636,4,2
1527988966,12,8
1527991396,13,11
1527993817,3,6
1527996216,9,9
1527998607,12,7
1528001072,2,1
1528003373,6,11
1528005402,1,2
1528007356,7,7
1528009255,3,3
1528011135,7,9
1528013056,14,11
1528014988,1,1
1528016894,11,14
1528018837,3,4
1528020739,2,5
1528022651,2,0
1528024479,10,15
1528026486,4,1
1528028302,10,17
1528030337,1,4
1528032254,12,15
1528034174,4,0
1528036097,14,14
1528038067,6,1
1528039938,18,13
1528041867,9,13
1528043767,2,2
1528045695,14,17
1528047696,2,5
1528049539,29,78
1528051497,2,1
1528053389,16,18
1528055329,6,5
1528057215,8,13
1528059182,3,3
1528061058,11,20
1528063003,2,1
1528064910,13,16
1528067776,13,24
1528069693,1,3
1528071619,13,19
1528073534,3,1
1528075451,12,15
1528077378,5,2
1528079299,16,13
1528082229,13,8
1528084105,3,1
1528086044,11,11
1528087938,0,2
1528089892,11,6
1528091766,0,1
1528093719,10,6
1528095679,1,5
1528097570,9,11
1528099458,5,12
1528101438,2,4
1528103292,15,8
1528105257,2,3
1528107143,17,3
1528109086,6,1
1528110976,12,10
1528112914,2,4
1528114827,10,10
1528116778,3,1
1528118670,15,12
1528120536,4,4
1528122497,14,16
1528124492,1,5
1528126333,17,19
1528128324,10,12
1528130180,7,2
1528132129,16,14
1528134041,5,1
1528135947,8,24
1528137863,1,2
1528139799,15,17
1528141704,0,7
1528143626,12,9
1528145559,0,3
1528147471,21,10
1528149380,3,2
1528151321,15,13
1528153276,1,3
1528155138,9,12
1528157058,11,9
1528158992,7,5
1528160902,5,11
1528162814,1,3
1528164744,6,17
1528166664,1,1
1528168580,13,15
1528170532,2,3
1528172424,4,11
1528174339,0,1
1528176274,11,10
1528180398,13,9
1528182262,9,7
1528184173,2,1
1528186098,14,8
1528188014,1,2
1528189937,11,14
1528191862,1,2
1528193774,18,22
1528195692,7,5
1528197621,17,11
1528199538,3,2
1528201450,17,11
1528203375,2,3
1528205298,7,12
1528208183,12,18
1528210094,1,2
1528212014,16,16
1528214324,4,3
1528216331,12,16
1528218268,12,13
1528220169,3,6
1528222089,18,9
1528224010,0,1
1528225936,12,13
1528227872,1,1
1528229792,21,11
1528231690,2,0
1528233625,14,21
1528235578,0,3
1528237481,11,13
1528239742,5,10
1528241548,1,2
1528243458,4,10
1528245377,1,6
1528247304,13,6
1528249214,0,2
1528251143,13,7
1528253065,1,1
1528254971,15,14
1528256906,2,2
1528258815,32,5
1528262666,11,10
1528264688,3,0
1528266797,15,12
1528268673,9,9
1528270582,0,4
1528272503,15,17
1528274416,1,1
1528276354,12,10
1528278278,3,2
1528280176,9,16
1528282101,3,8
1528284014,10,15
1528285945,1,2
1528287868,10,15
1528289782,4,4
1528291709,21,7
1528293645,2,1
1528295549,17,10
1528297462,19,16
1528299473,3,1
1528301331,26,15
1528303226,2,2
1528305151,13,16
1528307069,6,1
1528311701,23,32
1528313581,20,0
1528320489,53,36
1528324413,11,12
1528326772,33,5
1528331795,16,9
1528335430,9,12
1528337303,9,14
1528339227,6,1
1528341167,7,14
1528343172,1,3
1528344998,12,32
1528346900,2,0
1528348812,12,10
1528350758,0,2
1528352966,16,15
1528354862,2,1
