DateTime,AddedIPs,RemovedIPs
1527462514,1,0
1527464451,1,2
1527466346,4,1
1527468316,1,1
1527470180,0,4
1527472133,2,3
1527474020,5,2
1527475988,1,2
1527477881,1,2
1527479846,0,1
1527481697,0,2
1527483744,0,6
1527485566,0,4
1527487415,1,3
1527491312,0,1
1527493210,1,3
1527495133,1,0
1527497075,1,6
1527500896,0,2
1527502831,0,1
1527504731,1,0
1527506654,2,1
1527508589,0,1
1527510491,1,1
1527512485,1,0
1527514361,0,2
1527518172,2,0
1527520116,2,0
1527522015,2,0
1527525850,1,1
1527527793,1,0
1527531614,1,0
1527533533,1,1
1527537389,1,2
1527539290,2,2
1527541296,5,0
1527543147,1,5
1527545094,1,2
1527546990,1,1
1527548983,1,1
1527552788,2,2
1527554655,7,3
1527558513,2,1
1527560456,1,3
1527562399,1,0
1527564310,3,1
1527568134,1,0
1527570088,1,0
1527573906,0,4
1527575804,0,1
1527577728,1,0
1527579651,0,1
1527581537,1,0
1527583510,1,1
1527585386,0,1
1527587327,2,0
1527589229,0,1
1527591169,0,1
1527593057,0,2
1527594999,1,0
1527598846,1,0
1527604573,1,3
1527606537,0,1
1527608426,2,5
1527610401,0,2
1527613148,1,2
1527615137,0,2
1527617058,3,0
1527622811,1,0
1527624736,2,1
1527626674,0,3
1527628571,1,1
1527630506,1,0
1527632427,2,0
1527634331,4,0
1527636252,1,0
1527638189,3,2
1527640089,1,5
1527642094,1,1
1527643928,2,2
1527645954,2,0
1527647789,1,2
1527651608,1,1
1527655472,2,2
1527657370,1,0
1527659289,0,2
1527661212,1,1
1527663130,1,2
1527665073,1,0
1527666966,1,0
1527668889,0,2
1527672747,1,1
1527674679,1,2
1527676578,1,0
1527680585,0,1
1527682572,2,2
1527684487,0,1
1527692187,0,1
1527694093,0,1
1527696101,0,2
1527698212,0,2
1527703936,0,2
1527705855,1,0
1527707770,1,3
1527709718,1,3
1527711612,2,3
1527713529,0,1
1527715453,1,0
1527717370,2,2
1527719288,1,1
1527721310,4,2
1527723170,3,0
1527725062,0,2
1527726979,1,3
1527728906,4,1
1527730821,0,2
1527732745,1,2
1527738501,2,2
1527740421,0,2
1527742355,4,0
1527744266,1,0
1527746190,2,0
1527748132,1,2
1527750093,1,1
1527755789,1,1
1527759622,0,1
1527763493,1,1
1527769243,0,2
1527774984,1,0
1527778899,1,0
1527780785,0,1
1527784622,1,0
1527788460,1,1
1527792305,1,1
1527794176,1,0
1527796134,1,1
1527798016,1,2
1527799954,2,1
1527803794,0,2
1527806004,2,3
1527807871,2,5
1527809819,0,1
1527811710,1,0
1527813628,1,0
1527815558,2,0
1527817495,2,0
1527819389,2,1
1527821327,2,1
1527825166,0,3
1527829013,0,4
1527830909,1,1
1527832901,0,1
1527836670,0,1
1527840523,1,1
1527842452,1,2
1527844363,1,1
1527846309,3,0
1527850112,1,2
1527853949,1,0
1527857835,2,0
1527861698,1,1
1527865468,2,0
1527871229,1,1
1527873083,1,0
1527875062,1,0
1527876972,0,1
1527878910,2,0
1527880811,2,1
1527884672,1,2
1527886574,1,1
1527888491,0,1
1527890539,5,0
1527895212,1,5
1527897158,1,0
1527899054,2,2
1527902244,5,1
1527904146,1,2
1527906077,0,2
1527907992,1,3
1527916435,8,0
1527918674,0,0
1527921132,1,0
1527923313,0,0
1527926022,2,0
1527928513,4,1
1527930855,3,1
1527933071,0,2
1527935213,0,0
1527937869,1,0
1527942640,2,2
1527944965,0,2
1527947206,1,0
1527949063,1,0
1527951389,1,3
1527953716,4,1
1527956403,0,0
1527961193,4,1
1527963555,2,0
1527965963,0,3
1527968418,3,3
1527970736,3,0
1527972877,1,1
1527974853,1,0
1527977284,0,4
1527984235,2,2
1527986638,2,3
1527991398,3,3
1527993819,1,0
1527996219,1,0
1528005404,3,7
1528007358,1,2
1528011137,1,0
1528013058,1,1
1528016896,2,2
1528024481,1,0
1528026488,3,2
1528032256,2,0
1528034175,3,0
1528036099,5,1
1528038097,0,2
1528039940,1,1
1528041868,0,1
1528043769,0,1
1528045696,0,2
1528047698,2,3
1528053390,2,2
1528055331,1,4
1528057217,3,2
1528061060,3,2
1528063005,3,0
1528064912,1,1
1528066898,0,2
1528068745,1,1
1528070685,3,2
1528072568,1,0
1528074532,2,1
1528076415,1,5
1528078386,0,1
1528080254,1,1
1528082231,1,2
1528084106,3,0
1528086046,0,1
1528087940,1,0
1528097573,2,0
1528099460,0,1
1528101440,2,0
1528103293,4,1
1528105259,2,1
1528107145,1,1
1528109088,1,1
1528110978,1,3
1528112917,0,2
1528114829,1,0
1528116780,0,1
1528118672,0,2
1528120538,1,3
1528122499,1,6
1528124496,2,0
1528126335,1,1
1528134043,1,2
1528135949,4,0
1528137865,1,0
1528139802,1,1
1528141706,3,1
1528143628,7,2
1528145561,1,0
1528147473,0,3
1528149382,2,3
1528151323,2,6
1528153308,1,1
1528155140,1,1
1528157060,1,2
1528158994,0,1
1528160903,5,1
1528162816,2,0
1528164746,3,1
1528166666,1,1
1528168582,2,1
1528170534,0,1
1528172427,1,1
1528174341,0,1
1528180400,3,0
1528182264,0,1
1528184175,2,1
1528188015,2,1
1528189939,0,3
1528191864,0,1
1528195693,3,2
1528201452,1,1
1528203377,0,1
1528205300,1,0
1528207298,2,1
1528209143,1,2
1528211072,1,1
1528213493,1,0
1528215398,0,1
1528219212,0,1
1528221157,1,3
1528223056,2,2
1528226888,1,1
1528229008,1,4
1528230970,1,4
1528232904,2,2
1528234812,2,2
1528236744,3,1
1528238654,1,1
1528240571,2,1
1528242497,0,1
1528244421,2,1
1528246333,0,2
1528248266,3,2
1528250181,1,1
1528252090,1,0
1528254105,1,1
1528257861,3,2
1528259785,2,0
1528261690,1,1
1528265557,1,0
1528267769,2,1
1528269619,2,0
1528271556,0,1
1528273463,0,1
1528275387,1,2
1528279292,1,1
1528281152,0,1
1528283073,0,3
1528284993,1,1
1528286917,0,1
1528290755,2,1
1528292678,1,2
1528294578,2,2
1528296501,0,1
1528298425,0,2
1528302272,0,1
1528304175,2,0
1528306271,0,1
1528308290,2,4
1528311704,1,2
1528313583,0,0
1528320492,1,2
1528324415,0,6
