DateTime,Entries,UniqueIPs
1527740421,2601,2601
1527742355,2602,2602
1527744266,2600,2600
1527746190,2602,2602
1527748133,2565,2565
1527750093,2567,2567
1527751951,2569,2569
1527753878,2556,2556
1527755789,2552,2552
1527757706,2550,2550
1527759622,2549,2549
1527761556,2546,2546
1527763493,2544,2544
1527765384,2544,2544
1527767304,2645,2645
1527769244,2647,2647
1527771163,2645,2645
1527773061,2644,2644
1527774984,2624,2624
1527776897,2625,2625
1527778901,2623,2623
1527780785,2633,2633
1527782664,2630,2630
1527784622,2528,2528
1527786535,2529,2529
1527788460,2530,2530
1527790495,2598,2598
1527792306,2599,2599
1527794177,2554,2554
1527796134,2557,2557
1527798016,2556,2556
1527799954,2553,2553
1527801873,2552,2552
1527803794,2540,2540
1527806004,2512,2512
1527807871,2513,2513
1527809820,2510,2510
1527811711,2506,2506
1527813628,2504,2504
1527815558,2504,2504
1527817495,2502,2502
1527819389,1239,1239
1527821327,1236,1236
1527823224,1162,1162
1527825166,1399,1399
1527827072,1398,1398
1527829013,1800,1800
1527830910,1809,1809
1527832901,1811,1811
1527834772,3287,3287
1527836670,3575,3575
1527838603,3571,3571
1527840523,3576,3576
1527842453,3592,3592
1527844363,3590,3590
1527846309,3595,3595
1527848190,3597,3597
1527850112,3626,3626
1527852041,3625,3625
1527853950,3528,3528
1527855869,3530,3530
1527857835,3531,3531
1527859703,3481,3481
1527861699,3488,3488
1527863566,3490,3490
1527865469,3486,3486
1527867405,3484,3484
1527869345,3487,3487
1527871229,3488,3488
1527873084,3496,3496
1527875062,3494,3494
1527876973,3427,3427
1527878910,3424,3424
1527880812,3425,3425
1527882733,4033,4033
1527884673,4982,4982
1527886575,4977,4977
1527888492,4978,4978
1527890540,4979,4979
1527895212,4976,4976
1527897158,4978,4978
1527899055,4980,4980
1527901262,4979,4979
1527903149,4982,4982
1527905066,4981,4981
1527906978,4986,4986
1527908922,4853,4853
1527910823,4545,4545
1527916436,4662,4662
1527918675,4651,4651
1527921132,3576,3576
1527923314,3349,3349
1527923314,3349,3349
1527926023,3348,3348
1527928514,3339,3339
1527930856,3166,3166
1527930856,3166,3166
1527933071,3341,3341
1527933071,3341,3341
1527935213,3389,3389
1527935213,3389,3389
1527937869,3362,3362
1527937869,3362,3362
1527940230,3317,3317
1527942641,3319,3319
1527942641,3319,3319
1527944966,3319,3319
1527944966,3319,3319
1527947206,3243,3243
1527951389,3247,3247
1527951389,3247,3247
1527953716,3168,3168
1527953716,3168,3168
1527956404,3254,3254
1527956404,3254,3254
