DateTime,Entries,UniqueIPs
1527751951,2662,2662
1527753879,2651,2651
1527755789,2646,2646
1527757706,2644,2644
1527759622,2644,2644
1527761557,2641,2641
1527763494,2644,2644
1527765384,2644,2644
1527767304,2748,2748
1527769244,2749,2749
1527771163,2745,2745
1527773061,2743,2743
1527774984,2723,2723
1527776898,2724,2724
1527778903,2721,2721
1527780786,2733,2733
1527782664,2725,2725
1527784623,2625,2625
1527786536,2627,2627
1527788461,2612,2612
1527790495,2678,2678
1527792306,2678,2678
1527794177,2634,2634
1527796135,2637,2637
1527798017,2635,2635
1527799955,2627,2627
1527801874,2623,2623
1527803794,2615,2615
1527806005,2592,2592
1527807872,2592,2592
1527809820,2591,2591
1527811711,2590,2590
1527813628,2586,2586
1527815559,2584,2584
1527817495,2578,2578
1527819390,1316,1316
1527821327,1311,1311
1527823224,1235,1235
1527825167,1473,1473
1527827073,1470,1470
1527829014,1866,1866
1527830910,1875,1875
1527832901,1878,1878
1527834773,3351,3351
1527836671,3636,3636
1527838604,3630,3630
1527840523,3637,3637
1527842453,3654,3654
1527844364,3653,3653
1527846310,3656,3656
1527848190,3660,3660
1527850113,3688,3688
1527852041,3687,3687
1527853950,3592,3592
1527855870,3595,3595
1527857836,3596,3596
1527859703,3544,3544
1527861699,3553,3553
1527863566,3559,3559
1527865469,3559,3559
1527867406,3557,3557
1527869345,3560,3560
1527871230,3562,3562
1527873084,3569,3569
1527875062,3566,3566
1527876973,3500,3500
1527878911,3497,3497
1527880812,3497,3497
1527882734,4108,4108
1527884673,5053,5053
1527886575,5046,5046
1527888492,5047,5047
1527890541,5044,5044
1527895212,5042,5042
1527897159,5038,5038
1527899055,5040,5040
1527901281,5040,5040
1527903149,5045,5045
1527905067,5043,5043
1527906979,5049,5049
1527908923,4917,4917
1527910823,4609,4609
1527916436,4727,4727
1527918676,4716,4716
1527921133,3641,3641
1527923315,3414,3414
1527923315,3414,3414
1527926023,3413,3413
1527926023,3413,3413
1527928514,3401,3401
1527928514,3401,3401
1527930857,3402,3402
