DateTime,AddedIPs,RemovedIPs
1527698213,12,5
1527700025,5,3
1527702010,1,2
1527703937,3,8
1527705857,3,8
1527707771,10,18
1527709719,8,11
1527711613,13,9
1527713530,10,31
1527715454,1,13
1527717371,3,18
1527719289,1,8
1527721311,6,0
1527723171,5,12
1527725063,8,12
1527726980,39,6
1527728907,1,22
1527730822,1,21
1527732746,4,30
1527734679,8,20
1527736580,3,27
1527738503,3,12
1527740422,8,34
1527742356,11,23
1527744267,8,12
1527746191,3,11
1527748134,8,14
1527750094,15,9
1527751952,15,9
1527753879,6,7
1527755790,3,21
1527757707,10,10
1527759623,6,10
1527761557,15,14
1527763494,1,9
1527765384,2,9
1527767305,3,4
1527769245,7,17
1527771163,4,10
1527773061,12,10
1527774985,14,9
1527776898,13,17
1527778905,12,12
1527780786,9,6
1527782665,28,9
1527784623,9,12
1527786536,12,6
1527788461,9,1
1527790495,5,5
1527792307,13,1
1527794177,7,8
1527796135,11,5
1527798017,9,13
1527799955,6,12
1527801874,9,2
1527803795,21,2
1527806005,19,4
1527807872,13,7
1527809820,7,5
1527811711,6,15
1527813629,16,37
1527815559,17,0
1527817496,14,5
1527819390,13,5
1527821328,10,5
1527823225,17,2
1527825167,8,8
1527827073,13,15
1527829014,6,9
1527830910,5,7
1527832902,13,0
1527834773,6,8
1527836671,9,14
1527838604,10,9
1527840524,8,10
1527842453,5,5
1527844364,19,7
1527846310,16,4
1527848191,15,11
1527850113,12,1
1527852042,7,2
1527853951,13,6
1527855870,16,8
1527857836,12,5
1527859703,5,10
1527861699,5,7
1527863567,8,10
1527865470,11,11
1527867406,16,8
1527869346,11,24
1527871230,12,10
1527873085,14,8
1527875063,14,6
1527876974,11,7
1527878911,17,14
1527880812,19,8
1527882734,14,10
1527884674,14,8
1527886576,14,3
1527888493,9,7
1527890541,13,21
1527895213,26,25
1527897159,10,4
1527899056,7,12
1527901293,10,10
1527903150,11,17
1527905067,18,10
1527906979,13,8
1527908923,19,12
1527910824,16,14
1527916437,36,20
1527918676,14,15
1527921133,17,7
1527923316,7,11
1527926024,13,8
1527928515,13,7
1527930857,1,127
1527933072,139,12
1527935214,11,10
1527937870,28,12
1527940232,12,13
1527942642,10,14
1527944967,36,14
1527947207,0,159
1527949064,9,9
1527951390,183,8
1527953717,4,16
1527956405,4,13
1527958695,0,155
1527961194,152,17
1527963557,8,9
1527965964,5,25
1527968419,7,22
1527970737,7,10
1527972879,0,96
1527974855,18,17
1527984236,113,42
1527986639,4,11
1527991399,25,32
1527993820,16,16
1527996220,12,24
1527998611,2,21
1528003378,4,33
1528005405,6,17
1528007359,3,14
1528009322,3,12
1528011138,1,15
1528013059,3,12
1528014990,3,12
1528016897,4,22
1528018840,10,15
1528020742,0,12
1528022654,15,16
1528024482,16,26
1528026489,10,15
1528028305,12,9
1528030340,7,43
1528032257,2,4
1528034176,1,17
1528036100,7,13
1528038098,9,11
1528039941,1,2
1528041869,5,1
1528043770,9,8
1528045697,4,6
1528047699,6,1
1528049542,8,4
1528051499,9,7
1528053391,2,4
1528055332,6,11
1528057218,1,4
1528059185,6,11
1528061061,2,11
1528063006,5,6
1528064913,27,11
1528066905,22,9
1528068746,14,7
1528070686,15,7
1528072569,20,4
1528074533,13,10
1528076416,14,10
1528078387,2,20
1528080255,3,13
1528082232,4,12
1528084107,11,3
1528086048,11,0
1528087941,1,1
1528089896,3,4
1528091769,2,3
1528093722,3,4
1528095700,7,2
1528097575,9,5
1528099462,7,5
1528101441,4,2
1528103295,2,2
1528105260,11,5
1528107146,5,5
1528109090,3,13
1528110979,1,23
1528112918,5,9
1528114830,3,15
1528116781,3,7
1528118673,4,2
1528120539,3,1
1528122500,8,7
1528124497,11,9
1528126336,1,1
1528128327,2,6
1528130184,14,11
1528132132,5,3
1528134044,3,7
1528135950,4,8
1528137866,0,12
1528139803,4,1
1528141707,4,7
1528143630,1,2
1528145563,2,7
1528147474,2,4
1528149384,1,4
1528151325,4,29
1528153310,2,20
1528155142,0,18
1528157062,4,17
1528158996,1,21
1528160905,9,21
1528162817,5,16
1528164747,8,5
1528166667,7,3
1528168583,6,4
1528170535,1,12
1528172429,2,10
1528174343,2,3
1528176278,4,8
1528178179,10,1
1528180402,7,4
1528182265,2,9
1528184177,7,11
1528186101,11,5
1528188016,12,6
1528189940,5,5
1528191865,2,11
1528193777,5,7
1528195694,3,3
1528197624,2,2
1528199542,3,5
1528201454,6,2
1528203378,2,2
1528205301,4,3
1528207300,1,3
1528209145,3,11
