DateTime,AddedIPs,RemovedIPs
1527688331,5,1
1527690258,3,3
1527692189,0,2
1527694095,4,5
1527696103,4,3
1527698215,1,2
1527700026,2,0
1527702011,1,3
1527703938,1,1
1527705858,7,3
1527707773,11,1
1527709720,6,1
1527711615,6,0
1527713532,1,0
1527715455,6,0
1527717373,7,2
1527719291,2,2
1527721313,4,1
1527723174,5,1
1527725065,2,0
1527726982,2,1
1527728909,6,1
1527730824,1,1
1527732748,1,0
1527734681,1,4
1527736582,3,4
1527738505,5,5
1527740424,6,2
1527742358,8,0
1527744269,9,3
1527746193,7,0
1527748137,7,0
1527750096,6,2
1527751954,1,1
1527753881,12,5
1527755792,7,4
1527757709,4,7
1527759625,3,4
1527761559,15,8
1527763496,5,2
1527765387,3,9
1527767307,1,4
1527769248,3,3
1527771165,1,2
1527773063,4,5
1527774986,8,6
1527776899,1,1
1527778906,5,0
1527780788,1,5
1527782666,10,2
1527784624,8,2
1527786538,4,1
1527788463,7,1
1527790497,4,1
1527792309,6,10
1527794179,0,9
1527796137,4,6
1527798019,5,6
1527799956,4,1
1527801876,6,5
1527803796,3,8
1527806006,0,2
1527807874,1,4
1527809822,2,4
1527811713,1,2
1527813630,7,3
1527815561,5,6
1527817499,5,1
1527819392,2,1
1527821330,2,2
1527823227,3,3
1527825169,1,4
1527827075,4,6
1527829016,3,7
1527830912,1,8
1527832903,2,6
1527834775,3,7
1527836673,3,7
1527838605,0,2
1527840525,0,11
1527842455,1,7
1527844366,2,3
1527846312,1,3
1527848192,0,16
1527850114,4,4
1527852043,6,3
1527853952,6,1
1527855871,3,4
1527857838,7,2
1527859705,0,5
1527861701,1,6
1527863568,1,3
1527865471,2,4
1527867408,5,1
1527869348,0,11
1527871232,1,8
1527873087,3,4
1527875065,1,7
1527876975,2,3
1527878913,3,7
1527880814,0,1
1527882736,2,4
1527884675,1,5
1527886577,1,3
1527888494,1,6
1527890544,0,3
1527895214,3,3
1527897161,2,1
1527899057,2,2
1527901300,0,9
1527903151,1,5
1527905069,0,3
1527906981,3,3
1527908925,0,3
1527910825,0,1
1527916439,8,8
1527918678,1,2
1527921136,4,6
1527928517,19,4
1527930860,6,2
1527933074,6,0
1527935216,4,2
1527937873,12,4
1527940234,9,9
1527942645,13,4
1527944969,9,6
1527947210,10,1
1527949067,5,2
1527951392,7,2
1527953720,7,4
1527956407,5,1
1527961197,6,5
1527965967,14,5
1527968421,8,1
1527970740,14,1
1527977288,19,3
1527984238,38,4
1527986642,6,1
1527991402,6,2
1527993823,15,4
1527996222,5,0
1528001079,10,2
1528005407,8,8
1528007361,4,3
1528009326,3,5
1528011140,6,4
1528013060,6,3
1528014992,2,8
1528016899,4,5
1528018842,3,5
1528020743,6,4
1528022656,3,9
1528024484,7,6
1528026491,5,7
1528028307,5,9
1528030342,6,13
1528032259,9,6
1528034178,9,6
1528036102,1,6
1528038100,4,6
1528039943,1,6
1528041871,6,4
1528043772,4,0
1528045699,5,3
1528047701,3,3
1528049544,2,8
1528051502,3,5
1528053393,2,3
1528055334,1,9
1528057220,4,11
1528059187,3,4
1528061063,2,5
1528063008,2,6
1528064915,2,16
1528066907,1,10
1528068748,1,6
1528070688,0,7
1528072571,0,3
1528074536,0,4
1528076418,2,4
1528078389,0,3
1528080257,0,13
1528082233,0,4
1528084109,0,2
1528086050,1,3
1528087942,0,8
1528089897,1,1
1528091771,4,5
1528093724,3,4
1528095702,6,4
1528097578,4,6
1528099463,7,5
1528101442,7,2
1528103296,4,4
1528105263,8,4
1528107148,3,5
1528109091,3,3
1528110980,8,7
1528112919,8,5
1528114832,7,4
1528116783,4,6
1528118675,10,9
1528120541,11,8
1528122502,8,2
1528124499,0,4
1528126338,7,1
1528128329,6,6
1528130186,4,5
1528132133,4,5
1528134045,4,4
1528135951,5,2
1528137867,6,2
1528139804,5,3
1528141709,16,1
1528143631,3,4
1528145564,2,2
1528147476,5,3
1528149385,8,2
1528151326,12,3
1528153311,10,2
1528155143,14,1
1528157064,2,0
1528158997,6,0
1528160906,3,0
1528162818,6,2
1528164748,4,0
1528166669,8,0
1528168584,9,0
1528170536,4,0
1528172431,5,1
1528174344,5,0
1528176280,1,1
1528178181,3,4
1528180404,4,5
1528182268,4,4
1528184179,2,4
1528186103,6,8
1528188018,5,6
1528189941,1,4
1528191866,6,8
1528193778,3,4
1528195696,3,3
1528197626,8,7
1528199543,7,10
1528201455,5,5
1528203380,13,5
1528205303,3,11
1528207301,9,9
1528209146,3,8
1528211075,3,1
1528213496,8,6
1528215400,4,6
1528217309,4,4
1528219215,4,4
1528221160,0,7
1528223059,5,4
1528225000,1,3
1528226891,3,12
1528229011,0,10
1528230973,3,3
1528232908,2,4
1528234816,4,8
1528236747,2,11
1528238657,1,8
1528240574,2,11
1528242500,2,11
1528244424,1,6
1528246335,5,2
1528248268,1,4
1528250183,2,4
1528252092,0,9
1528254107,3,6
1528256031,3,7
1528257864,5,6
1528259788,1,7
1528261694,2,0
1528263618,4,4
1528265561,3,1
1528267772,5,7
1528269622,9,2
1528271559,4,1
1528273466,11,7
1528275390,2,3
1528277306,11,4
1528279295,9,4
1528281155,14,3
1528283076,11,5
1528284996,5,11
1528286921,8,5
1528288822,3,10
1528290758,10,6
1528292681,5,5
1528294580,4,8
1528296503,4,2
1528298428,2,6
1528300338,4,8
1528302275,3,1
1528304178,9,5
1528306274,6,3
1528308292,6,2
1528311710,15,4
1528313587,3,3
1528320497,48,7
1528324420,10,4
1528326781,5,3
1528331813,16,6
1528335437,17,4
1528337310,7,1
1528339235,5,0
1528341174,1,4
1528343180,4,3
1528345003,0,4
1528346905,11,3
1528348818,4,3
1528350763,8,2
1528352972,0,4
1528354902,5,5
1528356746,5,10
1528358669,3,5
1528360575,3,8
1528362500,1,4
1528364423,1,11
1528366338,3,13
1528368260,12,15
1528370182,6,6
1528372095,12,3
1528374028,6,8
1528375962,5,6
1528377854,5,8
1528379776,4,4
1528381636,4,3
1528383696,5,4
1528385559,5,6
1528387465,0,1
