DateTime,Entries,UniqueIPs
1527736585,725,725
1527738508,693,693
1527740427,686,686
1527742361,693,693
1527744272,692,692
1527746196,676,676
1527748141,671,671
1527750099,669,669
1527751957,664,664
1527753884,652,652
1527755795,645,645
1527757712,648,648
1527759628,638,638
1527761562,653,653
1527763499,648,648
1527765390,646,646
1527767310,648,648
1527769252,665,665
1527771168,668,668
1527773066,684,684
1527774989,696,696
1527776902,682,682
1527778909,669,669
1527780791,662,662
1527782669,681,681
1527784629,683,683
1527786542,687,687
1527788466,684,684
1527790501,684,684
1527792313,692,692
1527794183,689,689
1527796141,688,688
1527798023,692,692
1527799960,707,707
1527801878,705,705
1527803799,711,711
1527806009,709,709
1527807877,702,702
1527809825,699,699
1527811716,696,696
1527813633,699,699
1527815564,695,695
1527817503,691,691
1527819395,703,703
1527821333,700,700
1527823230,695,695
1527825172,693,693
1527827077,698,698
1527829018,688,688
1527830914,688,688
1527832906,693,693
1527834777,697,697
1527836675,728,728
1527838608,729,729
1527840528,729,729
1527842458,713,713
1527844369,929,929
1527846316,942,942
1527848195,932,932
1527850117,934,934
1527852046,930,930
1527853955,933,933
1527855874,927,927
1527857840,922,922
1527859708,924,924
1527861704,907,907
1527863571,898,898
1527865474,893,893
1527867411,888,888
1527869351,860,860
1527871235,858,858
1527873091,857,857
1527875068,860,860
1527876978,855,855
1527878916,842,842
1527880817,845,845
1527882739,838,838
1527884678,835,835
1527886580,831,831
1527888497,833,833
1527890547,833,833
1527894158,840,840
1527895960,835,835
1527897882,837,837
1527899805,837,837
1527901702,837,837
1527903637,834,834
1527905545,814,814
1527907479,815,815
1527909377,811,811
1527911298,815,815
1527914417,813,813
1527916444,804,804
1527918684,799,799
1527921140,782,782
1527923327,752,752
1527923327,752,752
1527926031,739,739
1527928522,571,571
1527928522,571,571
1527930866,284,284
1527930866,284,284
1527933079,482,482
1527933079,482,482
1527935220,481,481
1527937877,462,462
1527937877,462,462
1527940239,453,453
1527940239,453,453
1527942649,437,437
1527942649,437,437
1527944973,417,417
1527944973,417,417
1527947215,387,387
1527949073,286,286
1527951397,396,396
1527951397,396,396
1527953725,392,392
1527953725,392,392
1527956412,399,399
1527958701,285,285
1527961201,396,396
1527965971,389,389
1527965971,389,389
1527968425,391,391
1527968425,391,391
1527970745,387,387
1527970745,387,387
1527972886,383,383
1527974862,282,282
1527974862,282,282
1527984243,369,369
1527984243,369,369
1527986647,366,366
1527991406,364,364
1527991406,364,364
1527993827,362,362
1527993827,362,362
1527996227,361,361
1527998618,280,280
1528001085,281,281
1528005411,362,362
1528007365,361,361
1528009329,358,358
1528011143,355,355
1528013063,351,351
1528014995,345,345
1528016902,350,350
1528018844,342,342
1528020745,343,343
1528022659,343,343
1528024486,340,340
1528026493,346,346
1528028309,344,344
1528030345,341,341
1528032261,343,343
1528034181,347,347
1528036104,342,342
1528038102,342,342
1528039945,341,341
1528041873,330,330
1528043774,329,329
1528045702,336,336
1528047704,343,343
1528049547,344,344
1528051505,354,354
1528053396,354,354
1528055337,354,354
1528057224,360,360
1528059190,361,361
1528061066,365,365
1528063011,367,367
1528064918,366,366
1528066909,369,369
1528068751,367,367
1528070691,371,371
1528072574,375,375
1528074538,380,380
1528076421,380,380
1528078392,380,380
1528080260,381,381
1528082236,386,386
1528084111,390,390
1528086053,399,399
1528087945,404,404
1528089900,479,479
1528091774,724,724
1528093726,728,728
1528095704,723,723
1528097583,934,934
1528099466,1017,1017
1528101445,1020,1020
1528103300,1018,1018
1528105266,1015,1015
1528107150,1017,1017
1528109094,1022,1022
1528110983,1019,1019
1528112922,1013,1013
1528114835,1015,1015
1528116785,1016,1016
1528118678,1014,1014
1528120544,1020,1020
1528122505,1034,1034
1528124502,1027,1027
1528126342,1034,1034
1528128333,1034,1034
1528130189,1037,1037
1528132136,1036,1036
1528134049,1029,1029
1528135955,1034,1034
1528137870,1034,1034
1528139807,1037,1037
1528141712,1042,1042
1528143635,1038,1038
1528145567,1039,1039
1528147479,1042,1042
1528149388,1044,1044
1528151330,1064,1064
1528153315,1064,1064
1528155147,1063,1063
1528157067,1054,1054
1528159000,1050,1050
1528160909,1045,1045
1528162821,1045,1045
1528164751,1044,1044
1528166672,1043,1043
1528168587,1036,1036
1528170539,1031,1031
1528172433,1028,1028
1528174346,1029,1029
1528176283,1021,1021
1528178184,1018,1018
1528180407,1024,1024
1528182270,1025,1025
1528184181,1013,1013
1528186105,1013,1013
1528188021,1029,1029
1528189943,1042,1042
1528191869,1051,1051
1528193781,1044,1044
1528195699,1051,1051
1528197629,1061,1061
1528199546,1070,1070
1528201458,1077,1077
1528203383,1078,1078
1528205306,1081,1081
1528207304,1082,1082
1528209149,1076,1076
1528211078,1071,1071
1528213499,1082,1082
1528215404,1097,1097
1528217312,1102,1102
1528219218,1107,1107
1528221163,1112,1112
1528223062,1116,1116
1528225003,1125,1125
1528226894,1125,1125
1528229015,1132,1132
1528230976,1132,1132
1528232911,1132,1132
1528234819,1132,1132
1528236749,525,525
1528238659,527,527
1528240577,533,533
1528242502,532,532
1528244427,534,534
1528246338,536,536
1528248271,537,537
1528250186,538,538
1528252095,539,539
1528254109,545,545
1528256034,543,543
1528257867,544,544
1528259790,548,548
1528261696,548,548
1528263620,544,544
1528265564,544,544
1528267775,543,543
1528269625,546,546
1528271562,542,542
1528273469,542,542
1528275393,532,532
1528277309,517,517
1528279298,516,516
1528281158,519,519
1528283079,513,513
1528284999,511,511
1528286924,497,497
1528288826,495,495
1528290761,490,490
1528292685,486,486
1528294583,493,493
1528296505,493,493
1528298430,498,498
1528300341,491,491
1528302278,493,493
1528304180,523,523
1528306277,514,514
1528308294,512,512
1528311715,525,525
1528313591,525,525
1528320503,549,549
1528324425,544,544
1528326785,543,543
1528331825,553,553
1528335442,585,585
1528337315,589,589
1528339240,596,596
1528341178,607,607
1528343187,611,611
1528345008,615,615
1528346908,615,615
1528348821,615,615
1528350766,609,609
1528352975,618,618
1528354904,615,615
1528356748,608,608
1528358672,614,614
1528360578,639,639
1528362503,638,638
1528364425,636,636
1528366341,634,634
1528368262,630,630
1528370185,638,638
1528372097,637,637
1528374030,657,657
1528375964,674,674
1528377856,671,671
1528379778,669,669
1528381638,664,664
1528383698,659,659
1528385561,659,659
1528387468,654,654
1528389389,654,654
1528391321,619,619
1528393227,617,617
1528395158,621,621
1528397075,613,613
1528398982,606,606
1528400923,603,603
1528402824,589,589
1528404743,584,584
1528406684,581,581
1528408586,581,581
1528411113,584,584
1528413139,588,588
1528415085,586,586
1528416994,579,579
1528418898,568,568
1528420831,556,556
1528422759,547,547
1528424668,552,552
1528426634,536,536
1528428507,530,530
1528430512,530,530
1528432344,528,528
1528434260,520,520
1528436073,521,521
1528438096,521,521
1528440022,522,522
1528441959,526,526
1528443859,527,527
1528445774,526,526
1528447709,522,522
