DateTime,AddedIPs,RemovedIPs
1527617064,1,0
1527618978,0,39
1527620904,0,1
1527622817,0,1
1527624741,1,0
1527628577,1,0
1527630512,1,1
1527636258,1,1
1527638194,0,1
1527640094,3,0
1527642103,0,2
1527643934,1,0
1527645960,1,0
1527647794,1,0
1527649700,0,1
1527651613,2,3
1527653543,0,4
1527655477,0,2
1527657376,2,3
1527659295,1,3
1527661218,0,5
1527663136,0,4
1527665079,1,4
1527666972,1,2
1527668895,2,2
1527670896,0,1
1527672753,0,2
1527674685,0,2
1527676585,1,4
1527678496,1,2
1527680590,1,0
1527682578,1,1
1527684492,0,2
1527688334,2,1
1527690261,1,0
1527694099,0,1
1527696107,3,0
1527698218,0,1
1527700030,1,2
1527702015,4,0
1527703942,1,1
1527705862,2,0
1527707776,1,0
1527711619,0,1
1527713535,2,0
1527715459,1,1
1527717377,1,1
1527721318,0,2
1527723178,2,0
1527725069,4,1
1527726987,2,2
1527728913,6,0
1527730828,2,1
1527732751,4,2
1527734685,3,1
1527736585,4,0
1527738509,2,2
1527742361,0,1
1527744273,2,2
1527746197,1,0
1527748141,1,0
1527750100,2,0
1527751957,2,2
1527753885,0,1
1527755796,0,1
1527757713,3,0
1527759629,2,0
1527761563,1,0
1527763500,2,1
1527765391,0,1
1527767310,0,1
1527769253,1,1
1527774990,2,1
1527776903,0,1
1527780792,0,2
1527784631,0,1
1527786543,1,1
1527788467,0,4
1527790502,1,2
1527792313,2,0
1527794183,0,1
1527796141,1,0
1527798023,1,0
1527799960,1,0
1527801879,0,1
1527803800,0,1
1527806010,1,0
1527807877,1,0
1527809826,2,3
1527811717,1,3
1527813634,1,2
1527815565,0,5
1527817504,2,4
1527819396,1,2
1527821333,1,3
1527823231,0,6
1527825173,2,2
1527827078,3,0
1527829019,1,0
1527830915,0,2
1527832907,0,1
1527834778,1,3
1527836676,2,1
1527838609,2,1
1527842458,1,0
1527844370,3,2
1527846317,1,0
1527848195,1,0
1527850117,1,3
1527852047,3,1
1527853955,1,0
1527855875,3,1
1527857841,1,0
1527859709,2,0
1527861705,1,2
1527863572,2,0
1527865474,1,1
1527873092,2,1
1527875069,1,2
1527876979,0,1
1527878916,1,3
1527880818,1,0
1527882739,1,1
1527884679,0,1
1527886581,1,1
1527890548,2,0
1527894174,2,2
1527896169,1,1
1527898401,3,2
1527900307,1,0
1527902245,1,1
1527904147,1,2
1527906079,3,1
1527907993,1,1
1527909924,3,1
1527911824,1,1
1527916445,4,5
1527918685,3,0
1527921141,0,1
1527923330,3,3
1527926032,1,0
1527928523,2,0
1527930867,0,3
1527933080,63,0
1527935222,2,1
1527937878,1,2
1527940239,0,2
1527942650,2,4
1527944974,1,1
1527947216,4,2
1527951398,3,1
1527953727,221,2
1527956413,25,1
1527958702,0,24
1527961202,24,0
1527965972,1,1
1527968426,5,1
1527970746,0,0
1527972887,0,27
1527974864,0,0
1527984243,33,6
1527986648,4,4
1527988977,0,27
1527991407,30,1
1527993828,3,2
1527996228,311,0
1527998619,1,28
1528005411,35,7
1528007366,2,0
1528009330,0,2
1528011144,4,0
1528013064,2,1
1528014995,3,2
1528016902,2,2
1528018845,1,2
1528020746,0,1
1528022659,3,0
1528024487,2,1
1528026493,5,0
1528028310,1,2
1528030345,1,0
1528032262,1,4
1528034181,2,1
1528036105,0,3
1528038102,1,1
1528039946,1,242
1528041874,1,4
1528043775,2,0
1528045702,2,0
1528047704,0,1
1528049547,0,1
1528051507,2,0
1528053397,1,5
1528055338,0,1
1528057225,1,0
1528059190,0,1
1528063011,1,1
1528064919,2,2
1528066910,1,2
1528068751,1,0
1528070692,3,1
1528072575,4,2
1528074539,2,3
1528076422,1,3
1528078393,2,1
1528080260,4,4
1528082237,2,1
1528084112,3,1
1528086053,4,3
1528087946,2,1
1528089901,4,1
1528091774,3,4
1528093727,3,2
1528097585,3,4
1528099466,3,1
1528101446,2,3
1528103301,3,2
1528105267,2,1
1528107151,1,0
1528109094,3,3
1528110984,1,2
1528112922,0,4
1528114835,0,3
1528116786,2,2
1528118678,1,1
1528120544,0,1
1528122506,0,2
1528124503,2,3
1528126342,1,1
1528128333,2,1
1528132137,0,2
1528134049,1,0
1528137871,2,3
1528139808,1,0
1528141712,1,0
1528143635,2,1
1528145568,1,0
1528147480,1,0
1528149388,2,1
1528151331,0,2
1528153315,1,0
1528155147,4,1
1528157067,0,2
1528159001,1,6
1528160909,1,2
1528162822,1,3
1528164752,2,1
1528166672,2,3
1528168588,1,1
1528170540,4,4
1528172434,1,3
1528174347,0,2
1528176283,0,3
1528178185,0,3
1528180407,1,3
1528182271,1,0
1528184182,2,4
1528186106,5,4
1528188021,3,2
1528189944,1,3
1528191869,2,2
1528193782,3,2
1528195699,3,3
1528197630,6,1
1528199547,2,0
1528201459,1,0
1528203383,3,0
1528205306,1,1
1528207305,1,0
1528209150,2,1
1528211079,1,1
1528213500,1,3
1528215404,0,1
1528217313,2,0
1528219218,1,0
1528221163,2,0
1528223063,0,3
1528226895,3,1
1528229015,1,1
1528230977,2,3
1528234819,1,0
1528236750,1,2
1528240577,0,3
1528242503,1,1
1528246338,4,0
1528248271,0,1
1528250186,2,1
1528252096,5,2
1528254110,4,1
1528256034,0,3
1528257867,3,3
1528259791,2,0
1528261697,3,0
1528263621,3,0
1528265564,5,1
1528267776,1,1
1528269625,2,2
1528271562,1,2
1528273470,1,4
1528275393,1,1
1528277310,1,1
1528279298,1,2
1528281159,2,3
1528283080,2,3
1528285000,0,5
1528286925,0,2
1528288826,0,3
1528290762,0,1
1528292685,0,1
1528294583,3,2
1528296506,0,4
