DateTime,AddedIPs,RemovedIPs
1527709724,2,2
1527711620,4,2
1527713536,2,6
1527715460,3,2
1527717378,2,2
1527719296,4,4
1527721319,3,4
1527723179,4,2
1527725070,5,4
1527726988,202,3
1527728914,5,3
1527730829,1,5
1527732753,3,3
1527734686,5,1
1527736586,6,1
1527738510,4,1
1527740429,0,2
1527742362,3,2
1527744274,3,3
1527746198,2,4
1527748143,1,2
1527750101,1,3
1527751958,2,0
1527753886,2,2
1527755797,4,3
1527757715,4,2
1527759630,4,7
1527761564,1,7
1527763501,6,8
1527765392,2,5
1527767311,13,1
1527769254,5,1
1527771170,1,6
1527773068,8,2
1527774991,13,5
1527776904,12,9
1527778911,40,2
1527780793,3,2
1527782671,3,3
1527784632,2,4
1527786544,0,4
1527788468,2,3
1527790503,1,3
1527792315,1,3
1527794185,6,2
1527796142,3,1
1527798025,3,5
1527799961,6,4
1527801880,4,3
1527803801,10,1
1527806011,2,2
1527807878,4,2
1527809827,5,5
1527811717,6,4
1527813635,5,203
1527815565,7,5
1527817505,5,3
1527819397,4,2
1527821334,3,8
1527823232,2,6
1527825173,4,2
1527827079,17,1
1527829020,2,1
1527830916,1,2
1527832908,2,2
1527834779,1,2
1527836677,4,0
1527838610,10,4
1527840529,1,4
1527842459,2,6
1527844371,6,4
1527846318,10,7
1527848196,1,3
1527850118,4,4
1527852048,3,5
1527853956,7,9
1527855876,2,4
1527857842,1,4
1527859709,4,8
1527861706,6,10
1527863573,4,25
1527865475,7,27
1527867412,14,2
1527869352,4,4
1527871236,2,1
1527873094,1,0
1527875070,5,2
1527876980,1,2
1527878917,5,2
1527880819,0,6
1527882740,0,2
1527884680,5,2
1527886582,7,5
1527888499,6,4
1527890549,4,8
1527894178,18,2
1527896170,3,3
1527898402,4,5
1527900309,2,4
1527902246,1,8
1527904148,4,2
1527906080,4,3
1527907994,0,2
1527909924,3,1
1527911825,1,5
1527914421,6,14
1527916446,5,3
1527918687,26,4
1527921142,5,1
1527923332,3,5
1527926034,11,9
1527928525,4,12
1527930869,16,16
1527933081,20,11
1527935223,3,2
1527937879,6,7
1527940241,7,6
1527942652,6,4
1527944976,198,3
1527947218,4,5
1527951399,12,10
1527953728,10,18
1527956415,3,4
1527958703,0,199
1527961204,258,2
1527963570,32,2
1527965973,9,4
1527968427,1,1
1527970748,4,6
1527972889,3,9
1527974867,4,5
1527977295,0,278
1527984245,290,20
1527986649,2,3
1527988978,0,268
1527991408,276,3
1527993829,6,3
1527996230,19,3
1527998621,2,3
1528001088,2,11
1528003386,0,281
1528005412,294,28
1528007368,5,0
1528009330,4,3
1528011145,5,4
1528013065,3,11
1528014996,6,12
1528016903,8,1
1528018846,7,5
1528020747,2,3
1528022660,2,3
1528024487,4,3
1528026494,8,7
1528028310,32,1
1528030346,30,43
1528032263,44,155
1528034182,16,4
1528036106,7,10
1528038103,34,5
1528039947,37,7
1528041875,6,0
1528043776,4,21
1528045703,5,22
1528047705,0,25
1528049548,4,29
1528051508,1,8
1528053398,4,1
1528055339,4,1
1528057226,5,3
1528059191,3,4
1528061068,3,2
1528063012,26,2
1528064920,12,5
1528066911,21,2
1528068752,9,4
1528070693,1,0
1528072576,15,1
1528074540,3,2
1528076423,4,3
1528078394,1,8
1528080261,1,2
1528082238,0,19
1528084113,3,3
