DateTime,Entries,UniqueIPs
1527080692,16,16
1527084809,18,18
1527086674,19,19
1527088591,19,19
1527096511,20,20
1527102282,21,21
1527104210,23,23
1527106118,23,23
1527108032,22,22
1527113801,21,21
1527119812,22,22
1527121828,23,23
1527127939,24,24
1527129861,25,25
1527139775,23,23
1527141722,24,24
1527143682,25,25
1527152030,24,24
1527155813,23,23
1527159710,20,20
1527165889,19,19
1527171887,18,18
1527174164,18,18
1527175979,17,17
1527177975,18,18
1527181866,16,16
1527187940,15,15
1527190124,13,13
1527192107,11,11
1527195887,12,12
1527205898,10,10
1527207881,9,9
1527213911,8,8
1527215870,7,7
1527225419,6,6
1527227302,5,5
1527229257,4,4
1527236960,5,5
1527246743,7,7
1527250580,9,9
1527257034,10,10
1527260935,8,8
1527265085,25,25
1527266912,27,27
1527268938,32,32
1527272811,33,33
1527276743,34,34
1527282501,34,34
1527286599,37,37
1527291361,37,37
1527295610,37,37
1527298167,37,37
1527298167,37,37
1527300916,39,39
1527300916,39,39
1527303230,40,40
1527305669,40,40
1527308457,41,41
1527311251,42,42
1527311251,42,42
1527314171,42,42
1527314171,42,42
1527316681,42,42
1527316681,42,42
1527318594,43,43
1527318594,43,43
1527320965,47,47
1527322908,49,49
1527325323,53,53
1527325323,53,53
1527336899,55,55
1527336899,55,55
1527339167,55,55
1527339167,55,55
1527343550,57,57
1527343550,57,57
1527346517,58,58
1527346517,58,58
1527350725,53,53
1527352746,39,39
1527352746,39,39
1527355512,35,35
1527355512,35,35
1527358190,35,35
1527358190,35,35
1527361560,36,36
1527369512,34,34
1527369512,34,34
1527375546,31,31
1527375546,31,31
1527378889,31,31
1527381332,32,32
1527381332,32,32
1527383950,32,32
1527383950,32,32
1527386925,30,30
1527389632,30,30
1527389632,30,30
1527391942,30,30
1527391942,30,30
1527396096,30,30
1527396096,30,30
1527398019,29,29
1527398019,29,29
1527400193,29,29
1527405868,27,27
1527407800,24,24
1527409702,23,23
1527411701,20,20
1527413571,19,19
1527415473,20,20
1527417402,19,19
1527419335,18,18
1527423168,17,17
1527427001,18,18
1527428911,16,16
1527432774,16,16
1527436604,16,16
1527438508,16,16
1527440498,15,15
1527444287,14,14
1527448133,15,15
1527450031,15,15
1527464458,16,16
1527466354,15,15
1527474029,16,16
1527475997,15,15
1527483752,15,15
1527485574,16,16
1527495141,15,15
1527497084,13,13
1527498980,11,11
1527500904,11,11
1527506662,12,12
1527512492,11,11
1527518179,10,10
1527522024,11,11
1527523895,10,10
1527525859,9,9
1527531635,10,10
1527535461,11,11
1527537398,10,10
1527548992,11,11
1527552797,12,12
1527554664,11,11
1527556608,13,13
1527560470,12,12
1527566201,13,13
1527570097,12,12
1527571999,12,12
1527573915,14,14
1527577736,15,15
1527581544,16,16
1527587334,15,15
1527591175,14,14
1527593064,13,13
1527604580,14,14
1527608434,13,13
1527615145,14,14
1527617065,13,13
1527622818,13,13
1527632433,14,14
1527634338,13,13
1527638196,14,14
1527640096,13,13
1527642104,12,12
1527643935,12,12
1527651615,11,11
1527653544,12,12
1527659296,13,13
1527661220,12,12
1527670898,13,13
1527672754,14,14
1527676587,15,15
1527678497,16,16
1527684494,17,17
1527688336,18,18
1527690263,17,17
1527694100,18,18
1527700031,17,17
1527709725,16,16
1527719297,15,15
1527725072,14,14
1527728915,13,13
1527732754,14,14
1527734688,15,15
1527738511,16,16
1527740430,17,17
1527742364,18,18
1527744275,18,18
1527746199,13,13
1527748145,14,14
1527755798,15,15
1527757716,16,16
1527759631,16,16
1527761566,16,16
1527763503,17,17
1527769254,18,18
1527771171,19,19
1527774992,18,18
1527776905,19,19
1527782672,18,18
1527813636,19,19
1527815566,20,20
1527817506,21,21
1527819397,20,20
