DateTime,Entries,UniqueIPs
1527742364,336,336
1527744275,329,329
1527746199,326,326
1527748145,319,319
1527750102,315,315
1527751960,307,307
1527753888,295,295
1527755799,288,288
1527757716,278,278
1527759631,272,272
1527761566,263,263
1527763503,256,256
1527765393,252,252
1527767313,250,250
1527769255,245,245
1527771171,247,247
1527773069,247,247
1527774992,247,247
1527776905,239,239
1527778912,237,237
1527780794,233,233
1527782672,228,228
1527784633,223,223
1527786545,223,223
1527788469,209,209
1527790504,191,191
1527792315,190,190
1527794186,185,185
1527796143,190,190
1527798026,192,192
1527799962,191,191
1527801881,190,190
1527803801,189,189
1527806011,188,188
1527807879,190,190
1527809828,188,188
1527811719,187,187
1527813636,184,184
1527815566,183,183
1527817506,189,189
1527819397,192,192
1527821335,199,199
1527823232,218,218
1527825174,224,224
1527827080,230,230
1527829020,237,237
1527830916,246,246
1527832908,245,245
1527834779,255,255
1527836678,255,255
1527838611,257,257
1527840530,260,260
1527842460,263,263
1527844372,268,268
1527846319,275,275
1527848197,278,278
1527850119,275,275
1527852049,275,275
1527853957,278,278
1527855877,273,273
1527857843,268,268
1527859711,264,264
1527861707,261,261
1527863574,274,274
1527865477,272,272
1527867414,269,269
1527869354,269,269
1527871237,276,276
1527873095,283,283
1527875071,283,283
1527876981,280,280
1527878919,283,283
1527880820,286,286
1527882742,288,288
1527884681,289,289
1527886584,285,285
1527888500,289,289
1527890550,295,295
1527894179,302,302
1527896172,302,302
1527898403,306,306
1527900310,308,308
1527902247,309,309
1527904150,314,314
1527906080,314,314
1527907995,318,318
1527909925,312,312
1527911826,319,319
1527914423,325,325
1527916448,339,339
1527918689,336,336
1527921145,327,327
1527923335,324,324
1527923335,324,324
1527926036,287,287
1527926036,287,287
1527928528,287,287
1527930871,286,286
1527930871,286,286
1527933083,309,309
1527933083,309,309
1527935225,310,310
1527935225,310,310
1527937881,303,303
1527937881,303,303
1527940243,304,304
1527940243,304,304
1527942653,303,303
1527942653,303,303
1527944977,300,300
1527944977,300,300
1527947220,302,302
1527947220,302,302
1527951401,290,290
1527951401,290,290
1527953730,290,290
1527953730,290,290
1527956417,286,286
1527956417,286,286
1527958705,279,279
1527961206,279,279
1527961206,279,279
1527963573,275,275
1527965975,269,269
1527965975,269,269
1527968429,268,268
1527968429,268,268
1527970750,263,263
1527984246,256,256
1527984246,256,256
1527986651,260,260
1527986651,260,260
1527991410,254,254
1527991410,254,254
1527993831,257,257
1527993831,257,257
1527996232,251,251
1527996232,251,251
1527998622,236,236
1527998622,236,236
1528001090,231,231
1528005413,220,220
1528007369,219,219
1528009332,222,222
1528011147,226,226
1528013066,222,222
1528014998,222,222
1528016904,222,222
1528018847,225,225
1528020748,224,224
1528022661,215,215
1528024488,218,218
1528026495,312,312
1528028312,309,309
1528030347,307,307
1528032264,309,309
1528034183,303,303
1528036107,299,299
1528038104,299,299
