DateTime,AddedIPs,RemovedIPs
1527413573,0,1
1527415475,0,2
1527417403,1,0
1527419336,2,0
1527421228,1,1
1527423169,2,0
1527425079,0,1
1527427002,1,1
1527428912,1,2
1527432775,1,0
1527434673,2,1
1527436605,0,1
1527440500,0,2
1527442369,1,0
1527444288,2,0
1527446228,1,0
1527448134,1,1
1527450032,1,0
1527451956,3,1
1527453899,1,0
1527455793,1,1
1527457712,1,2
1527460600,0,2
1527464460,0,1
1527466356,0,1
1527468326,2,0
1527470190,2,0
1527472144,0,1
1527474031,0,1
1527479855,1,0
1527485576,1,1
1527487432,2,0
1527489381,0,1
1527491321,0,2
1527493219,0,2
1527495143,0,2
1527497086,2,2
1527498982,3,0
1527500906,1,0
1527502842,1,1
1527504742,2,1
1527506664,1,1
1527508599,2,1
1527510501,2,1
1527512494,2,1
1527514371,1,1
1527516273,4,0
1527518181,1,1
1527520127,1,1
1527522026,4,1
1527525861,4,0
1527527804,1,0
1527529702,0,3
1527533544,1,3
1527537399,1,1
1527539301,0,1
1527541307,1,0
1527543161,3,2
1527552799,1,0
1527554666,1,2
1527556610,2,2
1527558523,1,0
1527560472,1,0
1527562409,1,0
1527566202,1,1
1527568144,1,0
1527570099,0,1
1527572001,0,1
1527573917,0,2
1527575814,1,1
1527577738,2,0
1527579660,0,1
1527583519,4,2
1527585394,2,3
1527587335,0,1
1527589238,1,1
1527591177,3,2
1527593065,0,1
1527595007,1,2
1527596912,1,2
1527598883,0,2
1527600749,2,1
1527602714,0,3
1527604582,0,1
1527606547,0,1
1527608435,2,4
1527610410,2,0
1527613159,1,4
1527615147,0,1
1527618981,0,1
1527620907,3,0
1527622819,0,1
1527624743,3,0
1527628580,2,3
1527630515,1,1
1527632435,1,0
1527636260,1,0
1527638197,4,1
1527640097,1,0
1527642106,1,1
1527643937,2,2
1527645963,3,1
1527647797,3,0
1527649703,2,1
1527653546,1,3
1527655480,1,0
1527657379,1,0
1527661222,1,1
1527665082,0,2
1527668898,3,0
1527670899,2,6
1527672756,1,0
1527674688,1,0
1527676588,0,3
1527678499,1,1
1527682580,0,2
1527684495,2,1
1527686422,1,2
1527690264,1,0
1527694101,1,0
1527696110,1,1
1527698221,0,1
1527700033,2,2
1527703945,1,0
1527705865,2,1
1527707780,0,2
1527709727,1,0
1527711623,0,2
1527713539,1,0
1527715464,1,2
1527719299,1,1
1527723183,0,1
1527725073,1,4
1527730832,1,4
1527732756,0,2
1527734689,1,2
1527736589,1,1
1527738513,2,1
1527740432,0,2
1527742365,1,1
1527744277,0,1
1527746201,1,1
1527748147,4,0
1527750104,2,0
1527753889,2,0
1527755800,1,4
1527759633,2,2
1527761568,2,0
1527763505,1,0
1527765395,2,1
1527767315,1,0
1527769257,1,0
1527771173,0,2
1527773071,3,1
1527774994,2,0
1527776907,0,2
1527778913,4,2
1527780795,1,0
1527782673,2,1
1527786546,0,2
1527788471,1,1
1527790506,0,1
1527792317,1,1
1527796145,1,1
1527799964,0,1
1527801882,4,1
1527803803,1,2
1527806013,2,1
1527807880,1,0
1527809829,2,0
1527811720,1,1
1527817507,0,1
1527821336,0,1
1527823233,1,1
1527825175,0,2
1527829022,0,1
1527832909,1,1
1527834780,0,4
1527836679,0,2
1527840531,0,2
1527842461,2,1
1527844373,1,0
1527846320,2,3
1527848198,2,1
1527850120,3,1
1527852050,0,2
1527853958,0,1
1527855878,1,2
1527859712,3,2
1527861708,1,2
1527863575,1,1
1527865478,2,3
1527867415,1,1
1527869355,1,2
1527873097,0,1
1527876983,1,0
1527878920,0,1
1527882743,1,1
1527886585,1,0
1527888501,1,4
1527890552,3,1
1527894181,0,3
1527896173,1,2
1527898405,1,0
1527902249,2,0
1527906082,1,1
1527909927,0,1
1527916449,1,0
1527918690,0,0
1527921147,1,1
1527923338,0,0
1527926038,0,0
1527933084,0,5
1527935226,1,2
1527937882,0,3
1527940244,2,0
1527942655,0,0
1527944979,2,3
1527947222,1,3
1527951403,1,2
1527956419,2,2
1527958707,0,0
1527961207,0,0
1527965977,1,1
1527968430,2,1
1527984248,2,7
1527991411,1,2
1527993832,0,1
1527996233,1,0
1527998624,0,0
1528005414,4,1
1528007370,0,1
1528009333,1,0
1528013067,2,0
1528014999,1,0
1528016905,1,0
1528018848,2,0
1528020748,1,1
1528024489,1,0
1528026496,1,3
1528030348,2,1
1528032265,2,3
1528034184,1,0
1528036108,1,0
1528041876,3,2
1528043777,1,0
1528045705,1,0
1528049550,1,0
1528051510,0,1
1528053400,0,1
1528055342,3,1
1528057228,2,0
1528059193,1,0
1528063014,2,0
1528066913,1,1
1528068755,0,1
1528072578,0,1
1528074542,2,0
1528082240,0,1
1528084115,1,1
1528086056,1,0
1528087949,1,1
1528089905,1,1
1528091777,0,2
1528095708,0,1
1528097591,3,0
1528099470,1,2
1528103304,0,1
1528105271,2,2
1528107154,0,1
1528110987,0,1
1528112926,1,1
1528116789,1,2
1528118682,0,3
1528120549,4,1
1528122511,2,1
1528126346,1,0
1528128338,0,3
1528130194,1,1
1528132141,4,1
1528134053,2,0
1528135959,0,1
1528139812,3,0
1528141716,0,3
1528143639,2,2
1528145572,0,1
1528147484,1,0
1528149392,2,2
1528153320,1,0
1528155151,2,0
1528157071,1,0
1528160913,0,2
1528162826,1,0
1528170544,1,1
1528172438,0,1
1528174350,2,1
1528176287,1,1
1528178189,1,0
1528180411,3,0
1528184185,0,2
1528186109,0,2
1528191873,0,2
1528195702,2,0
1528197633,1,0
1528199550,1,1
1528201462,2,0
1528203386,0,1
1528205309,1,0
1528207308,0,4
1528209154,0,2
1528211082,1,0
1528213504,0,1
1528215408,2,2
1528217316,1,0
1528219222,3,4
1528221166,0,2
1528225006,1,3
1528229018,1,0
1528230980,2,1
1528232914,0,1
1528234822,0,2
1528236753,1,0
1528238663,0,1
1528240579,1,0
1528242506,0,3
1528244430,2,0
1528246341,3,0
1528248274,1,1
1528256037,1,0
1528257870,0,1
1528259793,1,1
1528261700,1,1
1528263624,2,1
1528265567,0,1
1528267779,0,2
1528269629,2,0
1528277312,1,0
1528279301,1,0
1528281162,2,0
1528283083,0,3
1528285003,1,0
1528286928,2,1
1528288829,1,2
1528292688,0,1
1528298433,2,1
1528300344,1,0
1528302281,0,2
1528304183,2,1
1528306280,2,3
1528311724,0,1
1528320512,5,2
1528324431,0,1
1528326792,1,1
1528331841,1,3
1528335448,2,3
1528337321,1,0
1528339245,1,0
1528341184,1,1
1528343194,4,1
1528346912,1,1
1528348825,0,2
1528350770,0,1
1528354909,0,2
1528362507,1,1
1528364429,1,1
1528368266,1,2
1528372101,2,1
1528374034,1,2
1528377860,2,0
1528379782,2,0
1528381642,1,0
1528383702,1,0
1528385565,0,1
1528387472,1,1
1528391326,1,4
1528395162,2,0
1528397078,1,0
1528398986,1,1
1528402828,0,2
1528404746,2,1
1528406688,0,2
1528408591,2,0
1528413143,1,0
1528416998,1,0
1528418902,1,0
1528420835,0,2
1528422763,0,1
1528424672,0,1
1528426638,1,1
1528428511,0,3
1528430517,0,2
1528432348,1,0
1528434264,1,1
1528438100,1,0
1528440026,1,0
1528441963,1,0
1528445778,1,0
1528447713,1,0
1528449622,0,1
1528451458,0,2
1528453465,0,1
1528457301,1,0
1528459303,0,1
1528461144,2,1
1528463065,1,1
1528465162,0,1
1528467064,0,4
1528469279,1,0
1528471218,1,0
1528473156,2,0
1528476976,1,0
1528478894,1,1
1528480906,0,2
1528482748,0,1
1528484662,0,1
1528488754,2,2
1528490665,2,1
1528492604,0,1
1528494508,1,2
1528498511,4,1
1528500518,1,0
1528504367,4,0
1528506276,0,1
1528508197,2,0
1528510199,1,0
1528512027,1,0
1528517793,0,1
1528519710,1,1
1528523549,0,1
1528525480,0,1
1528527404,1,0
1528531301,1,1
1528533180,0,2
1528538915,1,0
1528540837,1,1
1528542768,1,1
1528544696,3,0
1528546606,2,0
1528548516,1,2
1528550431,1,1
1528552386,0,1
1528554287,2,0
1528556204,0,1
1528558109,1,1
1528560110,2,2
1528561970,1,0
1528563885,0,2
1528567716,1,0
1528573464,1,1
1528575383,1,2
1528577314,1,3
1528579224,1,1
