DateTime,AddedIPs,RemovedIPs
1527709726,36,46
1527711622,979,53
1527713539,3702,43
1527715463,2886,67
1527717380,46,40
1527719298,46,40
1527721321,24,60
1527723182,30,48
1527725073,27,51
1527726991,31,52
1527728916,37,54
1527730831,34,1165
1527732755,31,40
1527734689,37,42
1527736589,33,39
1527738512,21,35
1527740432,30,42
1527742365,41,37
1527744276,30,42
1527746200,35,31
1527748146,29,45
1527750103,37,47
1527751961,28,21
1527753889,22,40
1527755800,24,48
1527757717,24,66
1527759632,29,50
1527761567,49,36
1527763504,38,38
1527765394,50,37
1527767314,22,39
1527769256,39,44
1527771172,32,45
1527773070,51,52
1527774993,26,48
1527776906,30,39
1527778913,42,55
1527780795,40,26
1527782673,38,98
1527784634,27,50
1527786546,36,38
1527788470,44,49
1527790505,35,50
1527792317,22,56
1527794187,43,53
1527796144,36,35
1527798027,24,1207
1527799963,38,3782
1527801882,38,2902
1527803802,41,53
1527806012,52,67
1527807879,35,34
1527809828,35,36
1527811719,31,40
1527813637,57,43
1527815567,29,42
1527817506,45,51
1527819398,29,41
1527821335,32,41
1527823233,42,34
1527825175,37,31
1527827080,40,42
1527829021,29,52
1527830917,42,41
1527832909,44,49
1527834780,36,51
1527836679,23,51
1527838611,37,46
1527840531,30,37
1527842461,48,41
1527844372,33,42
1527846319,70,49
1527848198,30,55
1527850120,125,46
1527852049,161,48
1527853958,672,60
1527855877,57,40
1527857843,58,47
1527859711,49,49
1527861707,53,41
1527863575,47,32
1527865477,38,55
1527867414,33,45
1527869355,38,38
1527871238,32,61
1527873096,28,45
1527875072,45,36
1527876982,35,37
1527878920,46,22
1527880821,43,47
1527882743,38,39
1527884682,21,29
1527886584,31,39
1527888501,33,37
1527890551,29,47
1527894180,74,89
1527896173,45,45
1527898404,235,50
1527900311,676,54
1527902248,562,32
1527904151,31,47
1527906081,55,36
1527907996,58,33
1527909926,25,28
1527911827,50,33
1527914424,96,49
1527916449,32,47
1527918690,51,41
1527921146,95,49
1527923336,34,43
1527926037,26,67
1527928529,61,60
1527930872,42,31
1527933084,22,82
1527935226,47,43
1527937882,55,79
1527940244,40,534
1527942655,43,56
1527944978,35,70
1527947221,34,45
1527949079,37,32
1527951402,52,61
1527953731,78,42
1527956418,56,65
1527958706,9,276
1527961207,309,56
1527963574,48,56
1527965976,49,51
1527968430,45,54
1527970751,9,240
1527972892,0,286
1527974870,377,92
1527977298,159,159
1527982004,195,194
1527984247,260,52
1527986652,39,34
1527991410,84,87
1527993832,43,75
1527996232,32,47
1527998623,52,68
1528003388,53,202
1528005414,111,35
1528007369,26,90
1528009332,40,38
1528011147,44,26
1528013066,32,39
1528014998,53,20
1528016905,29,22
1528018847,42,18
1528020748,41,49
1528022661,37,27
1528024489,33,52
1528026496,40,39
1528028312,30,26
1528030348,39,37
1528032265,36,39
1528034184,20,37
1528036107,30,809
1528038105,38,812
1528039949,24,61
1528041876,30,36
1528043777,39,48
1528045705,44,30
1528047707,33,47
1528049550,34,37
1528051509,34,43
1528053399,42,39
1528055341,40,40
1528057227,27,35
1528059193,40,39
1528061069,49,32
1528063014,17,27
1528064922,22,30
1528066913,30,31
1528068754,28,51
1528070695,658,39
1528072578,2052,46
1528074541,1974,45
1528076425,395,36
1528078395,26,29
1528080263,25,53
1528082239,42,25
1528084115,25,42
1528086056,38,31
1528087948,37,34
1528089904,23,46
1528091777,20,41
1528093730,32,31
1528095708,28,52
1528097589,44,59
1528099469,4051,43
1528101449,1558,75
1528103303,37,40
1528105270,38,68
1528107153,20,71
1528109097,33,61
1528110987,24,59
1528112925,30,43
1528114838,54,35
1528116789,31,25
1528118682,33,38
1528120548,45,25
1528122510,79,27
1528124506,61,45
1528126346,110,29
1528128337,73,39
1528130193,68,38
1528132141,90,44
1528134053,35,26
1528135959,69,28
1528137874,78,36
1528139811,294,45
1528141716,122,35
1528143639,252,28
1528145571,47,34
1528147483,216,43
1528149392,109,23
1528151336,141,20
1528153319,68,24
1528155151,187,26
1528157071,150,573
1528159004,71,1883
1528160913,29,1621
1528162825,38,386
1528164755,54,24
1528166675,59,31
1528168590,35,37
