DateTime,Entries,UniqueIPs
1527751961,11510,11510
1527753889,11492,11492
1527755800,11468,11468
1527757717,11426,11426
1527759632,11405,11405
1527761567,11418,11418
1527763504,11418,11418
1527765394,11431,11431
1527767314,11414,11414
1527769256,11409,11409
1527771172,11396,11396
1527773070,11395,11395
1527774993,11373,11373
1527776906,11364,11364
1527778913,11351,11351
1527780795,11365,11365
1527782673,11305,11305
1527784634,11282,11282
1527786546,11280,11280
1527788470,11275,11275
1527790505,11260,11260
1527792317,11226,11226
1527794187,11216,11216
1527796144,11217,11217
1527798027,10034,10034
1527799963,6290,6290
1527801882,3426,3426
1527803802,3414,3414
1527806012,3399,3399
1527807879,3400,3400
1527809828,3399,3399
1527811719,3390,3390
1527813637,3404,3404
1527815567,3391,3391
1527817506,3385,3385
1527819398,3373,3373
1527821335,3364,3364
1527823233,3372,3372
1527825175,3378,3378
1527827080,3376,3376
1527829021,3353,3353
1527830917,3354,3354
1527832909,3349,3349
1527834780,3334,3334
1527836679,3306,3306
1527838611,3297,3297
1527840531,3290,3290
1527842461,3297,3297
1527844372,3288,3288
1527846319,3309,3309
1527848198,3284,3284
1527850120,3363,3363
1527852049,3476,3476
1527853958,4088,4088
1527855877,4105,4105
1527857843,4116,4116
1527859711,4116,4116
1527861707,4128,4128
1527863575,4143,4143
1527865477,4126,4126
1527867414,4114,4114
1527869355,4114,4114
1527871238,4085,4085
1527873096,4068,4068
1527875072,4077,4077
1527876982,4075,4075
1527878920,4099,4099
1527880821,4095,4095
1527882743,4094,4094
1527884682,4086,4086
1527886584,4078,4078
1527888501,4074,4074
1527890551,4056,4056
1527894180,4041,4041
1527896173,4041,4041
1527898404,4226,4226
1527900311,4848,4848
1527902248,5378,5378
1527904151,5362,5362
1527906081,5381,5381
1527907996,5406,5406
1527909926,5403,5403
1527911827,5420,5420
1527914424,5467,5467
1527916449,5452,5452
1527918690,5462,5462
1527921146,5508,5508
1527923336,5499,5499
1527926037,5458,5458
1527926037,5458,5458
1527928529,5459,5459
1527930872,5470,5470
1527930872,5470,5470
1527933084,5410,5410
1527933084,5410,5410
1527935226,5414,5414
1527935226,5414,5414
1527937882,5390,5390
1527937882,5390,5390
1527940244,4896,4896
1527942655,4883,4883
1527942655,4883,4883
1527944978,4848,4848
1527944978,4848,4848
1527947221,4837,4837
1527947221,4837,4837
1527949079,4842,4842
1527951402,4833,4833
1527951402,4833,4833
1527953731,4869,4869
1527953731,4869,4869
1527956418,4860,4860
1527956418,4860,4860
1527958706,4593,4593
1527958706,4593,4593
1527961207,4846,4846
1527961207,4846,4846
1527963574,4838,4838
1527965976,4836,4836
1527965976,4836,4836
1527968430,4827,4827
1527968430,4827,4827
1527970751,4596,4596
1527970751,4596,4596
1527972892,4310,4310
1527972892,4310,4310
1527974870,4595,4595
1527977298,4595,4595
1527977298,4595,4595
1527982004,4596,4596
1527984247,4804,4804
1527984247,4804,4804
1527986652,4809,4809
1527991410,4806,4806
1527991410,4806,4806
1527993832,4774,4774
1527993832,4774,4774
1527996232,4759,4759
1527996232,4759,4759
1527998623,4743,4743
1528003388,4594,4594
1528005414,4670,4670
1528007369,4606,4606
1528009332,4608,4608
1528011147,4626,4626
1528013066,4619,4619
1528014998,4652,4652
1528016905,4659,4659
1528018847,4683,4683
1528020748,4675,4675
1528022661,4685,4685
1528024489,4666,4666
1528026496,4667,4667
1528028312,4671,4671
1528030348,4673,4673
1528032265,4670,4670
1528034184,4653,4653
1528036107,3874,3874
1528038105,3100,3100
1528039949,3063,3063
1528041876,3057,3057
1528043777,3048,3048
1528045705,3062,3062
1528047707,3048,3048
1528049550,3045,3045
1528051509,3036,3036
1528053399,3039,3039
1528055341,3039,3039
1528057227,3031,3031
1528059193,3032,3032
1528061069,3049,3049
1528063014,3039,3039
1528064922,3031,3031
1528066913,3030,3030
1528068754,3007,3007
1528070695,3626,3626
1528072578,5632,5632
1528074541,7561,7561
1528076425,7920,7920
1528078395,7917,7917
1528080263,7889,7889
1528082239,7906,7906
