DateTime,Entries,UniqueIPs
1527723185,593,593
1527725076,588,588
1527726993,590,590
1527728919,581,581
1527730834,576,576
1527732758,573,573
1527734691,568,568
1527736591,570,570
1527738515,567,567
1527740435,561,561
1527742367,540,540
1527744279,533,533
1527746203,529,529
1527748150,527,527
1527750106,525,525
1527751963,514,514
1527753891,504,504
1527755802,504,504
1527757720,495,495
1527759635,486,486
1527761570,478,478
1527763507,475,475
1527765397,468,468
1527767317,453,453
1527769260,452,452
1527771175,442,442
1527773073,434,434
1527774996,438,438
1527776909,427,427
1527778916,419,419
1527780797,416,416
1527782676,411,411
1527784637,408,408
1527786549,395,395
1527788473,389,389
1527790508,388,388
1527792319,387,387
1527794189,388,388
1527796147,375,375
1527798029,367,367
1527799965,362,362
1527801884,360,360
1527803804,357,357
1527806015,352,352
1527807882,339,339
1527809831,335,335
1527811721,326,326
1527813639,319,319
1527815569,311,311
1527817509,304,304
1527819400,299,299
1527821337,297,297
1527823235,288,288
1527825177,281,281
1527827083,287,287
1527829023,308,308
1527830919,303,303
1527832911,303,303
1527834782,300,300
1527836681,293,293
1527838614,294,294
1527840533,289,289
1527842463,281,281
1527844375,276,276
1527846322,279,279
1527848199,278,278
1527850121,276,276
1527852051,292,292
1527853959,302,302
1527855879,304,304
1527857845,319,319
1527859713,324,324
1527861709,327,327
1527863576,333,333
1527865479,336,336
1527867416,339,339
1527869356,344,344
1527871240,351,351
1527873098,355,355
1527875074,348,348
1527876984,342,342
1527878922,339,339
1527880823,337,337
1527882744,338,338
1527884684,341,341
1527886586,338,338
1527888503,343,343
1527890553,349,349
1527894183,349,349
1527896176,350,350
1527898407,349,349
1527900314,340,340
1527902251,343,343
1527904153,343,343
1527906084,342,342
1527907998,338,338
1527909928,342,342
1527911830,342,342
1527916452,310,310
1527918692,304,304
1527921149,296,296
1527923341,299,299
1527926040,301,301
1527928531,286,286
1527928531,286,286
1527930875,300,300
1527933086,300,300
1527935228,286,286
1527937884,267,267
1527937884,267,267
1527940246,251,251
1527940246,251,251
1527942658,243,243
1527942658,243,243
1527944981,229,229
1527944981,229,229
1527947225,221,221
1527947225,221,221
1527949082,219,219
1527949082,219,219
1527951405,225,225
1527951405,225,225
1527953735,230,230
1527953735,230,230
1527956421,226,226
1527961210,241,241
1527961210,241,241
1527965980,258,258
1527965980,258,258
1527968433,259,259
1527968433,259,259
1527984250,308,308
1527984250,308,308
1527986654,315,315
1527991413,334,334
1527991413,334,334
1527993834,340,340
1527993834,340,340
1527996235,340,340
1527998626,345,345
1528003390,288,288
1528005416,368,368
1528007372,373,373
1528009334,375,375
1528011150,381,381
1528013069,382,382
1528015000,386,386
1528016907,387,387
1528018850,390,390
1528020750,396,396
1528022663,406,406
1528024491,408,408
1528026498,408,408
1528028315,408,408
1528030350,402,402
1528032267,400,400
1528034186,405,405
1528036110,404,404
1528038107,394,394
1528039951,391,391
1528041877,389,389
1528043778,393,393
1528045706,387,387
