DateTime,AddedIPs,RemovedIPs
1527448135,2,0
1527450034,2,0
1527451958,2,1
1527455795,0,1
1527457714,1,0
1527460602,1,3
1527462526,3,0
1527464462,1,0
1527466358,1,1
1527470192,0,1
1527472145,0,1
1527474033,1,1
1527476001,0,1
1527479857,1,0
1527483756,1,0
1527485578,0,2
1527489383,0,2
1527491323,0,3
1527493221,4,0
1527495146,0,2
1527497088,1,0
1527498984,0,1
1527500908,1,0
1527502844,0,1
1527506666,0,1
1527508602,1,0
1527514374,0,1
1527520129,1,0
1527527806,1,1
1527529704,2,1
1527531641,3,0
1527535465,0,2
1527537401,2,3
1527539303,0,1
1527543164,2,0
1527545107,1,2
1527547003,1,0
1527548996,1,3
1527550826,1,1
1527552801,0,1
1527554668,4,0
1527558524,3,0
1527560473,1,1
1527562410,3,0
1527566204,1,1
1527568146,1,0
1527570101,0,1
1527573918,2,0
1527575816,1,0
1527577740,1,0
1527579662,0,4
1527581546,2,0
1527583520,0,1
1527585395,1,0
1527587337,0,1
1527589239,1,0
1527591178,1,0
1527595009,0,1
1527596914,3,0
1527600750,1,0
1527602715,10,0
1527604583,11,0
1527606549,3,1
1527608437,1,0
1527610412,5,0
1527613161,1,1
1527615149,6,2
1527617068,2,2
1527618982,1,1
1527620908,2,0
1527622821,5,0
1527624744,1,2
1527626683,7,0
1527628581,2,1
1527630516,1,2
1527632436,2,0
1527634340,5,1
1527636262,9,2
1527638198,3,0
1527640098,6,1
1527642107,1,3
1527643939,1,2
1527645966,5,1
1527647798,5,4
1527649704,3,0
1527651617,3,0
1527653547,0,1
1527655482,0,1
1527657380,4,0
1527661225,0,3
1527663141,3,0
1527665083,1,1
1527668899,1,2
1527670901,1,0
1527672757,1,1
1527674690,1,0
1527676590,0,1
1527678500,0,1
1527680594,1,0
1527682582,1,2
1527684497,3,1
1527686423,3,0
1527688339,2,10
1527690266,0,6
1527692197,1,7
1527694103,2,3
1527696111,3,4
1527698222,5,2
1527700034,0,1
1527702019,0,5
1527703946,1,2
1527705866,0,2
1527707783,1,2
1527709729,1,4
1527711625,1,2
1527713541,4,7
1527715466,4,1
1527717384,0,1
1527719302,2,4
1527721324,3,6
1527723185,2,7
1527725076,1,2
1527726994,1,6
1527728919,2,2
1527730834,5,2
1527732758,0,4
1527734692,2,4
1527736591,2,3
1527738515,1,3
1527742368,3,1
1527744279,2,3
1527748150,1,1
1527750106,1,2
1527751964,1,1
1527753891,1,0
1527755803,0,1
1527757721,1,1
1527759636,2,1
1527761570,1,1
1527763508,3,0
1527767317,3,1
1527769260,0,1
1527771175,0,3
1527773073,2,4
1527774996,0,1
1527778916,1,2
1527780798,2,1
1527782676,0,3
1527784637,2,5
1527788473,2,0
1527790509,0,1
1527794189,1,1
1527796147,1,1
1527798029,1,1
1527799966,1,4
1527801884,0,4
1527803804,3,0
1527806015,1,2
1527807882,0,3
1527809831,1,2
1527811722,0,1
1527813639,0,1
1527815569,1,3
1527817509,0,4
1527819400,1,0
1527821338,0,2
1527823235,1,2
1527825177,2,1
1527827083,0,1
1527829024,0,2
1527830919,0,2
1527832912,1,0
1527834783,0,2
1527838614,0,2
1527842464,1,0
1527844375,1,1
1527846322,0,2
1527848199,3,1
1527850121,2,3
1527852051,1,2
1527853960,3,1
1527855879,1,0
1527857845,1,0
1527859713,0,2
1527861710,1,0
1527863577,3,0
1527865479,6,2
1527867416,3,1
1527869357,2,1
1527871240,3,1
1527875074,1,2
1527876985,1,0
1527880823,1,1
1527882745,2,1
1527884684,0,1
1527886587,0,1
1527890553,0,3
1527894183,2,1
1527896176,0,1
1527902251,1,1
1527904153,1,1
1527907999,1,0
1527909929,0,1
1527911830,0,2
1527914428,1,0
1527916452,1,0
1527918693,1,1
1527921150,0,0
1527923342,0,0
1527926041,0,0
1527933087,2,2
1527935229,0,3
1527937885,3,2
1527940247,0,4
1527942658,0,2
1527944982,0,0
1527947226,0,1
1527949083,0,2
1527951405,0,5
1527953735,1,5
1527956422,1,2
1527961210,3,4
1527965980,3,2
1527968434,3,0
1527984250,17,4
1527991414,2,2
1527993835,1,1
1527996235,2,0
1527998627,1,0
1528005416,7,3
1528007372,3,0
1528011151,2,0
1528013069,2,0
1528015000,1,0
1528016907,2,1
1528018850,1,1
1528022664,0,3
1528024491,1,0
1528028316,1,0
1528032267,3,0
1528034187,1,0
1528036111,1,0
1528039951,0,1
1528041877,2,0
1528043779,0,1
1528045706,0,2
1528047708,0,1
1528049551,1,2
1528051511,1,0
1528053401,1,4
1528055345,1,0
1528057229,1,4
1528059195,0,2
1528063016,0,1
1528064924,0,2
1528066915,0,6
1528068756,1,0
1528070697,0,2
1528072580,1,2
1528078397,2,0
1528080265,0,1
1528082241,0,1
1528084117,1,2
1528086058,0,2
1528087951,1,1
1528089907,0,2
1528091779,0,2
1528093733,0,3
1528097594,0,2
1528099472,0,2
1528101452,0,1
1528103306,0,2
1528105273,0,1
1528107156,1,0
1528109099,1,0
1528110989,0,1
1528112928,3,0
1528114841,0,1
1528118684,1,3
1528120551,0,1
1528122513,0,1
1528126348,1,0
1528128340,0,2
1528135961,0,1
1528137877,0,1
1528139814,1,1
1528141718,0,1
1528143642,0,1
1528153322,1,0
1528155153,0,1
1528157073,2,0
1528159007,0,1
1528160915,2,0
1528164758,0,2
1528166678,1,0
