DateTime,AddedIPs,RemovedIPs
1528336097,9,0
1528336825,6,16
1528337546,7,28
1528338278,11,6
1528338979,7,7
1528339706,11,13
1528340429,5,0
1528341153,6,14
1528341863,8,0
1528342581,2,16
1528343545,11,3
1528344261,7,12
1528344991,8,3
1528345700,5,7
1528346418,5,3
1528347140,4,3
1528347863,6,6
1528348582,5,7
1528349295,5,4
1528350022,2,3
1528350744,6,3
1528351468,7,7
1528352182,7,2
1528352956,6,1
1528353907,3,9
1528354648,12,8
1528355295,4,4
1528356007,8,12
1528356735,5,4
1528357448,6,2
1528358169,4,6
1528358891,11,5
1528359613,5,5
1528360339,5,5
1528361049,5,8
1528361769,7,5
1528362490,4,8
1528363210,5,10
1528363932,4,4
1528364656,11,2
1528365367,8,9
1528366099,3,4
1528366812,9,13
1528367537,4,4
1528368250,8,4
1528368969,5,3
1528369687,6,5
1528370409,3,5
1528371133,6,8
1528371857,7,7
1528372566,5,5
1528373294,1,10
1528374016,5,5
1528374740,10,2
1528375450,5,5
1528376170,3,3
1528376889,4,6
1528377620,3,4
1528378334,4,4
1528379053,5,11
1528379766,6,4
1528380493,5,4
1528381207,7,7
1528381947,5,4
1528382659,7,9
1528383638,9,15
1528384333,7,0
1528385054,6,19
1528385768,7,0
1528386493,8,10
1528387214,3,0
1528387934,6,23
1528388650,9,0
1528389376,6,16
1528390090,3,0
1528390815,6,5
1528391532,6,8
1528392252,6,3
1528392968,5,7
1528393695,6,8
1528394415,8,9
1528395139,9,11
1528395852,3,0
1528396576,14,35
1528397291,10,0
1528398021,9,0
1528398732,7,0
1528399465,11,0
1528400180,5,42
1528400908,4,0
1528401625,6,0
1528402344,8,0
1528403059,5,0
1528403783,8,0
1528404497,5,0
1528405222,8,0
1528405940,6,39
1528406668,9,0
1528407378,6,0
1528408100,5,0
1528409545,5,24
1528410259,3,0
1528411098,4,0
1528411934,11,41
1528412651,5,0
1528413379,10,0
1528414097,4,0
1528414823,8,0
1528415553,4,0
1528416265,4,0
1528416979,7,27
1528417692,8,0
1528418411,12,0
1528419144,5,0
1528419854,7,18
1528420569,5,0
1528421290,10,0
1528422011,7,10
1528422741,11,11
1528423469,14,6
1528424179,8,12
1528424901,6,4
1528425621,11,6
1528426345,8,8
1528427063,8,6
1528427795,8,7
1528428498,4,9
1528429249,7,8
1528429927,9,0
1528430655,5,11
1528431368,5,8
1528432091,12,8
1528432817,8,4
1528433532,5,9
1528434251,4,4
1528434971,9,3
1528435690,3,1
1528436423,4,5
1528437135,4,7
1528437862,2,8
1528438571,5,6
1528439185,1,6
1528440013,14,3
1528440953,5,7
1528441702,1,9
1528442406,5,0
1528443135,7,5
1528443850,2,9
1528444460,2,0
1528445300,4,18
1528446011,6,0
1528446992,5,8
1528447696,4,6
1528448424,8,1
1528449151,3,1
1528449862,8,10
1528450578,3,10
1528451426,8,6
1528452260,9,7
1528452971,15,9
1528453690,3,4
1528454409,9,3
1528455139,7,7
1528455853,1,5
1528456570,9,4
1528457289,8,3
1528458011,11,4
1528458727,5,4
1528459460,5,14
1528460173,9,3
1528460892,4,5
1528461611,2,5
1528462351,6,7
1528463053,5,8
1528463773,3,6
1528464489,8,4
1528465467,6,13
1528466180,10,9
1528466906,6,9
1528467616,8,5
1528469558,12,16
1528470260,3,6
1528470981,9,4
1528471697,5,5
1528472421,8,6
1528473138,8,8
1528473877,5,8
1528474576,9,4
1528475303,9,5
1528476019,6,3
1528476745,7,6
1528477711,18,6
1528478416,2,8
1528479143,7,3
1528479890,7,4
1528480600,6,3
1528481290,3,3
1528482013,6,8
1528482732,7,2
1528483453,6,17
1528484168,9,9
1528484900,5,8
1528485605,2,9
1528486333,14,8
1528487305,10,3
1528488270,9,17
1528488975,6,7
1528489701,7,3
1528490419,4,5
1528491142,2,5
1528492108,8,5
1528492816,8,12
1528493545,6,10
1528494257,3,6
1528494979,3,10
1528495699,3,8
1528496423,10,7
1528497497,7,9
1528498477,11,20
1528499291,10,3
1528500015,36,10
1528500745,12,5
1528501458,7,6
1528502178,4,5
1528502915,6,5
1528503616,17,8
1528504344,17,8
1528505065,9,10
1528505781,3,4
1528506499,6,7
1528507219,5,12
1528507942,10,17
1528508665,13,5
1528509376,12,12
1528510107,9,9
1528510817,10,9
1528511545,6,4
