DateTime,Entries,UniqueIPs
1528336097,13189,13503
1528336825,13177,13491
1528337546,13172,13486
1528338278,13179,13493
1528338979,13180,13494
1528339706,13178,13492
1528340429,13178,13492
1528341153,13176,13490
1528341863,13181,13495
1528342581,13178,13492
1528343545,13185,13499
1528344261,13177,13492
1528344991,13173,13488
1528345700,13176,13491
1528346418,13176,13491
1528347140,13177,13492
1528347863,13173,13488
1528348582,13170,13485
1528349295,13170,13485
1528350022,13170,13486
1528350744,13172,13488
1528351468,13173,13489
1528352182,13175,13491
1528352956,13176,13492
1528353907,13171,13487
1528354648,13172,13488
1528355295,13176,13492
1528356007,13175,13491
1528356735,13177,13493
1528357448,13175,13491
1528358169,13175,13491
1528358891,13176,13492
1528359613,13177,13493
1528360339,13176,13492
1528361049,13176,13492
1528361769,13177,13493
1528362490,13174,13490
1528363210,13173,13489
1528363932,13173,13489
1528364656,13170,13486
1528365367,13168,13484
1528366099,13162,13478
1528366812,13167,13483
1528367537,13162,13478
1528368250,13160,13476
1528368969,13155,13471
1528369687,13159,13475
1528370409,13156,13472
1528371133,13155,13471
1528371857,13154,13470
1528372566,13153,13469
1528373294,13149,13465
1528374016,13148,13464
1528374740,13150,13466
1528375450,13151,13467
1528376170,13148,13464
1528376889,13139,13455
1528377620,13137,13453
1528378334,13130,13446
1528379053,13128,13444
1528379766,13130,13446
1528380493,13127,13442
1528381207,13131,13446
1528381947,13123,13438
1528382659,13107,13422
1528383638,13106,13421
1528384333,13106,13421
1528385054,13105,13420
1528385768,13106,13421
1528386493,13106,13421
1528387214,13099,13414
1528387934,13103,13418
1528388650,13104,13419
1528389376,13107,13422
1528390090,13099,13414
1528390815,13100,13415
1528391532,13101,13416
1528392252,13090,13405
1528392968,13087,13402
1528393695,13084,13398
1528394415,13080,13394
1528395139,13083,13397
1528395852,13077,13391
1528396576,13083,13397
1528397291,13084,13398
1528398021,13084,13398
1528398732,13088,13402
1528399465,13093,13407
1528400180,13082,13396
1528400908,13083,13397
1528401625,13085,13399
1528402344,13083,13397
1528403059,13076,13390
1528403783,13072,13386
1528404497,13075,13389
1528405222,13078,13392
1528405940,13074,13388
1528406668,13068,13382
1528407378,13072,13386
1528408100,13070,13384
1528408831,13065,13379
1528409545,13061,13375
1528410259,13056,13370
1528411098,13042,13356
1528411934,13047,13363
1528412651,13043,13359
1528413379,13040,13356
1528414097,13043,13359
1528414823,13047,13363
1528415553,13042,13358
1528416265,13039,13355
1528416979,13044,13360
1528417692,13044,13360
1528418411,13047,13363
1528419144,13041,13357
1528419854,13040,13356
1528420569,13040,13356
1528421290,13043,13358
1528422011,13044,13359
1528422741,13042,13357
1528423469,13041,13356
1528424179,13040,13355
1528424901,13038,13353
1528425621,13043,13358
1528426345,13039,13354
1528427063,13039,13354
1528427795,13039,13354
1528428498,13029,13344
1528429249,13029,13344
1528429927,13033,13348
1528430655,13033,13348
1528431368,13031,13346
1528432091,13036,13351
1528432817,13037,13352
1528433532,13036,13351
1528434251,13038,13353
1528434971,13040,13355
1528435690,13042,13357
1528436423,13038,13353
1528437135,13040,13356
1528437862,13033,13349
1528438571,13030,13346
1528439185,13025,13341
1528440013,13032,13348
1528440953,13034,13350
1528441702,13029,13345
1528442406,13027,13343
1528443135,13030,13346
1528443850,13029,13345
1528444460,13027,13343
1528445300,13024,13340
1528446011,13027,13343
1528446992,12994,13279
1528447696,12961,13239
1528448424,12965,13243
1528449151,12958,13236
1528449862,12960,13238
1528450578,12957,13235
1528451426,12958,13236
1528452260,12964,13241
1528452971,12970,13247
1528453690,12964,13241
1528454409,12965,13243
1528455139,12965,13243
1528455853,12961,13239
1528456570,12966,13244
1528457289,12968,13246
1528458011,12969,13248
1528458727,12970,13249
1528459460,12972,13251
1528460173,12973,13252
1528460892,12972,13251
1528461611,12969,13248
1528462351,12971,13250
1528463053,12971,13250
1528463773,12969,13248
1528464489,12970,13249
1528465467,12970,13249
1528466180,12965,13244
1528466906,12970,13249
1528467616,12973,13253
1528469558,12962,13242
1528470260,12957,13237
1528470981,12955,13234
1528471697,12957,13236
1528472421,12958,13237
1528473138,12959,13238
1528473877,12952,13231
1528474576,12955,13234
1528475303,12955,13234
1528476019,12951,13230
1528476745,12954,13233
1528477711,12962,13244
1528478416,12954,13236
1528479143,12954,13237
1528479890,12953,13236
1528480600,12953,13236
1528481290,12947,13230
1528482013,12947,13230
1528482732,12939,13222
1528483453,12936,13219
1528484168,12937,13220
1528484900,12933,13216
1528485605,12930,13213
1528486333,12932,13215
1528487305,12934,13217
1528488270,12928,13212
1528488975,12928,13212
1528489701,12928,13211
1528490419,12927,13210
1528491142,12923,13206
1528492108,12921,13205
1528492816,12925,13209
1528493545,12923,13207
1528494257,12923,13207
1528494979,12917,13201
1528495699,12916,13200
1528496423,12914,13198
1528497497,12915,13199
1528498477,12916,13200
1528499291,12925,13209
1528500015,12937,13230
1528500745,12940,13234
1528501458,12947,13241
1528502178,12944,13238
1528502915,12947,13241
1528503616,12951,13249
1528504344,12962,13263
1528505065,12964,13265
1528505781,12958,13259
1528506499,12955,13259
1528507219,12954,13258
1528507942,12950,13256
1528508665,12953,13260
1528509376,12952,13259
1528510107,12949,13257
1528510817,12950,13259
1528511545,12950,13259
1528512259,12949,13258
1528512978,12942,13251
1528513699,12945,13256
1528514428,12938,13249
1528515135,12942,13253
1528515862,12935,13247
1528516578,12942,13254
1528517397,12936,13248
1528518016,12932,13246
1528518743,12934,13248
1528519458,12937,13253
1528520183,12930,13246
1528520897,12931,13247
1528521621,12935,13253
1528522340,12934,13256
1528523065,12937,13259
1528523776,12938,13260
1528524503,12932,13254
1528525216,12939,13261
1528525950,12941,13263
1528526659,12945,13267
1528527382,12933,13255
1528528102,12937,13263
1528528824,12937,13263
1528529540,12943,13269
1528530261,12948,13274
1528530977,12950,13276
1528531714,12940,13266
1528532417,12940,13269
