DateTime,AddedIPs,RemovedIPs
1528336825,36,31
1528337546,34,39
1528338278,46,48
1528338979,30,37
1528339706,41,34
1528340429,37,31
1528341153,28,53
1528341863,45,24
1528342581,18,35
1528343545,41,44
1528344261,38,48
1528344991,46,33
1528345700,32,46
1528346418,41,33
1528347140,27,40
1528347863,34,51
1528348582,57,45
1528349295,45,36
1528350022,42,42
1528350744,40,35
1528351468,34,38
1528352182,40,39
1528352956,42,38
1528353907,33,36
1528354648,38,39
1528355295,39,27
1528356007,29,38
1528356735,31,33
1528357448,47,26
1528358169,25,34
1528358891,35,28
1528359613,23,35
1528360339,35,44
1528361049,51,34
1528361769,38,58
1528362490,49,32
1528363210,37,36
1528363932,51,36
1528364656,52,39
1528365367,34,37
1528366099,29,38
1528366812,33,43
1528367537,32,41
1528368250,46,28
1528368969,25,40
1528369687,41,29
1528370409,19,33
1528371133,33,31
1528371857,37,37
1528372566,39,22
1528373294,21,47
1528374016,30,35
1528374740,45,38
1528375450,38,27
1528376170,20,31
1528376889,29,31
1528377620,20,22
1528378334,29,32
1528379053,42,32
1528379766,29,40
1528380493,38,43
1528381207,36,40
1528381947,39,37
1528382659,50,40
1528383638,56,45
1528384333,40,29
1528385054,38,24
1528385768,29,48
1528386493,50,40
1528387214,46,39
1528387934,36,60
1528388650,51,24
1528389376,27,31
1528390090,36,39
1528390815,40,39
1528391532,38,52
1528392252,39,25
1528392968,32,28
1528393695,31,34
1528394415,37,41
1528395139,53,41
1528395852,24,38
1528396576,40,25
1528397291,25,50
1528398021,47,38
1528398732,36,26
1528399465,38,32
1528400180,26,32
1528400908,30,31
1528401625,41,34
1528402344,28,51
1528403059,40,34
1528403783,36,31
1528404497,27,24
1528405222,33,33
1528405940,32,29
1528406668,26,53
1528407378,40,48
1528408100,46,50
1528408831,48,23
1528409545,26,42
1528410259,36,32
1528411098,26,58
1528411934,65,43
1528412651,25,33
1528413379,32,28
1528414097,29,35
1528414823,30,32
1528415553,26,35
1528416265,39,25
1528416979,27,26
1528417692,25,25
1528418411,37,32
1528419144,28,41
1528419854,40,22
1528420569,21,30
1528421290,25,54
1528422011,52,38
1528422741,28,35
1528423469,44,43
1528424179,38,41
1528424901,38,35
1528425621,36,41
1528426345,46,36
1528427063,31,46
1528427795,45,22
1528428498,24,31
1528429249,34,32
1528429927,37,32
1528430655,34,38
1528431368,38,51
1528432091,63,42
1528432817,35,43
1528433532,44,40
1528434251,42,43
1528434971,41,39
1528435690,37,40
1528436423,45,39
1528437135,37,42
1528437862,30,48
1528438571,47,38
1528439185,29,39
