DateTime,AddedIPs,RemovedIPs
1528015172,0,3
1528016728,3,4
1528018954,2,0
1528019787,2,0
1528021236,3,7
1528022448,0,18
1528023938,3,7
1528026163,0,3
1528026991,4,1
1528028164,4,3
1528029647,1,3
1528032042,6,3
1528033538,1,19
1528035271,0,9
1528036535,1,13
1528037860,1,0
1528038865,2,13
1528040548,3,27
1528041440,2,0
1528042514,1,6
1528044075,0,9
1528045187,1,8
1528047750,2,17
1528048593,2,0
1528049742,4,22
1528050515,0,1
1528052190,8,21
1528053336,5,4
1528054525,7,10
1528055727,7,0
1528056867,5,10
1528057726,4,1
1528059392,4,6
1528060853,6,3
1528062077,8,8
1528063853,23,1
1528065756,16,1
1528066614,8,0
1528067682,5,3
1528069385,19,2
1528071264,17,3
1528072126,8,1
1528072955,7,7
1528074876,17,0
1528076548,14,1
1528077393,8,0
1528078479,10,1
1528079318,8,0
1528080698,5,1
1528081849,6,4
1528082913,5,0
1528084193,3,1
1528085451,5,3
1528087383,10,2
1528088190,5,0
1528089346,5,0
1528090957,4,4
1528091789,0,1
1528092915,2,4
1528094571,1,3
1528095946,0,2
1528097088,1,0
1528098991,3,1
1528100139,0,3
1528101749,3,2
1528103677,5,2
1528104523,1,0
1528105838,2,2
1528107053,2,0
1528109003,5,5
1528110343,3,2
1528112178,6,3
1528112558,1,2
1528114484,1,3
1528115875,1,11
1528117559,1,4
1528119048,3,4
1528119767,3,0
1528120589,2,0
1528121666,0,3
1528122507,1,0
1528123366,0,7
1528125273,5,2
1528127800,2,6
1528128955,2,3
1528129706,3,1
1528130562,2,10
1528131938,8,5
1528133322,5,1
1528134162,6,9
1528134987,1,0
1528136164,1,4
1528137747,1,3
1528139138,1,13
1528140646,2,8
1528141347,1,0
1528142577,2,9
1528144951,1,18
1528146344,0,2
1528148057,3,10
1528148557,0,2
1528150247,1,2
1528152148,4,5
1528152989,0,1
1528154082,2,4
1528155768,2,5
1528156585,1,0
1528158508,0,3
1528159829,0,1
1528161039,1,2
1528162949,1,6
1528164944,1,1
1528166563,0,6
1528167406,1,0
1528168495,3,3
1528170152,1,2
1528172066,2,7
1528172904,1,0
1528173763,0,3
1528175674,6,1
1528176511,2,0
1528178191,2,1
1528179347,0,1
1528180835,6,5
1528182332,8,3
1528183705,5,0
1528186478,14,6
1528188154,8,5
1528190065,7,1
1528190911,3,0
1528192533,6,6
1528193740,4,2
1528194501,2,0
1528196129,3,3
1528197346,1,13
1528199785,2,4
1528200870,3,4
1528201710,6,0
1528202542,1,6
1528204469,4,0
1528205735,2,2
1528206924,2,0
1528208074,3,1
1528209452,1,4
1528211140,6,1
1528211681,8,0
1528212510,1,0
1528215262,12,2
1528217141,2,2
1528218332,2,2
1528219529,2,0
1528220542,2,6
1528221388,1,0
1528222541,4,4
1528223321,3,0
1528224148,1,11
1528226074,7,8
1528226914,2,0
1528227749,0,6
1528228595,1,0
1528229671,2,6
1528230511,7,0
1528232192,1,13
1528233278,3,13
1528234901,2,27
1528236644,2,11
1528237833,2,13
1528239385,1,0
1528240479,1,15
1528241308,1,0
1528242160,1,27
1528243830,6,13
1528244902,2,0
1528246040,1,16
1528247151,1,21
1528248640,5,22
1528249853,4,3
1528251041,2,5
1528252519,3,7
1528254338,1,10
1528256011,3,4
1528257292,1,0
1528258530,7,12
1528259312,4,0
1528260991,11,8
1528262077,12,1
1528263754,12,3
1528264593,3,0
1528265663,2,1
1528266797,3,1
1528267355,2,1
1528269262,5,2
1528270873,1,2
