DateTime,AddedIPs,RemovedIPs
1527672339,5,0
1527673562,1,0
1527675272,0,4
1527679723,1,0
1527680872,0,1
1527682489,0,1
1527683325,1,0
1527684946,0,2
1527688412,1,0
1527689748,1,1
1527691360,2,1
1527693271,1,1
1527694966,0,6
1527696949,0,2
1527699092,2,0
1527702153,0,1
1527703460,1,1
1527704785,2,0
1527705949,0,1
1527707671,0,1
1527709365,1,1
1527712123,2,0
1527713754,0,1
1527714877,0,1
1527716575,2,0
1527720057,3,1
1527723766,0,1
1527725447,0,1
1527727355,0,1
1527730120,2,0
1527734582,0,1
1527735408,1,0
1527736499,0,2
1527738661,0,1
1527742604,2,1
1527743692,0,1
1527749814,0,2
1527755743,0,1
1527756968,1,0
1527758176,1,1
1527759872,0,1
1527761448,0,1
1527763842,1,0
1527766869,1,2
1527770555,0,1
1527776085,1,2
1527779755,1,1
1527781279,0,10
1527783289,1,1
1527784585,0,3
1527786977,0,1
1527788138,2,0
1527789569,1,0
1527790514,1,0
1527792165,0,2
1527793545,1,1
1527795107,1,2
1527799260,1,2
1527800749,0,2
1527802262,2,0
1527803497,1,0
1527806567,1,1
1527809137,2,0
1527810171,0,1
1527812080,3,0
1527813781,0,1
1527819287,1,0
1527820968,0,1
1527822404,1,0
1527824101,1,1
1527825409,1,0
1527826486,1,0
1527827330,1,0
1527828648,2,0
1527831769,0,1
1527833756,1,0
1527834935,1,0
1527837271,1,1
1527838548,0,1
1527840884,1,1
1527843032,0,5
1527844482,1,0
1527846045,2,0
1527849767,1,1
1527850603,1,0
1527853367,0,1
1527854193,2,0
1527858352,1,0
1527859528,1,1
1527860567,0,2
1527862552,3,1
1527864063,1,0
1527865259,0,1
1527866088,1,0
1527867759,1,14
1527869200,0,1
1527870511,4,0
1527872740,1,1
1527873932,1,0
1527875744,2,2
1527878554,0,1
1527883011,0,2
1527884933,1,0
1527886609,2,3
1527889843,0,2
1527892116,1,0
1527893443,1,0
1527898482,5,0
1527899318,0,1
1527900153,1,2
1527906532,1,0
1527908756,1,0
1527910217,1,1
1527910956,1,0
1527914566,0,1
1527916472,1,0
1527923736,7,1
1527925352,0,0
1527927344,2,0
1527928545,0,0
1527929795,0,0
1527930949,0,1
1527934247,1,1
1527935731,1,1
1527936159,0,0
1527938917,2,0
1527941743,2,1
1527945273,5,1
1527948880,1,0
1527950582,0,1
1527951396,1,0
1527952491,1,3
1527953737,1,4
1527956744,1,0
1527957767,3,2
1527958604,0,0
1527959753,1,1
1527961351,3,0
1527963049,1,0
1527964971,1,2
1527965796,1,0
1527966881,0,0
1527968550,1,0
1527970486,2,1
1527972155,4,2
1527972995,2,0
1527974082,0,0
1527974931,0,0
1527975761,0,0
1527977448,1,0
1527978514,0,0
1527979355,0,1
1527980199,0,0
1527981348,0,0
1527982864,1,0
1527983793,0,0
1527985720,1,0
1527990630,1,1
1527991853,1,0
1527992922,1,0
1527995166,1,3
1527995675,0,0
1527997308,2,1
1527999275,0,3
1528000856,1,0
1528002340,3,0
1528002889,0,0
1528004558,0,2
1528006486,2,0
1528007827,2,1
1528010078,4,0
1528013673,0,10
1528016743,3,0
1528018119,1,0
1528021243,2,1
1528022459,1,0
1528023948,0,1
1528030979,3,0
1528032288,1,0
1528033546,1,1
1528036542,1,1
1528038871,1,0
1528040555,0,11
1528041452,1,0
1528042527,0,1
1528044089,0,1
1528045198,0,1
1528047757,1,0
1528050522,1,0
1528052200,3,0
1528053350,1,0
1528054532,1,1
1528062085,0,2
1528069401,0,6
1528071270,3,0
1528072962,1,0
1528074882,2,0
1528076562,0,1
1528077400,1,0
1528078487,1,1
1528079326,1,0
1528080714,0,2
1528081859,1,0
1528087394,1,3
1528088198,1,0
1528089356,0,1
1528091048,0,1
1528091796,2,0
1528092949,1,0
1528094577,1,1
1528095965,1,1
1528099003,2,1
1528103684,1,1
1528105845,2,1
1528109010,1,2
1528112206,0,2
1528112565,0,1
1528114490,3,2
1528115891,0,1
1528119073,2,0
1528121673,0,1
1528125280,0,1
1528127810,2,0
1528128967,3,2
1528129712,2,0
1528130570,1,2
1528131945,0,2
1528133328,1,0
1528134169,1,1
1528135000,1,0
1528136191,0,1
1528139149,1,1
1528140654,0,1
1528142630,2,4
1528146367,2,1
1528148066,3,0
1528154088,2,1
1528155776,2,2
1528156592,1,0
1528158515,5,0
1528159836,1,0
1528162956,1,2
1528164956,0,1
1528166571,0,2
1528168509,0,1
1528170204,1,1
1528172072,0,1
1528176517,1,0
1528178198,0,1
1528179354,1,0
1528180842,1,4
1528182338,1,0
1528183710,1,0
1528186484,4,1
1528188160,0,1
1528192539,0,3
1528193748,1,0
1528194509,1,0
1528196136,1,0
1528197353,2,0
1528199791,2,0
1528200877,0,1
1528202549,0,1
1528204475,0,1
1528208080,1,0
1528209458,1,1
1528215268,5,8
1528217147,0,1
1528220548,0,3
1528222551,0,2
1528223328,2,0
1528224155,0,2
1528229677,1,1
1528230517,1,0
1528232198,3,0
1528233283,3,0
1528234907,1,0
1528236650,1,0
1528237845,1,0
1528239391,2,0
1528240485,1,1
1528242166,0,4
1528243836,1,2
1528244909,1,0
1528246072,2,0
1528247416,1,1
1528248651,2,2
1528251048,29,0
1528252526,1,0
1528256034,2,1
1528257299,1,0
1528258538,1,0
1528259318,2,0
1528260999,1,0
1528262082,0,2
1528263762,1,1
1528265669,0,2
1528266818,0,2
1528269268,0,1
1528275943,0,1
1528282385,1,0
1528283742,1,0
1528284930,1,3
1528286282,3,0
1528287283,1,0
1528289007,0,2
1528296639,0,1
1528299460,2,7
1528301667,2,2
1528303657,0,5
1528305043,2,1
1528306960,1,0
1528308523,1,1
1528313320,3,2
1528318603,1,6
1528325006,3,1
1528329034,5,5
1528332989,2,0
1528334133,5,0
1528335654,1,1
1528337446,1,0
1528338696,1,0
1528341272,0,2
1528346456,3,2
1528349330,1,0
1528350507,1,1
1528352073,0,1
1528354229,0,1
1528357362,1,1
1528361790,1,0
1528363241,0,1
1528363719,1,0
1528364559,0,2
1528366472,1,0
1528367308,1,0
1528368999,2,1
1528370142,0,1
1528372740,1,0
1528374044,1,0
1528375237,3,0
1528377340,3,0
1528378981,0,1
1528383071,1,0
1528384472,13,1
1528385737,0,12
1528386989,6,0
1528388073,0,1
1528389755,3,0
1528391668,1,1
1528392875,2,2
1528394099,1,0
1528397801,1,0
1528398963,1,0
1528400743,1,2
1528402482,0,2
1528403318,2,0
1528405535,0,3
1528407943,0,1
1528409446,0,3
1528410633,0,1
1528413040,1,1
1528414250,1,1
1528415441,1,0
1528416870,0,3
1528418548,0,2
1528419399,1,0
1528420540,0,29
1528423003,2,1
1528425709,0,1
1528427687,0,1
1528429370,0,3
1528433792,1,1
1528434888,1,0
1528438240,1,0
1528442068,2,0
1528443752,1,0
1528445678,1,0
1528448752,26,0
1528449882,1,0
1528452871,23,0
1528454548,6,1
1528456471,1,3
1528459705,1,1
1528463152,2,0
1528464653,1,0
1528467284,2,0
1528468960,2,1
1528470141,0,1
1528473354,2,3
1528474569,2,1
1528476206,0,2
1528477588,0,1
1528481727,0,1
1528483008,0,2
1528486122,1,1
1528487442,1,0
1528489042,0,1
1528490551,0,2
1528492484,1,0
1528494157,0,1
1528495857,0,3
1528498602,1,1
1528499743,4,2
1528501265,1,1
1528503278,0,1
1528505735,0,1
1528509381,0,1
1528511261,1,1
1528513548,1,0
1528515232,0,1
1528516615,3,0
1528519358,1,3
1528520679,1,2
1528522119,0,1
1528522965,0,3
1528528544,0,1
1528534197,2,2
1528535436,0,1
1528536516,1,0
1528537356,0,1
1528539283,3,1
1528542867,0,2
1528544450,1,3
1528545388,1,0
1528546475,0,1
1528548154,0,2
1528553436,0,5
1528554649,1,8
1528557218,0,6
1528558330,0,4
1528560919,0,3
1528562075,0,2
1528563389,0,1
1528564502,1,1
1528567337,1,1
1528568075,1,0
1528569661,2,1
1528573348,0,2
1528578638,1,0
1528579851,0,1
1528581056,0,1
1528582246,0,1
1528584232,4,1
1528586071,1,2
1528589670,0,1
1528591349,0,1
1528593278,1,1
1528594119,1,0
1528596897,1,0
1528598152,4,0
1528599349,1,0
1528602108,1,0
1528605059,1,1
1528606245,2,0
1528607746,1,0
1528609358,0,1
1528611050,0,1
1528612964,1,1
1528614339,0,1
1528618240,0,4
1528620158,0,22
1528621001,1,0
1528622151,1,0
1528623760,0,30
1528625152,1,0
1528627836,0,1
1528629036,1,0
1528630956,1,2
1528634567,0,1
1528638160,2,3
1528639838,0,1
1528643676,2,2
1528645360,1,4
1528648121,1,0
1528648957,1,0
1528652558,0,1
1528654242,1,0
1528656163,1,1
1528658087,0,1
1528661681,1,1
