DateTime,Entries,UniqueIPs
1528009009,591,591
1528010084,589,589
1528011536,579,579
1528012614,581,581
1528013679,575,575
1528015252,571,571
1528016750,570,570
1528018967,572,572
1528019800,574,574
1528021250,569,569
1528022465,553,553
1528023953,549,549
1528026175,546,546
1528027005,548,548
1528028189,550,550
1528029660,548,548
1528030995,547,547
1528033552,529,529
1528035284,522,522
1528036548,509,509
1528037874,509,509
1528038878,499,499
1528040562,476,476
1528041458,477,477
1528042535,471,471
1528044108,462,462
1528045258,456,456
1528047763,441,441
1528048605,443,443
1528049766,424,424
1528050528,423,423
1528052206,410,410
1528053357,411,411
1528054540,410,410
1528055741,416,416
1528056903,411,411
1528057739,414,414
1528059406,413,413
1528060876,417,417
1528062092,419,419
1528064125,447,447
1528065778,454,454
1528066626,460,460
1528067695,463,463
1528069410,480,480
1528071277,494,494
1528072138,503,503
1528072969,504,504
1528074889,520,520
1528076581,533,533
1528077407,541,541
1528078495,552,552
1528079332,559,559
1528080727,563,563
1528081867,565,565
1528082929,569,569
1528084221,571,571
1528085719,574,574
1528086535,574,574
1528087401,580,580
1528088205,585,585
1528089370,590,590
1528091058,589,589
1528091803,588,588
1528092955,588,588
1528094585,585,585
1528097101,586,586
1528099010,588,588
1528100154,587,587
1528101763,588,588
1528103691,589,589
1528104536,590,590
1528105852,590,590
1528107168,592,592
1528108120,595,595
1528109016,593,593
1528110364,594,594
1528112217,598,598
1528112571,596,596
1528114498,594,594
1528115910,585,585
1528117587,582,582
1528119088,580,580
1528119780,583,583
1528120601,585,585
1528121680,582,582
1528122521,583,583
1528123381,577,577
1528125286,578,578
1528127816,573,573
1528128991,572,572
1528129719,573,573
1528130576,565,565
1528131954,567,567
1528133335,571,571
1528134176,566,566
1528135007,567,567
1528136213,564,564
1528136991,562,562
1528137761,563,563
1528139156,552,552
1528140685,547,547
1528141361,548,548
1528142642,543,543
1528144966,528,528
1528146385,526,526
1528148082,517,517
1528148571,515,515
1528150260,514,514
1528152162,512,512
1528153003,511,511
1528154093,508,508
1528155783,504,504
1528158521,502,502
1528159842,501,501
1528161052,501,501
1528162962,496,496
1528164978,496,496
1528166578,492,492
1528167420,493,493
1528168533,492,492
1528170220,491,491
1528172079,486,486
1528172916,487,487
1528173775,484,484
1528175712,489,489
1528176523,490,490
1528178204,491,491
1528179362,490,490
1528180849,490,490
1528182345,496,496
1528183717,500,500
1528186489,508,508
1528188166,511,511
1528190078,517,517
1528190924,520,520
1528192544,521,521
1528193761,524,524
1528194514,525,525
1528196142,524,524
1528197359,513,513
1528199797,511,511
1528200882,510,510
1528201722,516,516
1528202554,513,513
1528204480,517,517
1528205748,518,518
1528206942,521,521
1528208086,522,522
1528209463,519,519
1528211151,524,524
1528211692,527,527
1528212521,528,528
1528215273,532,532
1528217154,531,531
1528218343,530,530
1528219542,531,531
1528220553,527,527
1528221403,528,528
1528222558,528,528
1528223333,529,529
1528224160,519,519
1528226084,518,518
1528226925,520,520
1528227761,514,514
1528228607,515,515
1528229683,510,510
1528230523,512,512
1528232208,500,500
1528233289,489,489
1528234912,469,469
1528236659,462,462
1528237852,451,451
1528239397,452,452
1528240491,438,438
1528241319,439,439
1528242171,413,413
1528243841,406,406
1528244914,408,408
1528246083,393,393
1528247425,374,374
1528248661,357,357
1528249875,358,358
1528251055,355,355
1528252532,351,351
1528254351,343,343
1528256040,342,342
1528258544,337,337
1528259323,342,342
1528261004,345,345
1528262088,356,356
1528263767,365,365
1528264605,368,368
1528265674,369,369
1528266826,371,371
1528267366,372,372
1528269273,374,374
1528270898,373,373
1528272644,387,387
1528274447,390,390
1528275948,398,398
1528277316,403,403
1528278166,407,407
1528280088,410,410
1528282391,420,420
1528283750,437,437
1528284936,443,443
1528286318,454,454
1528287288,463,463
1528289012,475,475
1528290872,484,484
1528292554,493,493
1528294474,492,492
1528295325,493,493
1528296645,495,495
1528298085,495,495
1528299466,494,494
1528301672,490,490
1528302525,492,492
1528303663,483,483
1528305048,483,483
1528306965,484,484
1528308528,483,483
1528313324,492,492
1528318609,508,508
1528325012,514,514
1528329039,516,516
1528332994,515,515
1528335664,514,514
1528337453,514,514
1528338708,515,515
1528339843,516,516
1528341277,516,516
1528342685,518,518
1528344881,516,516
1528346469,511,511
1528348483,514,514
1528350516,510,510
1528352079,508,508
1528352926,509,509
1528354235,503,503
1528355674,498,498
1528357368,491,491
1528358776,487,487
1528360120,488,488
1528361796,481,481
1528363248,475,475
1528364564,470,470
1528366477,472,472
1528367314,475,475
1528369005,474,474
1528370147,474,474
1528371344,467,467
1528372746,467,467
1528374049,468,468
1528375242,466,466
1528377347,466,466
1528378127,468,468
1528378986,468,468
1528379797,470,470
1528381723,472,472
1528383076,472,472
1528384478,473,473
1528385743,477,477
1528388078,471,471
1528389760,472,472
1528391674,472,472
1528392881,469,469
1528395219,464,464
1528396960,464,464
1528397806,466,466
1528398969,467,467
1528400748,470,470
1528401396,472,472
1528402487,479,479
1528403323,480,480
1528405541,478,478
1528406728,487,487
1528407949,504,504
1528409453,508,508
1528410641,505,505
1528413045,506,506
1528414257,506,506
1528415446,505,505
1528416875,506,506
1528418554,507,507
1528419404,511,511
1528420546,508,508
1528421313,512,512
1528423008,518,518
1528424162,517,517
1528425721,519,519
1528427693,527,527
1528428516,530,530
1528429379,525,525
1528430211,533,533
1528431347,524,524
1528432114,526,526
1528433797,511,511
1528434894,511,511
1528436453,515,515
1528438246,517,517
1528439323,520,520
1528440155,517,517
1528442073,510,510
1528443757,504,504
1528445683,499,499
1528447251,496,496
1528448759,489,489
1528449888,490,490
1528450988,467,467
1528452876,459,459
1528454554,454,454
1528455395,460,460
1528456477,460,460
1528457321,465,465
1528458192,455,455
1528459710,452,452
1528460921,455,455
1528463162,443,443
1528464665,452,452
1528466143,465,465
1528467289,465,465
1528468966,468,468
1528470152,470,470
1528471719,473,473
1528473359,473,473
1528474621,478,478
1528476212,485,485
1528477595,493,493
1528478996,494,494
1528480549,497,497
1528481735,497,497
1528483014,494,494
1528484192,498,498
1528486127,503,503
1528487448,492,492
1528489047,490,490
1528489793,482,482
1528490556,487,487
1528491401,493,493
1528492489,495,495
1528494163,502,502
1528496102,511,511
1528496914,516,516
1528498608,521,521
1528499749,529,529
1528501274,533,533
1528503283,535,535
1528504131,536,536
1528505741,542,542
1528506882,540,540
1528507724,541,541
1528509391,540,540
1528511305,542,542
1528512437,540,540
1528513554,537,537
1528515250,534,534
1528516621,535,535
1528517750,534,534
1528519364,539,539
1528520684,535,535
1528522124,536,536
1528522970,534,534
1528524888,535,535
1528526398,536,536
1528528550,537,537
1528530165,536,536
1528532146,534,534
1528532924,535,535
1528534203,536,536
1528535441,536,536
1528535685,537,537
1528536522,535,535
1528537362,531,531
1528539288,533,533
1528540227,532,532
1528541799,536,536
1528542873,536,536
1528544455,539,539
1528545394,541,541
1528546479,539,539
1528548160,536,536
1528549012,537,537
1528550149,538,538
1528551765,531,531
1528553442,535,535
1528554655,536,536
1528556088,532,532
1528557223,534,534
1528558345,533,533
1528560934,534,534
1528562080,535,535
1528565751,538,538
1528567352,544,544
1528568080,546,546
1528569679,551,551
1528571146,555,555
1528572944,563,563
1528575275,565,565
1528576128,571,571
1528577268,558,558
1528578644,557,557
1528579863,562,562
1528581078,563,563
1528582252,563,563
1528583323,565,565
1528584237,560,560
1528586078,559,559
1528587203,556,556
1528588316,555,555
1528589676,552,552
1528591354,543,543
1528593283,544,544
1528594124,552,552
1528596919,557,557
1528598164,555,555
1528599356,553,553
1528600514,552,552
1528602114,553,553
1528603854,557,557
1528605072,557,557
1528606256,562,562
1528606597,563,563
1528607754,559,559
1528609364,564,564
1528611055,577,577
1528612970,586,586
1528614344,588,588
1528615739,592,592
1528616888,587,587
1528618246,586,586
1528619325,587,587
1528620165,585,585
1528621007,586,586
1528622163,587,587
1528623765,576,576
1528625159,568,568
1528626534,571,571
1528627841,558,558
1528629042,559,559
1528630961,558,558
1528632890,552,552
1528634577,537,537
1528636486,531,531
1528638166,527,527
1528639844,524,524
1528640921,525,525
1528642524,516,516
1528643681,515,515
1528645365,502,502
1528646200,503,503
1528647350,501,501
1528648127,503,503
1528648962,496,496
1528650884,492,492
1528652564,491,491
1528654247,489,489
1528656172,490,490
1528658094,492,492
1528659759,492,492
1528660609,493,493
1528661686,482,482
1528663387,470,470
1528666120,468,468
1528666970,455,455
1528667812,457,457
1528668950,453,453
1528670087,446,446
1528671393,448,448
1528672550,442,442
1528673315,444,444
1528674172,450,450
1528675006,463,463
1528676149,472,472
1528677298,482,482
1528678727,488,488
1528679675,496,496
1528681451,519,519
1528683406,533,533
1528684294,544,544
1528685815,556,556
1528686877,559,559
1528688049,562,562
1528689410,570,570
1528690479,571,571
1528692185,580,580
1528694074,590,590
1528695794,600,600
1528696610,602,602
1528697749,601,601
1528698521,602,602
1528700790,601,601
1528702970,602,602
1528704888,600,600
1528706147,600,600
1528707956,600,600
1528708486,601,601
1528710188,598,598
1528711760,598,598
