DateTime,AddedIPs,RemovedIPs
1528037825,184,0
1528038847,138,120
1528040527,125,206
1528041398,69,0
1528042482,74,127
1528044036,139,220
1528045165,65,88
1528047728,206,79
1528048568,78,0
1528049912,92,171
1528050487,29,0
1528052166,106,205
1528053307,90,120
1528054499,85,88
1528055707,186,0
1528056846,528,153
1528057695,107,0
1528059367,172,160
1528060807,64,92
1528062035,87,107
1528063818,131,74
1528065734,170,109
1528066566,90,0
1528067647,88,167
1528069337,151,153
1528071246,207,48
1528072087,119,0
1528072929,93,104
1528074845,187,83
1528076529,141,117
1528077367,82,0
1528078454,118,55
1528079288,85,0
1528080653,138,142
1528081809,99,73
1528082888,80,0
1528084150,192,112
1528085410,114,96
1528087331,185,137
1528088168,46,0
1528089309,72,175
1528090933,302,159
1528091767,47,0
1528092885,73,177
1528094535,140,215
1528095920,111,122
1528097068,97,0
1528098970,204,287
1528100108,89,159
1528101728,145,139
1528103647,195,207
1528104486,97,0
1528105807,111,230
1528107009,98,109
1528108978,111,173
1528110307,124,62
1528112119,115,116
1528112527,26,90
1528114447,102,94
1528115853,100,117
1528117513,120,132
1528119012,151,175
1528119735,60,0
1528120567,71,0
1528121646,81,192
1528122487,73,0
1528123341,99,269
1528125247,216,115
1528127769,172,164
1528128931,98,114
1528129687,109,0
1528130528,112,214
1528131910,126,123
1528133287,133,0
1528134129,99,272
1528134967,69,0
1528136121,107,109
1528136905,113,0
1528137727,96,155
1528139107,78,265
1528140620,59,146
1528141327,44,0
1528142535,51,214
1528143908,53,0
1528144928,67,263
1528146304,69,142
1528148007,90,125
1528148528,26,52
1528150208,78,131
1528152128,89,228
1528152968,63,0
1528154054,65,127
1528155728,98,187
1528156566,38,0
1528158487,170,271
1528159811,61,273
1528161006,51,74
1528162928,66,275
1528163766,44,0
1528164908,60,81
1528166528,112,130
1528167368,46,0
1528168457,51,74
1528170129,98,109
1528172046,115,179
1528172887,56,0
1528173733,53,192
1528175656,173,109
1528176486,49,0
1528178168,85,109
1528179314,64,171
1528180807,94,105
1528182311,76,262
1528183686,127,0
1528186453,188,473
1528188128,126,335
1528190046,131,177
1528190887,62,0
1528192506,107,264
1528193711,63,115
1528194486,37,0
1528196106,88,173
1528197314,64,198
1528198086,37,1
1528199766,79,150
1528200846,71,133
1528201686,43,0
1528202526,47,266
1528204446,78,121
1528205706,78,159
1528206907,64,68
1528208052,52,200
1528209433,58,202
1528211111,74,153
1528211651,41,0
1528212486,60,0
1528215246,218,289
1528217114,149,186
1528218313,92,99
1528219506,106,0
1528220525,74,146
1528221366,51,0
1528222511,71,91
1528223292,118,0
1528224126,72,136
1528226053,175,357
1528226886,52,0
1528227727,42,485
1528228573,36,0
1528229647,60,202
1528230487,38,0
1528232165,129,147
1528233254,111,110
1528234885,92,185
1528236607,106,132
1528237706,34,0
1528239367,111,139
1528240446,51,177
1528241286,82,0
1528242126,58,323
1528243806,124,134
1528244886,60,0
1528246005,72,175
1528247125,68,181
1528248616,127,207
1528249824,65,85
1528251012,89,151
1528252493,74,113
1528254307,114,244
1528255980,79,222
1528257271,67,1
1528258506,88,120
1528259287,60,0
1528260965,108,361
1528262046,76,82
1528263734,191,138
1528264566,73,0
1528265646,71,159
1528266759,60,175
1528267326,47,68
1528269246,128,144
1528270856,115,191
1528272606,115,101
1528274406,136,183
1528275910,96,157
1528276445,28,0
1528277287,75,0
1528278126,69,151
1528280045,113,112
