DateTime,AddedIPs,RemovedIPs
1528019792,5,0
1528021241,5,12
1528022457,10,6
1528023947,4,6
1528026168,3,11
1528026996,4,0
1528028179,7,3
1528029652,7,7
1528030965,5,7
1528032286,6,0
1528033544,5,5
1528035277,2,4
1528036540,6,2
1528037866,2,0
1528038870,0,2
1528040554,4,6
1528041451,2,0
1528042519,1,3
1528044088,4,9
1528045196,4,1
1528047755,6,1
1528049751,0,6
1528050521,3,0
1528052199,5,6
1528053348,1,1
1528054531,7,4
1528055733,5,0
1528056891,4,2
1528059398,0,4
1528060859,1,2
1528062083,2,5
1528063860,0,4
1528065763,2,1
1528066619,3,0
1528067687,3,8
1528069395,1,3
1528071269,7,2
1528072131,2,0
1528072961,8,16
1528074881,12,9
1528076555,10,10
1528077398,7,0
1528078486,8,7
1528079324,9,0
1528080712,13,11
1528081858,12,4
1528082919,11,0
1528084200,6,11
1528085457,13,11
1528087392,19,8
1528088196,8,0
1528089353,8,10
1528091027,6,12
1528091795,1,0
1528092927,6,7
1528094576,8,11
1528095963,8,5
1528097094,3,0
1528098997,6,16
1528100145,15,7
1528101755,9,7
1528103683,12,12
1528104529,8,0
1528105844,15,7
1528107056,7,6
1528108113,6,0
1528109009,2,6
1528110354,8,5
1528112189,7,6
1528112564,2,1
1528114489,9,1
1528115881,10,9
1528117567,11,15
1528119058,6,1
1528119773,2,0
1528121672,2,3
1528122513,2,0
1528123373,4,5
1528125279,1,4
1528127808,8,12
1528128965,1,1
1528129711,1,0
1528130569,4,7
1528131943,1,1
1528134168,2,7
1528134993,1,0
1528136181,2,10
1528136939,4,0
1528137753,5,4
1528139147,2,4
1528140652,2,2
1528141353,1,0
1528142621,0,4
1528143935,2,0
1528144957,0,4
1528146356,2,1
1528148064,2,4
1528150253,2,3
1528152154,1,4
1528152995,1,0
1528154087,3,1
1528155774,3,5
1528158514,8,12
1528159835,8,14
1528161044,2,5
1528162955,9,20
1528163792,11,0
1528164950,8,6
1528166569,12,3
1528167412,4,0
1528168501,2,0
1528170203,6,19
1528172071,8,4
1528172909,6,0
1528173768,4,6
1528175679,19,4
1528176516,7,0
1528178196,12,9
1528179352,8,10
1528180841,12,6
1528182337,7,12
1528183709,18,0
1528186482,15,12
1528188159,11,11
1528190070,12,8
1528190917,8,0
1528192538,11,11
1528193747,7,7
1528194507,2,0
1528196135,10,2
1528197351,9,8
1528198108,5,0
1528199790,2,6
1528200876,6,4
1528201715,3,0
1528202547,3,8
1528204474,8,5
1528205740,4,2
1528206930,3,1
1528208079,2,3
1528209457,4,2
1528211145,3,7
1528211686,1,0
1528212514,2,0
1528215267,4,12
1528217146,2,16
1528218337,4,2
1528219535,2,0
1528220547,4,4
1528221395,3,0
1528222550,1,1
1528223327,2,0
1528224154,3,3
1528226078,3,21
1528226919,1,0
1528227755,1,3
1528228601,3,0
1528229676,3,2
1528230515,1,0
1528232197,4,2
1528233282,1,1
1528234906,2,0
1528236649,1,5
1528237840,4,4
1528239390,4,0
1528240484,1,4
1528241313,3,0
1528242165,2,11
1528243834,8,6
1528244907,5,0
1528246060,5,17
1528247155,7,11
1528248646,10,14
1528249861,11,7
1528251047,9,10
1528252525,12,11
1528254344,13,9
1528256026,12,15
1528257298,10,0
1528258537,6,14
1528259317,5,0
1528260998,10,13
1528262081,5,2
1528263761,9,11
1528264598,4,0
1528265668,6,11
1528266808,6,6
1528267359,1,1
1528269267,16,8
1528270890,14,15
1528272637,12,3
1528274440,6,12
1528275942,9,14
1528276466,2,0
1528277310,1,0
1528278160,5,10
1528280082,15,11
1528282384,13,15
1528283741,9,9
1528284929,4,6
1528286251,4,4
1528287282,1,8
1528289006,1,10
1528290866,8,3
1528292548,5,2
1528294468,5,5
1528296638,9,13
1528299459,4,4
1528301666,1,3
1528302518,6,0
1528303656,3,1
1528305037,5,4
1528306959,12,6
1528308522,4,7
1528313318,8,8
1528318602,12,5
1528325005,13,9
1528329032,15,12
1528332988,23,15
1528334111,4,15
1528335652,5,18
1528337445,16,3
1528338694,11,9
1528339835,6,0
1528341270,12,9
1528342678,7,12
1528344874,20,12
1528346455,13,10
1528347419,6,0
1528348476,3,9
1528349328,5,0
1528350495,7,17
1528352072,13,8
1528352918,3,0
1528354228,10,20
1528355667,10,4
1528357361,9,11
1528358760,10,13
1528360113,17,0
1528361789,9,21
1528363240,9,6
1528363718,3,0
1528364558,5,11
1528366471,7,8
1528367307,13,0
1528368994,7,10
1528370140,8,8
1528371337,1,7
1528372739,5,4
1528374042,6,1
1528375236,4,8
1528377339,6,6
1528378120,1,0
1528378980,3,5
1528379790,3,0
1528381717,8,4
1528383070,3,5
1528384467,3,8
1528385735,1,8
1528388072,1,4
1528389754,3,6
1528391667,1,2
1528392874,0,7
1528394098,7,0
1528395212,0,9
1528396953,5,6
1528398962,2,5
1528400742,5,3
1528402480,4,4
1528403317,3,0
1528405534,9,9
1528406710,2,1
1528407941,2,4
1528409445,6,4
1528410631,1,4
1528413038,1,5
1528414248,4,9
1528415439,5,2
1528416869,3,6
1528417706,6,0
1528418547,2,12
1528419397,4,1
1528420538,8,17
1528421307,2,0
1528423002,12,16
1528424152,10,7
1528425708,14,12
1528427686,13,12
1528428509,3,0
1528429369,7,8
1528430203,7,0
1528431340,12,13
1528432108,5,0
1528433791,11,10
1528434887,8,6
1528436446,4,9
1528438239,16,13
1528439315,9,0
1528440149,7,16
1528442067,13,12
1528443751,17,12
1528445677,16,12
1528447244,11,2
1528448751,9,8
1528449881,9,0
1528450981,10,18
1528452870,13,5
1528454547,12,9
1528455388,2,0
1528456470,8,6
1528457315,5,0
1528458181,4,2
1528459704,8,4
1528460914,3,0
1528463150,5,11
1528464645,4,2
1528466136,7,0
1528467280,3,9
1528468959,3,2
1528470124,4,2
1528471713,10,0
1528473353,1,10
1528474567,2,1
1528476205,1,14
1528477587,2,4
1528478981,3,5
1528480542,8,0
1528481721,4,2
1528483007,3,4
