DateTime,AddedIPs,RemovedIPs
1528037865,148,5
1528038869,106,53
1528040552,79,81
1528041445,42,1
1528042518,39,76
1528044083,96,89
1528045193,49,48
1528047754,130,31
1528048596,39,7
1528049748,39,66
1528050520,24,5
1528052198,51,138
1528053347,53,58
1528054529,50,61
1528055731,102,6
1528056880,58,66
1528057730,67,2
1528059396,67,77
1528060858,35,54
1528062082,49,53
1528063859,63,41
1528065761,110,66
1528066617,67,3
1528067686,41,122
1528069390,81,97
1528071268,104,31
1528072130,64,8
1528072959,64,27
1528074880,124,35
1528076553,89,46
1528077397,55,1
1528078484,81,26
1528079323,50,4
1528080711,96,60
1528081857,52,39
1528082918,35,6
1528084198,164,48
1528085455,70,42
1528087390,117,57
1528088195,22,2
1528089351,34,136
1528090994,239,86
1528091794,16,5
1528092925,30,111
1528094575,87,124
1528095961,74,83
1528097092,63,5
1528098996,158,198
1528100144,52,92
1528101754,53,94
1528103681,117,132
1528104527,30,6
1528105842,63,158
1528107060,59,75
1528109007,61,114
1528110351,56,21
1528112187,49,68
1528112562,5,75
1528114488,37,53
1528115880,49,74
1528117565,74,59
1528119057,73,114
1528119771,26,1
1528120592,23,3
1528121671,31,95
1528122511,34,5
1528123371,46,190
1528125277,82,90
1528127805,40,91
1528128961,31,59
1528129710,30,8
1528130568,32,132
1528131942,29,82
1528133326,34,4
1528134166,38,197
1528134991,18,3
1528136174,32,51
1528136937,28,4
1528137752,52,73
1528139145,28,155
1528140650,18,86
1528141352,13,4
1528142594,31,121
1528143933,20,5
1528144956,22,180
1528146359,32,94
1528148063,27,45
1528148562,8,20
1528150252,45,78
1528152153,38,105
1528152993,32,5
1528154085,27,69
1528155772,36,130
1528156590,10,4
1528158512,110,213
1528159833,23,211
1528161043,11,41
1528162953,23,160
1528163791,18,2
1528164948,16,45
1528166567,59,74
1528167411,32,0
1528168500,19,39
1528170163,26,54
1528172070,59,130
1528172908,16,3
1528173767,23,105
1528175678,84,69
1528176514,13,2
1528178195,38,54
1528179351,21,107
1528180839,16,52
1528182336,18,153
1528183708,43,7
1528186481,67,313
1528188158,43,221
1528190069,24,135
1528190916,21,1
1528192537,23,138
1528193745,20,57
1528194506,12,2
1528196133,34,127
1528197350,19,105
1528198107,6,3
1528199789,19,98
1528200874,22,81
1528201714,10,2
1528202546,11,191
1528204473,16,80
1528205739,19,60
1528206928,18,44
1528208078,19,150
1528209455,28,156
1528211144,36,74
1528211685,8,1
1528212513,15,3
1528215266,46,177
1528217145,22,111
1528218335,20,65
1528219533,29,4
1528220546,13,72
1528221394,20,1
1528222545,21,41
1528223326,67,0
1528224153,37,78
1528226077,79,144
1528226918,24,0
1528227753,11,89
1528228600,14,2
1528229675,13,78
1528230514,12,2
1528232196,38,72
1528233281,25,62
1528234905,26,97
1528236648,23,96
1528237839,8,67
1528239389,31,1
1528240482,13,101
1528241312,7,2
1528242164,20,150
1528243833,30,86
1528244906,22,1
1528246052,24,105
1528247155,21,113
1528248643,60,127
1528249864,15,55
1528251046,17,96
1528252524,23,51
1528254343,39,186
1528256020,28,138
1528257296,18,2
1528258535,25,59
1528259316,23,0
1528260996,32,271
1528262080,32,41
1528263759,91,65
1528264597,47,3
1528265667,39,107
1528266801,31,117
1528267358,23,48
1528269266,48,104
1528270889,33,90
1528272636,35,58
1528274439,29,100
1528275937,30,90
1528276465,12,0
1528277308,10,0
1528278159,19,74
1528280081,33,43
1528282383,44,73
1528283739,44,19
1528284927,33,60
1528286250,37,15
1528287281,17,48
1528289005,47,81
1528290864,46,56
1528292547,48,73
1528294467,46,115
1528295318,59,2
1528296637,56,60
1528298077,47,27
1528299458,29,47
1528301665,41,59
1528302517,18,1
1528303655,19,62
1528305036,30,35
1528306958,30,57
1528308521,42,85
1528313317,104,49
1528318601,196,102
1528325004,251,185
1528329031,132,123
1528332986,126,45
1528334114,75,25
1528335649,112,75
1528337444,61,42
1528338691,32,33
1528339834,15,5
1528341269,57,26
1528342676,72,55
1528344873,97,60
1528346454,24,72
1528347417,33,3
1528348475,17,29
1528349327,11,4
1528350492,39,32
1528352071,62,19
1528352917,43,0
1528354226,52,65
1528355666,67,36
1528357360,35,34
1528358758,79,44
1528360112,36,36
1528361787,56,35
1528363239,36,15
1528363716,14,0
1528364557,36,32
1528366470,112,31
1528367306,55,1
1528368993,125,21
1528370138,24,30
1528371336,30,28
1528372737,27,15
1528374041,14,7
1528375234,49,19
1528377339,82,29
1528378119,25,2
1528378978,22,39
1528379789,36,2
1528381715,59,33
1528383068,34,29
1528384465,76,27
1528385734,98,21
1528386987,48,2
1528388071,26,29
1528389752,118,36
1528391665,49,29
1528392873,19,74
1528394097,42,5
1528395211,38,117
1528396952,32,63
1528397799,15,1
1528398961,18,21
1528400740,53,26
1528401388,21,1
1528402479,45,41
1528403316,32,4
1528405533,65,65
1528406705,32,0
1528407940,46,37
1528409444,37,28
1528410630,22,16
1528413037,75,34
1528414243,19,28
1528415438,56,11
1528415789,25,2
1528416868,15,23
1528417705,13,1
1528418546,25,69
1528419396,20,4
1528420537,22,20
1528421305,47,2
1528423000,50,39
1528424151,33,19
1528425706,38,45
1528427685,68,23
1528428507,56,0
1528429368,46,45
1528430201,29,2
1528431338,58,40
1528432106,27,2
1528433787,50,63
1528434886,40,63
1528436445,51,55
1528438238,55,51
1528439314,31,3
1528440148,30,49
1528442066,56,31
1528443750,32,38
1528445676,85,25
1528447243,70,30
1528448749,40,41
1528449880,35,2
1528450980,48,37
1528452869,82,38
1528454546,74,49
1528455387,21,2
1528456468,25,36
1528457314,28,0
1528458180,21,35
1528459703,93,39
1528460913,39,4
1528463148,82,92
1528464643,26,80
1528466134,28,1
1528467278,47,75
1528468958,68,55
1528470123,72,21
1528471711,71,4
1528473352,60,45
1528474565,24,34
1528476178,67,37
1528477586,36,38
1528478945,46,1
1528480541,61,25
1528481711,25,57
1528483006,33,36
1528484185,26,31
1528486119,63,46
1528487431,69,81
1528489024,65,43
1528489716,15,4
1528490549,19,78
1528491394,40,2
1528492481,28,89
1528494155,83,53
1528495855,40,25
1528496906,11,2
1528498598,31,136
1528499739,75,26
1528501260,96,89
1528503069,38,25
1528503275,4,1
1528504123,19,6
1528505733,23,143
1528506875,40,72
1528507716,25,1
1528509378,90,67
1528511225,52,19
1528512377,36,109
1528513545,45,70
1528515228,53,30
1528516612,54,4
1528517742,24,44
1528519356,55,35
1528520672,33,37
1528522116,34,3
1528522962,34,101
1528524880,44,71
1528526379,113,50
1528528542,57,76
1528530157,50,68
1528530998,23,2
1528532138,26,50
1528532915,24,3
1528534194,74,36
1528535434,46,100
1528535677,16,5
1528536514,33,3
1528537354,24,141
1528539281,43,57
1528540211,28,42
1528541791,29,15
1528542865,26,23
1528544448,39,57
1528545386,19,1
1528546472,26,47
1528548152,42,40
1528549005,18,4
1528550140,36,54
1528551753,59,71
1528553434,39,29
1528554645,27,61
1528556080,29,34
1528557215,21,37
1528558321,28,75
1528559709,48,3
1528560902,32,120
1528562069,23,36
1528563387,23,5
1528564499,17,56
1528565743,29,43
1528567324,59,37
1528568072,31,6
1528569655,78,50
1528571138,113,41
1528573346,71,99
1528575267,30,85
1528576119,14,2
1528577248,31,62
1528578635,103,48
1528579844,34,26
1528581052,27,22
1528582244,18,33
1528586069,95,106
1528587190,25,27
1528588307,21,20
1528589668,38,28
1528590526,25,1
1528591346,18,74
1528593276,56,39
1528594116,13,1
1528596895,74,94
1528598149,39,94
1528599346,80,28
1528600494,27,41
1528602085,60,84
1528603845,37,42
1528605055,46,57
1528606241,18,19
1528606589,6,2
1528607744,24,32
1528609356,32,76
1528611044,24,30
1528612961,50,50
1528614337,45,65
1528615730,29,4
1528616873,17,104
1528618238,35,31
1528619318,16,4
1528620156,17,58
1528620999,27,3
1528622147,40,80
1528622921,27,2
1528623757,21,98
1528625150,74,31
1528626525,47,1
1528627834,26,55
1528629034,46,44
1528630953,67,137
1528632881,54,43
1528634561,61,43
1528636477,26,41
1528638158,33,93
1528639836,48,52
1528640914,39,3
1528642509,55,84
1528643674,56,42
1528645357,101,84
1528646192,29,2
1528647341,29,43
1528648119,41,1
1528648955,29,65
1528649790,23,1
1528650877,12,31
1528652556,64,60
1528654240,71,30
1528656158,115,46
1528658085,92,81
1528659751,57,71
1528660600,35,5
1528661678,30,50
1528663380,44,43
1528666111,95,90
1528666963,33,21
