DateTime,Entries,UniqueIPs
1528037865,9446,9446
1528038869,9499,9499
1528040552,9497,9497
1528041445,9538,9538
1528042518,9501,9501
1528044083,9508,9508
1528045193,9509,9509
1528047754,9608,9608
1528048596,9640,9640
1528049748,9613,9613
1528050520,9632,9632
1528052198,9545,9545
1528053347,9540,9540
1528054529,9529,9529
1528055731,9625,9625
1528056880,9617,9617
1528057730,9682,9682
1528059396,9672,9672
1528060858,9653,9653
1528062082,9649,9649
1528063859,9671,9671
1528065761,9715,9715
1528066617,9779,9779
1528067686,9698,9698
1528069390,9682,9682
1528071268,9755,9755
1528072130,9811,9811
1528072959,9848,9848
1528074880,9937,9937
1528076553,9980,9980
1528077397,10034,10034
1528078484,10089,10089
1528079323,10135,10135
1528080711,10171,10171
1528081857,10184,10184
1528082918,10213,10213
1528084198,10329,10329
1528085455,10357,10357
1528087390,10417,10417
1528088195,10437,10437
1528089351,10335,10335
1528090994,10488,10488
1528091794,10499,10499
1528092925,10418,10418
1528094575,10381,10381
1528095961,10372,10372
1528097092,10430,10430
1528098996,10390,10390
1528100144,10350,10350
1528101754,10309,10309
1528103681,10294,10294
1528104527,10318,10318
1528105842,10223,10223
1528107060,10207,10207
1528109007,10154,10154
1528110351,10189,10189
1528112187,10170,10170
1528112562,10100,10100
1528114488,10084,10084
1528115880,10059,10059
1528117565,10074,10074
1528119057,10033,10033
1528119771,10058,10058
1528120592,10078,10078
1528121671,10014,10014
1528122511,10043,10043
1528123371,9899,9899
1528125277,9891,9891
1528127805,9840,9840
1528128961,9812,9812
1528129710,9834,9834
1528130568,9734,9734
1528131942,9681,9681
1528133326,9711,9711
1528134166,9552,9552
1528134991,9567,9567
1528136174,9548,9548
1528136937,9572,9572
1528137752,9551,9551
1528139145,9424,9424
1528140650,9356,9356
1528141352,9365,9365
1528142594,9275,9275
1528143933,9290,9290
1528144956,9132,9132
1528146359,9070,9070
1528148063,9052,9052
1528148562,9040,9040
1528150252,9007,9007
1528152153,8940,8940
1528152993,8967,8967
1528154085,8925,8925
1528155772,8831,8831
1528156590,8837,8837
1528158512,8734,8734
1528159833,8546,8546
1528161043,8516,8516
1528162953,8379,8379
1528163791,8395,8395
1528164948,8366,8366
1528166567,8351,8351
1528167411,8383,8383
1528168500,8363,8363
1528170163,8335,8335
1528172070,8264,8264
1528172908,8277,8277
1528173767,8195,8195
1528175678,8210,8210
1528176514,8221,8221
1528178195,8205,8205
1528179351,8119,8119
1528180839,8083,8083
1528182336,7948,7948
1528183708,7984,7984
1528186481,7738,7738
1528188158,7560,7560
1528190069,7449,7449
1528190916,7469,7469
1528192537,7354,7354
1528193745,7317,7317
1528194506,7327,7327
1528196133,7234,7234
1528197350,7148,7148
1528198107,7151,7151
1528199789,7072,7072
1528200874,7013,7013
1528201714,7021,7021
1528202546,6841,6841
1528204473,6777,6777
1528205739,6736,6736
1528206928,6710,6710
1528208078,6579,6579
1528209455,6451,6451
1528211144,6413,6413
1528211685,6420,6420
1528212513,6432,6432
1528215266,6301,6301
1528217145,6212,6212
1528218335,6167,6167
1528219533,6192,6192
1528220546,6133,6133
1528221394,6152,6152
1528222545,6132,6132
1528223326,6199,6199
1528224153,6158,6158
1528226077,6093,6093
1528226918,6117,6117
1528227753,6039,6039
1528228600,6051,6051
1528229675,5986,5986
1528230514,5996,5996
1528232196,5962,5962
1528233281,5925,5925
1528234905,5854,5854
1528236648,5781,5781
1528237839,5722,5722
1528239389,5752,5752
1528240482,5664,5664
1528241312,5669,5669
1528242164,5539,5539
1528243833,5483,5483
1528244906,5504,5504
1528246052,5423,5423
1528247155,5331,5331
1528248643,5264,5264
1528249864,5224,5224
