DateTime,AddedIPs,RemovedIPs
1528036532,69,62
1528037858,154,1
1528038862,122,81
1528040546,97,114
1528041433,49,0
1528042506,56,90
1528044070,115,122
1528045183,55,67
1528047747,172,44
1528048585,54,2
1528049725,63,89
1528050512,32,0
1528052184,65,150
1528053331,62,77
1528054522,62,59
1528055725,103,0
1528056864,64,87
1528057723,76,0
1528059385,82,106
1528060845,36,61
1528062071,64,76
1528063846,87,51
1528065751,120,87
1528066606,68,2
1528067679,54,132
1528069375,111,114
1528071262,118,40
1528072123,68,4
1528072953,69,47
1528074872,142,42
1528076546,98,68
1528077390,56,0
1528078476,94,34
1528079315,59,0
1528080675,101,91
1528081839,58,57
1528082910,48,1
1528084184,169,76
1528085445,87,58
1528087375,132,91
1528088188,26,0
1528089338,51,153
1528090954,268,125
1528091786,38,0
1528092904,43,142
1528094562,113,149
1528095943,92,104
1528097085,68,3
1528098988,182,242
1528100136,66,105
1528101746,81,110
1528103674,142,168
1528104516,46,1
1528105836,78,184
1528107040,68,90
1528109000,77,138
1528110335,89,40
1528112175,74,88
1528112555,15,77
1528114481,72,67
1528115872,71,82
1528117550,101,79
1528119040,122,135
1528119765,45,0
1528120585,57,0
1528121664,65,114
1528122504,64,0
1528123364,87,206
1528125270,171,98
1528127797,126,114
1528128950,77,79
1528129703,90,1
1528130560,89,155
1528131935,97,97
1528133319,116,1
1528134159,81,221
1528134984,53,1
1528136154,80,77
1528136931,69,0
1528137745,69,97
1528139135,46,198
1528140643,37,108
1528141345,20,0
1528142571,41,137
1528143926,27,1
1528144948,26,196
1528146339,39,116
1528148040,52,91
1528148554,7,40
1528150244,57,105
1528152145,54,146
1528152986,40,2
1528154079,32,88
1528155765,63,160
1528156583,26,0
1528158506,126,225
1528159827,33,229
1528161037,23,47
1528162946,39,189
1528163784,23,0
1528164938,34,51
1528166560,86,85
1528167404,39,0
1528168487,30,47
1528170150,50,69
1528172064,84,143
1528172902,32,2
1528173760,38,132
1528175672,121,80
1528176508,24,0
1528178189,62,72
1528179344,45,133
1528180833,48,61
1528182330,29,194
1528183702,74,3
1528186476,119,365
1528188152,77,260
1528190063,72,142
1528190909,43,0
1528192531,53,178
1528193736,38,72
1528194499,25,0
1528196126,64,152
1528197343,38,147
1528198101,21,4
1528199783,42,123
1528200868,49,114
1528201708,20,0
1528202540,29,221
1528204466,40,104
1528205732,40,84
1528206922,37,52
1528208068,35,171
1528209451,40,172
1528211128,56,111
1528211675,16,0
1528212507,18,1
1528215259,74,221
1528217137,40,144
1528218329,32,77
1528219527,39,1
1528220539,17,104
1528221382,27,0
1528222534,26,59
1528223316,73,1
1528224142,42,97
1528226071,103,156
1528226908,28,0
1528227747,19,100
1528228593,15,0
1528229669,24,102
1528230508,15,0
1528232190,64,88
1528233275,36,78
1528234898,46,117
1528236637,41,103
1528237829,10,92
1528239383,50,0
1528240473,20,134
1528241306,18,0
1528242154,26,167
1528243828,49,102
1528244900,30,0
1528246038,32,122
1528247146,36,124
1528248635,74,153
1528249848,26,61
1528251038,26,102
1528252516,33,69
1528254335,55,202
1528256007,39,166
1528257289,27,3
1528258526,35,74
1528259309,39,0
1528260987,45,307
1528262071,41,62
1528263750,114,94
1528264586,56,0
1528265659,52,133
1528266786,37,131
1528267352,29,62
1528269260,64,124
1528270871,68,131
1528272629,62,78
1528274432,95,123
1528275931,51,114
1528276458,17,0
1528277302,34,0
1528278153,39,107
1528280071,66,66
1528282377,73,110
1528283733,59,41
1528284921,46,85
1528286244,42,29
1528287274,34,70
1528288999,72,132
1528290859,63,119
1528292542,71,132
1528294461,79,185
1528295313,69,0
1528296624,66,180
1528298071,64,73
1528299451,47,140
1528301660,60,160
1528302511,35,0
1528303649,50,208
1528305031,71,86
1528306952,69,158
1528308515,67,118
1528313311,203,95
1528318596,306,166
1528324998,338,275
1528329026,199,169
1528332981,173,70
1528334101,99,34
1528335644,133,107
1528337432,99,59
1528338681,58,47
1528339827,50,1
1528341262,73,46
1528342669,90,90
1528344868,123,95
1528346447,40,105
1528347412,46,0
1528348469,36,42
1528349321,14,1
1528350479,43,67
1528352065,108,29
1528352911,46,0
1528354221,92,113
1528355660,82,64
1528357353,59,64
1528358753,98,82
1528360106,55,0
1528361782,63,82
1528363230,68,46
1528363711,25,0
1528364547,53,71
1528366465,162,48
1528367300,64,0
1528368986,145,47
1528370129,32,48
1528371329,44,53
1528372725,45,27
1528374035,60,4
1528375229,91,51
1528377333,107,55
1528378109,43,1
1528378941,28,64
1528379783,48,0
1528381710,72,55
1528383063,47,54
1528384459,78,33
1528385729,101,35
1528386980,61,0
1528388066,34,41
1528389747,151,46
1528391660,71,42
1528392858,33,90
1528394091,53,0
1528395203,53,134
1528396946,46,104
1528397793,24,0
1528398955,34,38
1528400734,72,38
1528401382,29,1
1528402469,70,63
1528403310,36,1
1528405528,84,108
1528406700,44,0
1528407928,55,39
1528409437,47,39
1528410623,28,41
1528413029,97,52
1528414231,35,54
1528415428,61,13
1528415784,24,0
1528416861,21,39
1528417700,16,0
1528418540,29,89
1528419385,26,0
1528420531,26,34
1528421299,52,0
1528422988,67,62
1528424144,36,28
1528425656,51,58
1528427675,85,32
1528428502,61,0
1528429360,50,68
1528430195,31,0
1528431329,65,57
1528432100,33,0
1528433782,66,94
1528434876,58,80
1528436434,62,81
1528438232,86,84
1528439307,46,0
1528440142,40,109
1528442060,77,54
1528443744,47,128
1528445670,114,52
1528447234,93,65
1528448744,58,89
1528449874,45,1
1528450970,67,79
1528452863,96,52
1528454541,85,76
1528455381,23,4
1528456462,31,48
1528457308,35,0
1528458170,29,63
1528459684,107,55
1528460906,47,2
1528463136,96,137
1528464631,43,112
1528466129,45,1
1528467261,63,108
1528468953,89,83
1528470116,85,31
1528471706,82,0
1528473319,68,79
1528474534,52,65
1528476172,106,75
1528477553,52,55
1528478911,48,1
1528480534,66,58
1528481700,45,96
1528483000,41,60
1528484180,35,42
1528486114,69,80
1528487424,84,131
1528489007,73,57
1528489710,18,1
1528490541,23,106
1528491388,43,1
1528492475,39,118
1528494149,94,92
1528495848,51,38
1528496900,15,3
1528498589,36,176
1528499730,78,54
1528501242,108,115
1528503036,53,38
1528503268,7,0
1528504113,24,6
1528505727,29,176
1528506870,45,90
1528507710,33,0
1528509368,95,118
1528511207,70,48
1528512370,49,157
1528513536,45,88
1528515201,61,61
1528516597,75,1
1528517732,35,69
1528519350,72,61
1528520653,44,56
1528522111,44,0
1528522953,41,145
1528524870,74,90
1528526369,154,73
1528528533,80,84
1528530151,66,126
1528530990,30,0
1528532131,36,66
1528532910,30,0
1528534189,94,80
1528535429,62,156
1528535668,18,0
1528536507,50,0
1528537349,29,190
1528539275,65,68
1528540204,39,71
1528541785,46,28
1528542859,38,37
1528544442,52,151
1528545380,28,0
1528546467,37,62
1528548146,53,61
1528548995,26,1
1528550131,42,69
1528551743,64,94
1528553428,60,33
1528554633,34,78
1528557630,86,101
1528558834,51,103
1528560642,84,150
1528561835,34,52
1528563381,45,12
1528564492,24,73
1528565737,44,59
1528567313,65,47
1528568066,41,0
1528569650,90,76
1528571132,124,62
1528573340,80,122
1528575262,52,102
1528576113,16,0
1528577232,42,94
1528578629,117,56
1528579832,46,43
1528581041,50,31
1528582238,32,44
1528584191,47,59
1528586062,78,82
1528587179,32,40
1528588301,31,22
1528589661,48,35
1528590516,27,0
1528591340,24,96
1528593269,75,48
1528594111,17,0
1528596882,89,121
1528598142,47,108
1528599339,99,33
1528600482,35,49
1528602073,72,97
1528603837,63,49
1528605041,53,79
1528606229,40,25
1528606583,8,0
1528607738,36,46
1528609349,54,112
1528611037,46,37
1528612955,99,65
1528614330,65,83
1528615722,48,0
1528616852,35,165
1528618229,58,42
1528619312,26,1
1528620150,28,71
1528620991,41,0
1528622135,57,102
1528622911,40,1
1528623751,28,118
1528625143,90,37
1528626516,65,1
1528627827,38,71
1528629028,52,48
1528630947,85,153
1528632876,87,47
1528634555,77,71
1528636471,43,56
1528638146,51,121
1528639830,61,62
1528640907,49,1
1528642498,73,114
1528643669,61,46
1528645352,113,125
1528646186,30,0
1528647333,41,56
1528648110,44,0
1528648948,33,75
1528649784,24,0
1528650872,16,44
1528652550,91,82
1528654234,87,39
1528656147,164,57
1528658074,119,100
1528659746,67,92
1528660593,47,1
1528661669,41,64
1528663371,57,59
1528666106,109,98
1528666954,43,31
1528667797,18,0
1528668931,20,33
1528670072,32,116
1528670554,9,0
1528671380,19,0
1528672532,28,101
1528673301,22,0
1528674152,36,58
1528674988,48,0
1528676130,36,40
1528677282,51,78
1528678675,81,21
1528679660,33,82
1528681355,151,65
1528684254,175,129
1528685792,54,22
1528686862,33,57
1528687999,21,66
1528689391,55,1
1528690465,32,66
1528692147,63,61
1528694061,99,80
1528695753,90,185
1528696597,27,0
1528697732,48,58
1528698507,30,0
1528700744,116,160
1528702929,94,56
1528703787,33,1
1528704870,82,122
1528706132,82,103
1528707927,133,62
1528708473,28,0
1528710148,126,91
1528711731,134,35
