DateTime,Entries,UniqueIPs
1528036532,20327,20327
1528037858,20480,20480
1528038862,20521,20521
1528040546,20504,20504
1528041433,20553,20553
1528042506,20519,20519
1528044070,20512,20512
1528045183,20500,20500
1528047747,20628,20628
1528048585,20680,20680
1528049725,20654,20654
1528050512,20686,20686
1528052184,20601,20601
1528053331,20586,20586
1528054522,20589,20589
1528055725,20692,20692
1528056864,20669,20669
1528057723,20745,20745
1528059385,20721,20721
1528060845,20696,20696
1528062071,20684,20684
1528063846,20720,20720
1528065751,20753,20753
1528066606,20819,20819
1528067679,20741,20741
1528069375,20738,20738
1528071262,20816,20816
1528072123,20880,20880
1528072953,20902,20902
1528074872,21002,21002
1528076546,21032,21032
1528077390,21088,21088
1528078476,21148,21148
1528079315,21207,21207
1528080675,21217,21217
1528081839,21218,21218
1528082910,21265,21265
1528084184,21358,21358
1528085445,21387,21387
1528087375,21428,21428
1528088188,21454,21454
1528089338,21352,21352
1528090954,21495,21495
1528091786,21533,21533
1528092904,21434,21434
1528094562,21398,21398
1528095943,21386,21386
1528097085,21451,21451
1528098988,21391,21391
1528100136,21352,21352
1528101746,21323,21323
1528103674,21297,21297
1528104516,21342,21342
1528105836,21236,21236
1528107040,21214,21214
1528109000,21153,21153
1528110335,21202,21202
1528112175,21188,21188
1528112555,21126,21126
1528114481,21131,21131
1528115872,21120,21120
1528117550,21142,21142
1528119040,21129,21129
1528119765,21174,21174
1528120585,21231,21231
1528121664,21182,21182
1528122504,21246,21246
1528123364,21127,21127
1528125270,21200,21200
1528127797,21212,21212
1528128950,21210,21210
1528129703,21299,21299
1528130560,21233,21233
1528131935,21233,21233
1528133319,21348,21348
1528134159,21208,21208
1528134984,21260,21260
1528136154,21263,21263
1528136931,21332,21332
1528137745,21304,21304
1528139135,21152,21152
1528140643,21081,21081
1528141345,21101,21101
1528142571,21005,21005
1528143926,21031,21031
1528144948,20861,20861
1528146339,20784,20784
1528148040,20745,20745
1528148554,20712,20712
1528150244,20664,20664
1528152145,20572,20572
1528152986,20610,20610
1528154079,20554,20554
1528155765,20457,20457
1528156583,20483,20483
1528158506,20384,20384
1528159827,20188,20188
1528161037,20164,20164
1528162946,20014,20014
1528163784,20037,20037
1528164938,20020,20020
1528166560,20021,20021
1528167404,20060,20060
1528168487,20043,20043
1528170150,20024,20024
1528172064,19965,19965
1528172902,19995,19995
1528173760,19901,19901
1528175672,19942,19942
1528176508,19966,19966
1528178189,19956,19956
1528179344,19868,19868
1528180833,19855,19855
1528182330,19690,19690
1528183702,19761,19761
1528186476,19515,19515
1528188152,19332,19332
1528190063,19262,19262
1528190909,19305,19305
1528192531,19180,19180
1528193736,19146,19146
1528194499,19171,19171
1528196126,19083,19083
1528197343,18974,18974
1528198101,18991,18991
1528199783,18910,18910
1528200868,18845,18845
1528201708,18865,18865
1528202540,18673,18673
1528204466,18609,18609
1528205732,18565,18565
1528206922,18550,18550
1528208068,18414,18414
1528209451,18282,18282
1528211128,18227,18227
1528211675,18243,18243
1528212507,18260,18260
1528215259,18113,18113
1528217137,18009,18009
1528218329,17964,17964
1528219527,18002,18002
1528220539,17915,17915
1528221382,17942,17942
1528222534,17909,17909
1528223316,17981,17981
1528224142,17926,17926
1528226071,17873,17873
1528226908,17901,17901
1528227747,17820,17820
1528228593,17835,17835
1528229669,17757,17757
1528230508,17772,17772
1528232190,17748,17748
1528233275,17706,17706
1528234898,17635,17635
1528236637,17573,17573
1528237829,17491,17491
1528239383,17541,17541
1528240473,17427,17427
1528241306,17445,17445
1528242154,17304,17304
1528243828,17251,17251
1528244900,17281,17281
1528246038,17191,17191
1528247146,17103,17103
1528248635,17024,17024
1528249848,16989,16989
1528251038,16913,16913
1528252516,16877,16877
1528254335,16730,16730
1528256007,16603,16603
