DateTime,Entries,UniqueIPs
1527786976,114,114
1527788137,113,113
1527789568,112,112
1527790513,111,111
1527791323,112,112
1527792164,112,112
1527795106,111,111
1527796593,111,111
1527797761,109,109
1527799259,108,108
1527800748,106,106
1527802261,105,105
1527803496,104,104
1527804651,103,103
1527806566,103,103
1527809136,104,104
1527812079,104,104
1527813779,104,104
1527815143,105,105
1527816524,106,106
1527819286,107,107
1527822389,107,107
1527824100,105,105
1527824589,104,104
1527826485,103,103
1527827330,104,104
1527828647,100,100
1527831766,99,99
1527832592,100,100
1527833756,99,99
1527837270,98,98
1527841709,99,99
1527843031,97,97
1527844482,95,95
1527846044,94,94
1527848070,95,95
1527849766,94,94
1527850602,96,96
1527851682,94,94
1527853366,97,97
1527854192,96,96
1527856125,98,98
1527857246,93,93
1527858351,93,93
1527859527,93,93
1527860566,93,93
1527862551,93,93
1527864062,95,95
1527865257,93,93
1527866087,94,94
1527867758,93,93
1527870510,92,92
1527871364,91,91
1527872739,90,90
1527875744,89,89
1527878553,90,90
1527879956,91,91
1527881321,91,91
1527883010,90,90
1527884088,89,89
1527886608,88,88
1527887681,89,89
1527888525,92,92
1527889842,93,93
1527891301,93,93
1527893442,91,91
1527894877,91,91
1527896572,93,93
1527898481,92,92
1527900152,93,93
1527903018,91,91
1527904590,90,90
1527905682,88,88
1527907361,88,88
1527908755,87,87
1527910215,86,86
1527910955,86,86
1527910955,86,86
1527914566,86,86
1527916471,84,84
1527923735,82,82
1527925351,83,83
1527927343,85,85
1527928544,85,85
1527929794,87,87
1527930948,88,88
1527934241,87,87
1527935730,87,87
1527936158,87,87
1527938916,88,88
1527941742,90,90
1527945272,91,91
1527945272,91,91
1527946604,93,93
1527948879,94,94
1527950581,93,93
1527951395,93,93
1527952490,93,93
1527953736,94,94
1527953736,94,94
1527956743,88,88
1527957766,87,87
1527958603,87,87
1527959752,88,88
1527961349,91,91
1527961349,91,91
1527963048,93,93
1527964970,91,91
1527965795,91,91
1527966880,92,92
1527968549,95,95
1527968549,95,95
1527970485,95,95
1527972154,95,95
1527972994,96,96
1527974081,98,98
1527974930,100,100
1527975760,99,99
1527977447,98,98
1527978512,98,98
1527979354,96,96
1527980198,96,96
1527981347,95,95
1527982863,94,94
1527983792,94,94
1527985719,95,95
1527985719,95,95
1527985719,95,95
1527990629,93,93
1527991852,93,93
1527992921,93,93
1527992921,93,93
1527995166,98,98
1527995674,98,98
1527997301,97,97
1527997301,97,97
1527999275,98,98
1528000855,98,98
1528002339,98,98
1528002888,98,98
1528004557,98,98
1528006485,98,98
1528007826,98,98
1528009002,99,99
1528010078,99,99
1528011529,98,98
1528015222,99,99
1528016742,101,101
1528018118,100,100
1528018959,99,99
1528021242,100,100
1528022458,98,98
1528023947,97,97
1528025134,99,99
1528026168,99,99
1528030974,100,100
1528032287,99,99
1528033545,100,100
1528035277,101,101
1528036540,102,102
1528037867,105,105
1528038870,104,104
1528040554,105,105
1528042524,106,106
1528044089,107,107
1528047756,107,107
1528049751,106,106
1528052199,106,106
1528053349,105,105
1528055733,108,108
1528056896,106,106
1528057732,107,107
1528059398,105,105
1528060860,104,104
1528062084,104,104
1528063860,105,105
1528065765,104,104
1528066619,105,105
1528067688,104,104
1528069397,103,103
1528071269,101,101
1528072131,102,102
1528076558,104,104
1528078486,105,105
1528080713,107,107
1528081858,107,107
1528084200,108,108
1528085458,109,109
1528087392,107,107
1528088197,108,108
1528089354,109,109
1528091034,108,108
1528091796,109,109
1528094576,109,109
1528095964,108,108
1528099002,112,112
1528100145,113,113
1528101755,112,112
1528103683,176,176
1528104529,167,167
1528105844,162,162
1528107061,159,159
1528108113,156,156
1528109009,154,154
1528110354,153,153
1528112197,147,147
1528112564,148,148
1528114489,145,145
1528115881,145,145
1528117567,143,143
1528119063,142,142
1528119773,144,144
1528120594,144,144
1528121672,142,142
1528122513,144,144
1528123373,144,144
1528125279,141,141
1528127809,144,144
1528128966,141,141
1528130569,141,141
1528131944,139,139
1528133327,137,137
1528137754,134,134
1528140653,132,132
1528141354,133,133
1528142628,134,134
1528143935,132,132
1528144958,131,131
1528146359,131,131
1528148065,131,131
1528150253,134,134
1528152155,135,135
1528152995,136,136
1528154087,134,134
1528155775,132,132
1528158514,132,132
1528159835,132,132
1528161045,134,134
1528162955,133,133
1528163792,134,134
1528164955,135,135
1528166570,135,135
1528168507,136,136
1528170203,134,134
1528172071,135,135
1528172909,136,136
1528175679,133,133
1528178197,130,130
1528183709,129,129
1528186483,128,128
1528188159,128,128
1528190071,128,128
1528190917,129,129
1528193747,128,128
1528196135,128,128
1528199791,126,126
1528200876,127,127
1528202548,128,128
1528205741,127,127
1528206935,128,128
1528208079,127,127
1528211686,127,127
1528215267,128,128
1528217147,128,128
1528218337,130,130
1528219535,129,129
1528220547,128,128
1528222551,127,127
1528223327,127,127
1528224154,128,128
1528226078,127,127
1528228601,126,126
1528229676,127,127
1528232198,125,125
1528233282,126,126
1528234906,127,127
1528236649,129,129
1528237844,128,128
1528239390,130,130
1528240484,128,128
1528241313,129,129
1528243835,129,129
1528246065,128,128
1528247156,126,126
1528248647,128,128
1528249864,129,129
1528252525,128,128
1528256033,129,129
1528257298,131,131
1528258537,129,129
1528260998,129,129
1528262081,129,129
1528263761,130,130
1528264599,130,130
1528266813,131,131
1528269267,130,130
1528270891,130,130
1528272637,129,129
1528274440,116,116
1528275942,116,116
1528276466,117,117
1528278160,118,118
1528282385,119,119
1528283741,117,117
1528287282,114,114
1528289007,115,115
1528290866,112,112
1528292548,110,110
1528294468,111,111
1528295320,112,112
1528298079,113,113
1528299460,114,114
1528305037,115,115
1528306959,116,116
1528308522,116,116
1528313319,118,118
1528318602,120,120
1528325005,118,118
1528329033,119,119
1528332988,116,116
1528334129,115,115
1528337445,114,114
1528338696,113,113
1528341271,113,113
1528342678,114,114
1528344875,113,113
1528346455,112,112
1528350502,113,113
1528352918,114,114
1528354228,114,114
1528355667,115,115
1528357362,114,114
1528361789,113,113
1528364558,114,114
1528367307,115,115
1528370140,117,117
1528371338,116,116
1528372739,115,115
1528377340,113,113
1528381717,111,111
1528383070,111,111
1528384471,112,112
1528385736,113,113
1528386988,112,112
1528388072,110,110
1528391668,110,110
1528392874,111,111
1528394099,111,111
1528395213,111,111
1528396953,112,112
1528397800,114,114
1528398962,113,113
1528400742,112,112
1528402481,111,111
1528403317,112,112
1528405535,113,113
1528406716,112,112
1528407941,110,110
1528409446,108,108
1528410632,109,109
1528413038,108,108
1528414249,107,107
1528415440,106,106
1528416869,108,108
1528418548,107,107
1528419398,108,108
1528420539,107,107
1528423002,108,108
1528424153,109,109
1528427686,110,110
1528428509,110,110
1528429369,132,132
1528430203,127,127
1528431340,125,125
1528433791,127,127
1528434887,128,128
1528436446,125,125
1528438240,124,124
1528440149,122,122
1528442068,121,121
1528443751,119,119
1528447245,118,118
1528448752,116,116
1528450982,115,115
1528452870,114,114
1528454548,113,113
1528458186,112,112
1528459704,112,112
1528463151,113,113
1528464649,111,111
1528468960,110,110
1528471713,109,109
1528474567,110,110
1528476205,107,107
1528477588,108,108
1528483008,109,109
1528484186,108,108
1528486121,109,109
1528487441,107,107
1528489037,107,107
1528489718,106,106
1528490550,105,105
1528492483,105,105
1528494156,105,105
1528498601,102,102
1528499742,99,99
1528501263,95,95
1528503071,97,97
1528504125,98,98
1528505735,99,99
1528506877,97,97
1528511260,99,99
1528512420,98,98
1528513547,97,97
1528515231,99,99
1528519357,98,98
1528520678,97,97
1528524882,96,96
1528526384,96,96
1528530159,97,97
1528531000,98,98
1528534196,97,97
1528535678,98,98
1528537356,97,97
1528539282,99,99
1528540217,98,98
1528541793,97,97
1528542866,96,96
1528548154,99,99
1528549006,100,100
1528550142,101,101
1528551758,103,103
1528553435,103,103
1528556082,104,104
1528558323,103,103
1528560912,103,103
1528562074,102,102
1528564501,101,101
1528565744,99,99
1528567332,100,100
1528569660,103,103
1528573347,104,104
1528577261,102,102
1528579846,103,103
1528581055,104,104
1528583317,104,104
1528584203,105,105
1528586071,105,105
1528587191,102,102
1528588309,104,104
1528589670,103,103
1528591348,104,104
1528593277,105,105
1528596896,104,104
1528598151,105,105
1528599348,101,101
1528600496,100,100
1528602102,101,101
1528603847,99,99
1528605057,96,96
1528612963,97,97
1528616876,97,97
1528620158,96,96
1528622150,95,95
1528625151,96,96
1528627835,95,95
1528630955,95,95
1528636479,96,96
1528639837,98,98
1528642512,97,97
1528643675,98,98
1528645359,97,97
1528648956,96,96
1528658087,94,94
1528659753,95,95
1528663382,93,93
1528666113,95,95
1528666964,95,95
1528667804,94,94
1528668942,95,95
1528672543,94,94
1528674163,93,93
1528676142,94,94
1528677291,95,95
1528678721,97,97
1528679668,98,98
1528681401,98,98
1528684270,96,96
1528685807,96,96
1528686870,95,95
1528688027,96,96
1528689403,97,97
1528692170,99,99
1528694068,101,101
1528695771,100,100
1528697742,101,101
1528700769,100,100
1528706139,100,100
1528707943,100,100
1528710168,99,99
