DateTime,AddedIPs,RemovedIPs
1528038857,16,26
1528040540,26,54
1528041421,15,0
1528042495,18,30
1528044056,23,82
1528045178,9,15
1528047742,32,24
1528048579,23,0
1528049720,15,55
1528050503,8,1
1528052179,31,34
1528053322,22,39
1528054511,13,16
1528055719,72,5
1528056858,464,60
1528057711,27,1
1528059379,89,47
1528060829,24,27
1528062055,22,21
1528063834,25,25
1528065745,37,25
1528066588,11,1
1528067666,27,24
1528069365,24,30
1528071257,72,12
1528072099,47,0
1528072943,11,37
1528074859,14,32
1528076540,17,37
1528077385,8,0
1528078470,8,16
1528079304,8,0
1528080669,22,41
1528081825,22,9
1528082903,19,0
1528084168,19,32
1528085432,15,27
1528087347,26,38
1528088181,8,2
1528089324,7,12
1528090948,39,31
1528091781,8,1
1528092898,21,24
1528094553,20,56
1528095933,13,10
1528097081,32,2
1528098983,11,34
1528100123,13,48
1528101741,52,22
1528103660,29,81
1528104503,54,1
1528105822,25,41
1528107046,30,19
1528108992,36,34
1528110321,27,18
1528112165,34,17
1528112545,8,9
1528114467,24,24
1528115867,18,16
1528117535,11,34
1528119025,17,35
1528119755,9,1
1528120579,14,2
1528121659,16,71
1528122500,7,3
1528123358,12,51
1528125260,46,18
1528127784,36,37
1528128944,23,32
1528129698,13,0
1528130550,20,42
1528131924,23,21
1528133306,17,0
1528134149,7,34
1528134979,14,0
1528136140,29,17
1528136920,37,2
1528137739,27,51
1528139122,26,50
1528140635,20,27
1528141339,23,1
1528142565,6,61
1528143921,27,0
1528144942,41,46
1528146327,27,22
1528148020,34,23
1528148543,18,11
1528150230,17,23
1528152140,33,76
1528152981,26,3
1528154069,27,32
1528155746,32,15
1528156577,8,0
1528158500,36,36
1528159822,21,29
1528161026,22,20
1528162940,16,58
1528163777,11,1
1528164922,15,22
1528166550,14,34
1528167392,4,0
1528168474,16,25
1528170143,44,20
1528172058,27,29
1528172897,15,0
1528173751,11,51
1528175667,32,26
1528176499,15,0
1528178180,12,26
1528179328,15,31
1528180825,28,31
1528182325,38,60
1528183698,36,2
1528186467,36,88
1528188143,31,59
1528190058,44,30
1528190900,8,2
1528192523,39,67
1528193724,15,36
1528194494,7,0
1528196122,12,18
1528197334,14,30
1528198097,15,0
1528199778,36,20
1528200857,13,12
1528201699,14,0
1528202536,14,30
1528204458,26,12
1528205724,32,69
1528206917,21,16
1528208063,13,27
1528209446,14,23
1528211124,12,36
1528211662,16,1
1528212499,39,0
1528215256,125,47
1528217129,103,23
1528218325,56,22
1528219522,66,0
1528220535,51,29
1528221377,22,1
1528222522,40,25
1528223304,40,1
1528224137,30,27
1528226067,67,177
1528226898,21,0
1528227738,23,377
1528228585,18,0
