DateTime,Entries,UniqueIPs
1528038857,4806,4806
1528040540,4778,4778
1528041421,4793,4793
1528042495,4781,4781
1528044056,4722,4722
1528045178,4716,4716
1528047742,4724,4724
1528048579,4747,4747
1528049720,4707,4707
1528050503,4714,4714
1528052179,4711,4711
1528053322,4694,4694
1528054511,4691,4691
1528055719,4758,4758
1528056858,5162,5162
1528057711,5188,5188
1528059379,5230,5230
1528060829,5227,5227
1528062055,5228,5228
1528063834,5228,5228
1528065745,5240,5240
1528066588,5250,5250
1528067666,5253,5253
1528069365,5247,5247
1528071257,5307,5307
1528072099,5354,5354
1528072943,5328,5328
1528074859,5310,5310
1528076540,5290,5290
1528077385,5298,5298
1528078470,5290,5290
1528079304,5298,5298
1528080669,5279,5279
1528081825,5292,5292
1528082903,5311,5311
1528084168,5298,5298
1528085432,5286,5286
1528087347,5274,5274
1528088181,5280,5280
1528089324,5275,5275
1528090948,5283,5283
1528091781,5290,5290
1528092898,5287,5287
1528094553,5251,5251
1528095933,5254,5254
1528097081,5284,5284
1528098983,5261,5261
1528100123,5226,5226
1528101741,5256,5256
1528103660,5204,5204
1528104503,5257,5257
1528105822,5241,5241
1528107046,5252,5252
1528108992,5254,5254
1528110321,5263,5263
1528112165,5280,5280
1528112545,5279,5279
1528114467,5279,5279
1528115867,5281,5281
1528117535,5258,5258
1528119025,5240,5240
1528119755,5248,5248
1528120579,5260,5260
1528121659,5205,5205
1528122500,5209,5209
1528123358,5170,5170
1528125260,5198,5198
1528127784,5197,5197
1528128944,5188,5188
1528129698,5201,5201
1528130550,5179,5179
1528131924,5181,5181
1528133306,5198,5198
1528134149,5171,5171
1528134979,5185,5185
1528136140,5197,5197
1528136920,5232,5232
1528137739,5208,5208
1528139122,5184,5184
1528140635,5177,5177
1528141339,5199,5199
1528142565,5144,5144
1528143921,5171,5171
1528144942,5166,5166
1528146327,5171,5171
1528148020,5182,5182
1528148543,5189,5189
1528150230,5183,5183
1528152140,5140,5140
1528152981,5163,5163
1528154069,5158,5158
1528155746,5175,5175
1528156577,5183,5183
1528158500,5183,5183
1528159822,5175,5175
1528161026,5177,5177
1528162940,5135,5135
1528163777,5145,5145
1528164922,5138,5138
1528166550,5118,5118
1528167392,5122,5122
1528168474,5113,5113
1528170143,5137,5137
1528172058,5135,5135
1528172897,5150,5150
1528173751,5110,5110
1528175667,5116,5116
1528176499,5131,5131
1528178180,5117,5117
1528179328,5101,5101
1528180825,5098,5098
1528182325,5076,5076
1528183698,5110,5110
1528186467,5058,5058
1528188143,5030,5030
1528190058,5044,5044
1528190900,5050,5050
1528192523,5022,5022
1528193724,5001,5001
1528194494,5008,5008
1528196122,5002,5002
1528197334,4986,4986
1528198097,5001,5001
1528199778,5017,5017
1528200857,5018,5018
1528201699,5032,5032
1528202536,5016,5016
1528204458,5030,5030
1528205724,4993,4993
1528206917,4998,4998
1528208063,4984,4984
1528209446,4975,4975
1528211124,4951,4951
1528211662,4966,4966
1528212499,5005,5005
1528215256,5083,5083
1528217129,5163,5163
1528218325,5197,5197
1528219522,5263,5263
1528220535,5285,5285
1528221377,5306,5306
1528222522,5321,5321
1528223304,5360,5360
1528224137,5363,5363
1528226067,5253,5253
1528226898,5274,5274
1528227738,4920,4920
1528228585,4938,4938
1528229660,4876,4876
1528230499,4890,4890
1528232181,4905,4905
1528233267,4954,4954
1528234894,4953,4953
1528236626,4999,4999
1528237817,4991,4991
1528239378,5039,5039
1528240462,5046,5046
1528241298,5106,5106
1528242143,5021,5021
1528243820,5069,5069
1528244895,5092,5092
1528246030,5105,5105
1528247142,5107,5107
1528248628,5125,5125
1528249843,5131,5131
1528251029,5122,5122
1528252504,5121,5121
1528254326,5146,5146
1528255996,5131,5131
1528257284,5159,5159
1528258518,5178,5178
1528259298,5189,5189
1528260979,5199,5199
1528262060,5199,5199
1528263745,5224,5224
1528264578,5235,5235
1528265655,5233,5233
1528266771,5211,5211
1528267344,5222,5222
1528269256,5257,5257
1528270867,5248,5248
1528272619,5253,5253
1528274422,5251,5251
1528275923,5252,5252
1528276454,5260,5260
