DateTime,Entries,UniqueIPs
1528309712,5737,5737
1528313432,5731,5731
1528318772,5742,5742
1528322731,5727,5727
1528325312,5720,5720
1528330052,5714,5714
1528333233,5721,5721
1528335331,5725,5725
1528336052,5725,5725
1528336772,5724,5724
1528337491,5725,5725
1528338212,5722,5722
1528338932,5721,5721
1528339652,5723,5723
1528340372,5723,5723
1528341092,5727,5727
1528341811,5724,5724
1528342535,5725,5725
1528343492,5724,5724
1528344212,5723,5723
1528344932,5722,5722
1528345651,5716,5716
1528346372,5721,5721
1528347092,5719,5719
1528347812,5719,5719
1528348532,5714,5714
1528349251,5707,5707
1528349973,5706,5706
1528350692,5701,5701
1528351411,5697,5697
1528352132,5697,5697
1528353332,5697,5697
1528354292,5694,5694
1528355012,5692,5692
1528355731,5695,5695
1528356452,5692,5692
1528357172,5696,5696
1528357892,5699,5699
1528358611,5698,5698
1528359331,5695,5695
1528360051,5694,5694
1528360772,5688,5688
1528361458,5687,5687
1528362212,5685,5685
1528362931,5683,5683
1528363652,5682,5682
1528364372,5681,5681
1528365092,5683,5683
1528365812,5685,5685
1528366533,5685,5685
1528367253,5684,5684
1528367972,5686,5686
1528368692,5686,5686
1528369412,5688,5688
1528370131,5694,5694
1528370852,5689,5689
1528371572,5695,5695
1528372294,5685,5685
1528373012,5672,5672
1528373732,5675,5675
1528374452,5677,5677
1528375171,5680,5680
1528375891,5683,5683
1528376612,5685,5685
1528377333,5687,5687
1528378052,5687,5687
1528378772,5700,5700
1528379492,5707,5707
1528380212,5708,5708
1528380932,5712,5712
1528381892,5718,5718
1528382611,5720,5720
1528384051,5724,5724
1528384772,5730,5730
1528385492,5729,5729
1528386212,5740,5740
1528386931,5750,5750
1528387652,5757,5757
1528388371,5759,5759
1528389092,5755,5755
1528389812,5752,5752
1528390531,5749,5749
1528391252,5744,5744
1528391972,5742,5742
1528392695,5772,5772
1528393412,5762,5762
1528394133,5757,5757
1528394852,5759,5759
1528395572,5759,5759
1528396291,5752,5752
1528397011,5750,5750
1528397732,5744,5744
1528398452,5740,5740
1528399411,5741,5741
1528400131,5726,5726
1528400852,5723,5723
1528401573,5723,5723
1528402291,5720,5720
1528403012,5713,5713
1528403732,5711,5711
1528404453,5714,5714
1528405172,5718,5718
1528405892,5723,5723
1528406612,5728,5728
1528407332,5729,5729
1528408052,5731,5731
1528408772,5728,5728
1528409492,5723,5723
1528410212,5719,5719
1528411412,5729,5729
1528412134,5735,5735
1528412689,5735,5735
1528413332,5732,5732
1528414051,5720,5720
1528414774,5720,5720
1528415492,5749,5749
1528416212,5742,5742
1528418553,5738,5738
1528419332,5741,5741
1528420052,5743,5743
1528420773,5744,5744
1528421491,5823,5823
1528422693,5788,5788
1528423412,5789,5789
1528424131,5788,5788
1528424852,5781,5781
1528425572,5782,5782
1528426291,5782,5782
1528427012,5783,5783
1528427732,5781,5781
1528428484,4386,4386
1528428589,5782,5782
1528429434,5774,5774
1528430131,5773,5773
1528430852,5770,5770
1528431571,5775,5775
1528432292,5775,5775
1528433012,5773,5773
1528433731,5775,5775
1528434110,5774,5774
1528435411,5773,5773
