DateTime,Entries,UniqueIPs
1527610833,677,689
1527613480,672,684
1527617298,668,681
1527619235,659,672
1527621136,664,677
1527623072,681,697
1527624978,684,700
1527626908,708,724
1527628826,709,725
1527630732,713,730
1527632653,717,733
1527634595,704,719
1527636495,698,713
1527638436,697,713
1527640352,686,702
1527642258,681,696
1527644189,662,677
1527648012,647,661
1527649952,651,665
1527651854,677,691
1527653771,695,709
1527655694,694,706
1527657629,703,716
1527659533,715,728
1527663375,714,726
1527667244,692,704
1527669156,693,706
1527671057,684,698
1527672973,680,694
1527674896,679,693
1527678741,654,668
1527680920,651,665
1527682839,635,649
1527684751,638,653
1527686656,656,671
1527688590,653,668
1527690490,661,676
1527692429,656,672
1527694351,670,686
1527696261,663,679
1527698196,669,686
1527700360,683,700
1527702257,706,724
1527704181,704,722
1527708017,694,712
1527709932,688,705
1527711872,699,716
1527713772,680,696
1527715709,699,714
1527717636,712,728
1527720153,710,726
1527722173,724,739
1527724089,721,736
1527726024,733,747
1527727941,742,756
1527729851,747,763
1527731782,757,773
1527733691,771,789
1527735617,783,801
1527737548,791,809
1527739468,788,806
1527741369,779,798
1527743292,775,791
1527745209,788,803
1527747134,794,809
1527749054,807,822
1527750969,804,818
1527752888,823,837
1527754808,808,821
1527756745,821,834
1527758651,825,839
1527760586,831,845
1527762493,831,845
1527764426,835,849
1527766345,836,849
1527770170,806,819
1527772092,804,817
1527775935,800,812
1527777776,816,829
1527779766,813,826
1527781702,817,830
1527783614,822,835
1527785791,819,831
1527787952,816,828
1527789864,813,826
1527792023,809,822
1527793953,827,841
1527795853,836,851
1527797770,838,853
1527801615,823,838
1527803530,804,819
1527805465,808,822
1527807384,812,828
1527809801,798,812
1527811697,791,806
1527813612,794,809
1527815536,787,802
1527817468,794,810
1527819378,801,817
1527821311,805,821
1527823209,817,832
1527825155,825,841
1527827054,843,861
1527829001,846,864
1527830894,843,861
1527834755,807,825
1527836658,809,828
1527838586,815,834
1527844340,769,788
1527850098,769,787
1527852024,787,806
1527853931,791,811
1527855857,816,837
1527857781,819,841
1527859691,826,850
1527861629,853,877
1527863549,843,867
1527867389,823,847
1527869333,812,837
1527873381,814,840
1527875304,823,850
1527877214,821,849
1527879131,821,849
1527881067,835,860
1527884892,826,851
1527886836,855,881
1527888751,867,893
1527890662,879,905
1527892885,882,908
1527894998,879,906
1527898808,893,918
1527900743,881,906
1527904581,864,887
1527908415,845,865
1527910347,831,851
1527912256,827,848
1527912256,827,848
1527914984,811,830
1527919338,815,836
1527921713,832,854
1527923874,813,834
1527923874,835,856
1527926509,836,857
1527926509,836,857
1527929144,848,871
1527929144,848,871
1527931306,846,869
1527931306,846,869
1527933724,848,871
1527933724,848,871
1527935857,851,875
1527935857,869,894
1527938514,849,873
1527938514,849,873
1527940947,854,879
1527940947,854,879
1527943306,840,866
1527943306,849,875
1527945472,843,868
1527945472,863,889
1527947626,836,863
1527947626,860,887
1527949542,862,888
1527949542,868,895
1527951944,881,908
1527951944,881,908
1527954346,876,903
1527954346,882,909
1527956974,899,926
1527956974,899,926
1527959105,890,918
1527959105,909,937
1527961734,895,924
1527961734,895,924
1527964143,902,929
1527964143,902,929
1527966542,883,910
1527966542,912,939
1527968941,901,928
1527968941,901,928
1527971099,890,917
1527971099,915,942
1527973270,879,905
1527973270,879,905
1527975412,882,907
1527975412,882,907
1527977831,884,908
1527977831,884,908
1527980220,871,894
1527980220,886,909
1527982421,899,922
1527982421,899,922
1527984788,895,918
1527984788,923,946
1527987170,914,937
1527987170,914,937
1527989590,927,950
1527989590,927,950
1527991981,922,944
1527991981,922,944
1527994470,920,942
1527994470,941,963
1527999200,912,934
1527999200,934,956
1528001592,914,936
1528001592,914,936
1528004239,942,965
1528006102,934,957
1528008016,944,967
1528013815,912,935
1528015743,902,924
1528019580,888,909
1528021492,911,932
1528023411,937,958
1528025347,928,949
1528027292,935,956
1528029136,939,959
1528031111,937,957
1528032972,957,977
1528034896,951,972
1528038737,926,943
1528042598,920,939
1528044497,933,952
1528046414,931,951
1528048389,924,945
1528050262,926,948
1528052169,917,939
1528054098,940,964
1528057940,909,933
1528059865,906,931
1528061778,903,928
1528063694,901,926
1528066224,903,929
1528068252,911,937
1528070175,912,937
1528072085,933,960
1528074014,912,939
1528075945,911,939
1528077855,926,954
1528079779,926,954
