DateTime,AddedIPs,RemovedIPs
1527517227,5,15
1527521051,7,10
1527527070,7,9
1527530895,8,26
1527532811,7,6
1527534734,7,11
1527538571,3,21
1527541725,6,0
1527545556,13,20
1527547455,13,7
1527549378,6,6
1527551310,9,0
1527553212,9,15
1527555133,12,0
1527557071,14,15
1527560891,6,25
1527568588,9,61
1527570512,2,19
1527576275,7,27
1527578176,12,9
1527580094,13,11
1527582032,4,0
1527583933,4,5
1527585870,3,10
1527587790,4,3
1527589694,6,7
1527591641,11,7
1527593535,6,0
1527595472,6,15
1527597372,1,7
1527601226,5,14
1527603139,6,7
1527605053,5,0
1527608894,8,8
1527610833,2,9
1527613480,2,13
1527617298,4,25
1527619235,1,11
1527621136,5,8
1527623072,5,16
1527624978,1,0
1527626908,12,16
1527628826,4,7
1527630732,3,10
1527632653,9,8
1527634595,4,0
1527636495,7,16
1527638436,6,8
1527640352,4,0
1527642258,6,10
1527644189,3,10
1527648012,2,20
1527649952,2,16
1527651854,14,11
1527653771,4,18
1527655694,9,17
1527657629,5,9
1527659533,6,9
1527663375,12,13
1527667244,13,23
1527669156,2,8
1527671057,2,6
1527672973,3,6
1527674896,3,3
1527678741,4,6
1527680920,8,4
1527682839,5,0
1527684751,3,8
1527686656,10,10
1527688590,5,5
1527690490,10,7
1527692429,5,0
1527694351,6,14
1527696261,7,5
1527698196,5,7
1527700360,7,3
1527702257,13,6
1527704181,2,0
1527708017,7,7
1527709932,3,10
1527711872,11,5
1527713772,3,0
1527715709,10,0
1527717636,9,0
1527720153,7,0
1527722173,5,14
1527724089,8,10
1527726024,13,8
1527727941,5,5
1527729851,11,0
1527731782,6,20
1527733691,8,0
1527735617,8,8
1527737548,7,7
1527739468,13,31
1527741369,5,0
1527743292,11,12
1527745209,14,0
1527747134,11,13
1527749054,8,0
1527750969,9,0
1527752888,7,15
1527754808,4,10
1527756745,5,9
1527758651,5,11
1527760586,5,2
1527762493,2,0
1527764426,3,16
1527766345,7,12
1527770170,3,17
1527772092,4,11
1527775935,7,4
1527777776,22,8
1527779766,2,12
1527781702,7,14
1527783614,8,0
1527785791,4,1
1527787952,1,13
1527789864,16,3
1527792023,4,13
1527793953,9,5
1527795853,11,5
1527797770,7,0
1527801615,4,9
1527803530,3,6
1527805465,5,1
1527807384,14,0
1527809801,4,0
1527811697,6,9
1527813612,14,3
1527815536,5,0
1527817468,13,5
1527819378,8,14
1527821311,5,10
1527823209,12,7
1527825155,9,9
1527827054,9,11
1527829001,2,11
1527830894,10,6
1527834755,3,19
1527836658,9,6
1527838586,13,4
1527844340,5,20
1527850098,12,5
1527852024,13,2
1527853931,9,0
1527855857,11,4
1527857781,4,9
1527859691,11,8
1527861629,12,8
1527863549,4,0
1527867389,6,12
1527869333,6,3
1527873381,10,6
1527875304,8,3
1527877214,8,5
1527879131,5,12
1527881067,16,8
1527884892,13,21
1527886836,10,0
1527888751,11,0
1527890662,9,7
1527892885,9,0
1527894998,6,2
1527898808,15,14
1527900743,5,0
1527904581,7,19
1527908415,12,8
1527910347,3,8
1527912256,9,14
1527914984,8,12
1527919338,22,11
1527921713,10,5
1527923874,12,0
1527926509,13,11
1527929144,6,6
1527931306,5,9
1527933724,0,7
1527935857,7,5
1527938514,8,0
1527940947,7,7
1527943306,10,1
1527945472,17,14
1527947626,7,12
1527949542,0,0
1527951944,11,5
1527954346,5,6
1527956974,11,1
1527959105,7,2
1527961734,11,10
1527964143,12,11
1527966542,7,10
1527968941,8,4
1527971099,7,4
1527973270,13,0
1527975412,11,4
1527977831,16,6
1527980220,12,8
1527982421,0,0
1527984788,0,0
1527987170,18,12
1527989590,9,10
1527991981,5,13
1527994470,14,14
1527999200,8,26
1528001592,8,16
1528004239,13,6
1528006102,15,9
