DateTime,AddedIPs,RemovedIPs
1528263867,80,90
1528264836,81,98
1528265783,111,84
1528266792,123,94
1528267763,92,79
1528268668,104,110
1528269613,114,126
1528270578,116,120
1528271550,116,139
1528272500,143,142
1528273457,138,102
1528274412,140,143
1528275381,134,89
1528276349,117,100
1528277297,111,98
1528278273,119,115
1528279223,135,86
1528280172,101,102
1528281146,140,92
1528282097,103,75
1528283068,109,116
1528284010,102,90
1528284988,96,155
1528285941,106,105
1528286911,119,131
1528287864,84,106
1528288813,121,88
1528289778,157,122
1528290749,116,109
1528291705,122,121
1528292673,92,60
1528293629,118,107
1528294572,114,125
1528295545,113,115
1528296495,70,81
1528297458,103,139
1528298420,72,93
1528299380,95,95
1528300330,118,93
1528301327,145,119
1528302266,123,115
1528303222,142,126
1528304169,121,95
1528305147,115,122
1528306093,88,113
1528307066,104,72
1528308035,92,105
1528309813,139,185
1528313575,181,328
1528318893,211,579
1528322870,208,327
1528325368,200,311
1528330137,244,570
1528333305,267,385
1528335425,224,255
1528336338,178,117
1528337299,182,127
1528338286,117,146
1528339222,138,143
1528340171,145,147
1528341162,128,123
1528342090,120,136
1528343167,114,101
1528344270,138,150
1528345214,109,134
1528346172,161,134
1528347153,108,122
1528348092,127,128
1528349067,102,145
1528350036,20,6
1528350754,95,183
1528351218,17,13
1528351692,114,84
1528352188,31,37
1528352962,70,112
1528353394,28,12
1528353925,106,108
1528354352,15,13
1528355059,140,92
1528355301,20,20
1528356012,106,115
1528356272,28,11
1528356967,130,107
1528357223,7,14
1528357936,124,119
1528358176,15,32
1528358896,113,116
1528359392,36,7
1528359858,106,252
1528360345,18,25
1528360823,137,144
1528361290,21,12
1528361774,121,7
1528362275,28,25
1528362736,76,154
1528363216,11,6
1528363700,92,236
1528364195,17,31
1528364683,89,130
1528365149,11,26
1528365640,132,137
1528366105,24,15
1528366581,142,111
1528367053,10,28
1528367543,89,4
1528368037,24,15
1528368490,100,131
1528368975,4,15
1528369464,125,93
1528369945,24,9
1528370414,128,192
1528370903,13,21
1528371368,94,4
1528371868,22,10
1528372344,87,181
1528372836,9,27
1528373299,133,6
1528373794,15,7
1528374254,83,70
1528374746,10,11
1528375220,75,211
1528375693,6,31
1528376175,84,2
1528376663,20,30
1528377136,79,115
1528377626,21,22
1528378099,128,110
1528378573,14,7
1528379069,85,140
1528379554,6,18
1528380021,104,111
1528380498,21,12
1528380977,86,208
1528381460,14,19
1528381952,94,110
1528382414,12,8
1528382889,73,3
1528383649,21,17
1528384109,96,150
1528384571,6,17
1528385068,100,82
1528385553,7,13
1528386010,128,112
1528386498,15,19
1528386984,121,100
1528387460,7,17
1528387940,125,139
1528388422,32,18
1528388896,96,124
1528389381,19,15
1528389868,137,128
1528390330,15,4
