DateTime,Entries,UniqueIPs
1528263867,15758,15758
1528264836,15741,15741
1528265783,15768,15768
1528266792,15797,15797
1528267763,15810,15810
1528268668,15804,15804
1528269613,15792,15792
1528270578,15788,15788
1528271550,15765,15765
1528272500,15766,15766
1528273457,15802,15802
1528274412,15799,15799
1528275381,15844,15844
1528276349,15861,15861
1528277297,15874,15874
1528278273,15878,15878
1528279223,15927,15927
1528280172,15926,15926
1528281146,15974,15974
1528282097,16002,16002
1528283068,15995,15995
1528284010,16007,16007
1528284988,15948,15948
1528285941,15949,15949
1528286911,15937,15937
1528287864,15915,15915
1528288813,15948,15948
1528289778,15983,15983
1528290749,15990,15990
1528291705,15991,15991
1528292673,16023,16023
1528293629,16034,16034
1528294572,16023,16023
1528295545,16021,16021
1528296495,16010,16010
1528297458,15974,15974
1528298420,15953,15953
1528299380,15953,15953
1528300330,15978,15978
1528301327,16004,16004
1528302266,16012,16012
1528303222,16028,16028
1528304169,16054,16054
1528305147,16047,16047
1528306093,16022,16022
1528307066,16054,16054
1528308035,16041,16041
1528309813,15995,15995
1528313575,15848,15848
1528318893,15480,15480
1528322870,15361,15361
1528325368,15250,15250
1528330137,14924,14924
1528333305,14806,14806
1528335425,14775,14775
1528336338,14836,14836
1528337299,14891,14891
1528338286,14862,14862
1528339222,14857,14857
1528340171,14855,14855
1528341162,14860,14860
1528342090,14844,14844
1528343167,14857,14857
1528344270,14845,14845
1528345214,14820,14820
1528346172,14847,14847
1528347153,14833,14833
1528348092,14832,14832
1528349067,14789,14789
1528350036,14803,14803
1528350754,14715,14715
1528351218,14719,14719
1528351692,14749,14749
1528352188,14743,14743
1528352962,14701,14701
1528353394,14717,14717
1528353925,14715,14715
1528354352,14717,14717
1528355059,14765,14765
1528355301,14765,14765
1528356012,14756,14756
1528356272,14773,14773
1528356967,14796,14796
1528357223,14789,14789
1528357936,14794,14794
1528358176,14777,14777
1528358896,14774,14774
1528359392,14803,14803
1528359858,14657,14657
1528360345,14650,14650
1528360823,14643,14643
1528361290,14652,14652
1528361774,14766,14766
1528362275,14769,14769
1528362736,14691,14691
1528363216,14696,14696
1528363700,14552,14552
1528364195,14538,14538
1528364683,14497,14497
1528365149,14482,14482
1528365640,14477,14477
1528366105,14486,14486
1528366581,14517,14517
1528367053,14499,14499
1528367543,14584,14584
1528368037,14593,14593
1528368490,14562,14562
1528368975,14551,14551
1528369464,14583,14583
1528369945,14598,14598
1528370414,14534,14534
1528370903,14526,14526
1528371368,14616,14616
1528371868,14628,14628
1528372344,14534,14534
1528372836,14516,14516
1528373299,14643,14643
1528373794,14651,14651
1528374254,14664,14664
1528374746,14663,14663
1528375220,14527,14527
1528375693,14502,14502
1528376175,14584,14584
1528376663,14574,14574
1528377136,14538,14538
1528377626,14537,14537
1528378099,14555,14555
1528378573,14562,14562
1528379069,14507,14507
1528379554,14495,14495
1528380021,14488,14488
1528380498,14497,14497
1528380977,14375,14375
1528381460,14370,14370
1528381952,14354,14354
1528382414,14358,14358
1528382889,14428,14428
1528383649,14432,14432
1528384109,14378,14378
1528384571,14367,14367
1528385068,14385,14385
1528385553,14379,14379
1528386010,14395,14395
1528386498,14391,14391
1528386984,14412,14412
1528387460,14402,14402
1528387940,14388,14388
1528388422,14402,14402
1528388896,14374,14374
1528389381,14378,14378
1528389868,14387,14387
1528390330,14398,14398
1528390820,14390,14390
1528391312,14403,14403
1528391782,14405,14405
1528392259,14419,14419
1528392746,14417,14417
1528393219,14418,14418
1528393700,14398,14398
1528394181,14403,14403
1528394659,14387,14387
1528395150,14371,14371
1528395618,14445,14445
1528396090,14454,14454
1528396581,14491,14491
1528397067,14456,14456
1528397545,14528,14528
1528398027,14545,14545
1528398501,14673,14673
1528398974,14693,14693
1528399476,14788,14788
1528399934,14800,14800
1528400408,14771,14771
1528400914,14725,14725
1528401368,14839,14839
1528401857,14848,14848
1528402350,14929,14929
1528402817,14950,14950
1528403298,15051,15051
1528403792,15064,15064
1528404260,15136,15136
1528404735,15162,15162
1528405228,15263,15263
1528405700,15220,15220
1528406181,15212,15212
1528406676,15230,15230
1528407132,15303,15303
1528407614,15322,15322
1528408106,15414,15414
1528408578,15427,15427
1528409058,15567,15567
1528409553,15540,15540
1528410010,15569,15569
1528411105,15721,15721
1528412185,15651,15651
1528413130,15759,15759
1528414113,15896,15896
1528415076,16013,16013
1528416035,16101,16101
1528416986,16102,16102
1528417937,16202,16202
1528418889,16336,16336
1528419870,16270,16270
1528420823,16382,16382
1528421772,16481,16481
1528422751,16304,16304
1528423692,16427,16427
1528424660,16371,16371
1528425631,16269,16269
1528426833,16290,16290
1528427802,16286,16286
1528428737,16277,16277
1528429691,16299,16299
1528430663,16405,16405
1528431628,16337,16337
1528432583,16332,16332
1528433539,16414,16414
1528434506,16297,16297
1528435470,16291,16291
1528436433,16377,16377
1528437380,16416,16416
1528438364,16372,16372
1528439541,16363,16363
1528440489,16307,16307
1528441458,16405,16405
1528442416,16292,16292
1528443394,16248,16248
1528444467,16216,16216
1528445557,16169,16169
1528446561,16157,16157
1528447703,16104,16104
1528448653,16086,16086
1528449612,16153,16153
1528450586,16202,16202
1528451817,16197,16197
1528452746,16177,16177
1528453697,16122,16122
1528454664,16163,16163
1528455635,16158,16158
1528456578,16150,16150
1528457534,16118,16118
1528458501,16134,16134
1528459467,16145,16145
1528460422,16148,16148
1528461394,16169,16169
1528462370,16202,16202
1528463305,16185,16185
1528464253,16218,16218
1528465491,16146,16146
1528466416,16188,16188
1528467395,16081,16081
1528469565,16022,16022
1528470497,16087,16087
1528471461,16096,16096
1528472428,15980,15980
1528473373,16037,16037
1528474341,15894,15894
1528475311,15880,15880
1528476268,15925,15925
1528477241,15752,15752
1528478176,15846,15846
1528479150,15713,15713
1528480139,15726,15726
1528481069,15711,15711
1528482022,15724,15724
1528482991,15690,15690
1528483964,15720,15720
1528484910,15673,15673
1528485856,15753,15753
1528486869,15639,15639
1528487866,15605,15605
1528488982,15604,15604
1528489929,15597,15597
1528490887,15574,15574
1528492115,15530,15530
1528493062,15501,15501
1528494017,15496,15496
1528494986,15470,15470
1528495940,15416,15416
1528497504,15388,15388
1528498495,15315,15315
1528499555,15199,15199
1528500502,15281,15281
1528501482,15184,15184
1528502425,15213,15213
1528503370,15253,15253
1528504351,15118,15118
1528505293,15108,15108
1528506262,15235,15235
1528507227,15110,15110
1528508183,15067,15067
1528509150,15153,15153
1528510114,15106,15106
1528511058,15185,15185
1528512013,15206,15206
1528512986,15167,15167
1528513937,15141,15141
1528514900,15132,15132
1528515883,15122,15122
1528516820,15090,15090
1528517779,15051,15051
1528518750,15006,15006
1528519697,14991,14991
1528520670,14958,14958
1528521631,14942,14942
1528522574,14918,14918
1528523533,14896,14896
1528524517,14831,14831
1528525466,14804,14804
1528526413,14807,14807
