DateTime,AddedIPs,RemovedIPs
1528263867,458,453
1528264836,472,476
1528265783,454,441
1528266792,472,481
1528267763,468,466
1528268668,482,483
1528269613,492,495
1528270578,456,470
1528271550,475,465
1528272500,476,476
1528273457,475,471
1528274412,491,485
1528275381,462,475
1528276349,481,469
1528277297,470,480
1528278273,489,477
1528279223,461,460
1528280172,468,476
1528281146,495,490
1528282097,450,456
1528283068,461,457
1528284010,456,458
1528284988,454,453
1528285941,432,435
1528286911,438,437
1528287864,368,367
1528288813,429,421
1528289778,476,483
1528290749,483,483
1528291705,489,487
1528292673,466,470
1528293629,487,489
1528294572,472,468
1528295545,408,413
1528296495,455,457
1528297458,465,459
1528298420,462,466
1528299380,432,421
1528300330,461,483
1528301327,475,462
1528302266,472,471
1528303222,448,450
1528304169,456,447
1528305147,475,474
1528306093,475,476
1528307066,444,448
1528308035,457,459
1528309813,431,431
1528313575,537,525
1528318893,533,536
1528322870,496,503
1528325368,513,505
1528330137,620,619
1528333305,567,579
1528335425,553,554
1528336338,499,502
1528337299,477,478
1528338286,489,486
1528339222,477,470
1528340171,452,457
1528341162,485,478
1528342090,470,475
1528343167,428,432
1528344270,445,437
1528345214,493,491
1528346172,491,494
1528347153,487,480
1528348092,470,477
1528349067,440,436
1528350036,20,22
1528350754,455,459
1528351218,17,18
1528351692,470,466
1528352188,31,33
1528352962,456,460
1528353394,28,28
1528353925,447,443
1528354352,15,15
1528355059,467,467
1528355301,20,23
1528356012,445,440
1528356272,28,28
1528356967,455,458
1528357223,7,10
1528357936,458,453
1528358176,15,16
1528358896,471,463
1528359392,36,39
1528359858,457,467
1528360345,18,20
1528360823,462,450
1528361290,21,26
1528361774,457,454
1528362275,28,32
1528362736,456,457
1528363216,11,12
1528363700,348,342
1528364195,16,19
1528364683,390,394
1528365149,11,13
1528365640,457,456
1528366105,25,26
1528366581,446,443
1528367053,10,12
1528367543,454,450
1528368037,24,24
1528368490,447,444
1528368975,4,6
1528369464,462,460
1528369945,24,26
1528370414,461,457
1528370903,14,16
1528371368,440,441
1528371868,22,25
1528372344,420,415
1528372836,9,10
1528373299,450,454
1528373794,15,17
1528374254,431,431
1528374746,10,12
1528375220,400,393
1528375693,5,5
1528376175,390,385
1528376663,20,23
1528377136,401,407
1528377626,21,24
1528378099,441,437
1528378573,14,16
1528379069,443,431
1528379554,6,8
1528380021,433,435
1528380498,21,23
1528380977,432,432
1528381460,14,16
1528381952,397,397
1528382414,12,12
1528382889,419,416
1528383649,21,21
1528384109,395,392
1528384571,6,9
1528385068,468,458
1528385553,7,9
1528386010,442,451
1528386498,15,16
1528386984,465,464
1528387460,7,12
1528387940,467,458
1528388422,32,36
