DateTime,Entries,UniqueIPs
1527357437,0,0
1527358647,0,0
1527360556,0,0
1527362253,0,0
1527363198,0,0
1527364891,0,0
1527365836,0,0
1527367273,0,0
1527368726,0,0
1527370140,0,0
1527371835,0,0
1527373295,0,0
1527374858,0,0
1527376151,0,0
1527377852,0,0
1527379301,0,0
1527380488,0,0
1527381915,0,0
1527383130,0,0
1527384629,0,0
1527386235,0,0
1527387437,0,0
1527388639,0,0
1527390321,0,0
1527391311,0,0
1527392477,0,0
1527393434,0,0
1527394638,0,0
1527395609,0,0
1527396538,0,0
1527397519,0,0
1527398477,0,0
1527399666,0,0
1527912835,0,0
1527914997,0,0
1527917176,0,0
1527919651,0,0
1527922029,0,0
1527923887,0,0
1527925550,0,0
1527926524,0,0
1527927950,0,0
1527929157,0,0
1527930354,0,0
1527931320,0,0
1527932517,0,0
1527933737,0,0
1527934683,0,0
1527935870,0,0
1527937335,0,0
1527938527,0,0
1527939467,0,0
1527940960,0,0
1527942155,0,0
1527943319,0,0
1527944268,0,0
1527945487,0,0
1527946667,0,0
1527947639,0,0
1527948600,0,0
1527949563,0,0
1527950754,0,0
1527951963,0,0
1527953154,0,0
1527954362,0,0
1527955869,0,0
1527956990,0,0
1527958154,0,0
1527959119,0,0
1527960653,0,0
1527961747,0,0
1527962976,0,0
1527964157,0,0
1527965347,0,0
1527966559,0,0
1527967758,0,0
1527968960,0,0
1527970152,0,0
1527971113,0,0
1527972315,0,0
1527973283,0,0
1527974243,0,0
1527975440,0,0
1527976633,0,0
1527977850,0,0
1527979029,0,0
1527980234,0,0
1527981441,0,0
1527982436,0,0
1527983597,0,0
1527984800,0,0
1527986001,0,0
1527987183,0,0
1527988394,0,0
1527989605,0,0
1527990793,0,0
1527991999,0,0
1527993254,0,0
1527994484,0,0
1527995597,0,0
1527996839,0,0
1527997982,0,0
1527999215,0,0
1528000408,0,0
1528001607,0,0
1528002809,0,0
1528004255,0,0
1528309804,0,0
1528318890,70805,71320
1528322831,70721,71234
1528325362,70656,71171
1528328963,70604,71119
1528328963,70604,71119
1528328963,70604,71119
1528330136,70619,71134
1528333303,70617,71132
1528335423,70627,71142
1528336330,70661,71176
1528337298,70663,71177
1528338285,70679,71193
1528339220,70647,71160
1528340169,70635,71147
1528341161,70636,71149
1528342089,70620,71134
1528343151,70612,71127
1528344268,70630,71146
1528345213,70597,71110
1528346170,70586,71098
1528347152,70523,71035
1528348091,70541,71053
1528349056,70551,71063
1528350036,70514,71026
1528351218,70464,70976
1528352188,70481,70993
1528353394,70451,70963
1528354352,70459,70971
1528355301,70441,70952
1528356272,70435,70946
1528357223,70412,70922
1528358176,70377,70887
1528359392,70390,70900
1528360345,70362,70872
1528361290,70376,70886
1528362275,70377,70886
1528363216,70370,70879
1528364195,70332,70840
1528365149,70315,70820
1528366105,70288,70796
1528367053,70263,70770
1528368037,70250,70757
1528368975,70199,70706
1528369945,70205,70712
1528370903,70174,70682
1528371868,70173,70680
1528372836,70130,70637
1528373794,70142,70649
1528374746,70111,70618
1528375693,70080,70587
1528376663,70055,70562
1528377626,70002,70510
1528378573,70019,70527
1528379554,69978,70485
1528380498,69950,70457
1528381460,69893,70399
1528382414,69865,70371
1528383649,69853,70359
1528384571,69816,70322
1528385553,69754,70260
1528386498,69737,70243
1528387460,69688,70193
1528388422,69705,70211
1528389381,69673,70179
1528390330,69625,70131
1528391312,69600,70106
1528392259,69580,70085
1528393219,69569,70075
1528394181,69533,70038
1528395150,69490,69996
1528396090,69446,69952
1528397067,69414,69920
1528398027,69384,69890
1528398974,69372,69879
1528399934,69333,69839
1528400914,69343,69850
1528401857,69321,69828
1528402817,69285,69792
1528403792,69241,69748
1528404735,69227,69735
1528405700,69166,69676
1528406676,69105,69615
1528407614,69127,69637
1528408578,69122,69633
1528409553,69046,69557
1528411104,69067,69578
1528412183,68941,69451
1528413129,68957,69467
1528414103,68890,69400
1528415067,68908,69418
1528416015,68907,69417
1528416985,68853,69363
1528417935,68828,69337
1528418888,68833,69342
1528419860,68784,69292
1528420821,68778,69283
1528421770,68728,69232
1528422747,68658,69162
1528423691,68507,69009
1528424653,68516,69020
1528425630,68354,68854
1528426816,68298,68797
1528427801,68236,68735
1528428736,68142,68641
1528429689,68100,68595
1528430662,68073,68568
1528431627,68007,68502
1528432582,67924,68421
1528433538,67911,68408
1528434505,67890,68387
1528435465,67864,68361
1528436432,67808,68303
1528437372,67758,68252
1528438355,67697,68190
1528439540,67655,68149
1528440488,67610,68104
1528441452,67637,68131
1528442415,67559,68053
1528443392,67529,68022
1528444465,67500,67993
1528445545,67510,68003
1528446560,67479,67972
1528447701,67459,67953
1528448652,67420,67914
1528449605,67409,67903
1528450584,67373,67868
1528451809,67343,67838
1528452744,67290,67785
1528453695,67265,67760
1528454658,67246,67742
1528455634,67206,67703
1528456576,67194,67692
1528457533,67164,67662
1528458500,67089,67586
1528459466,67100,67597
1528460421,67092,67589
1528461393,67062,67559
1528462362,67034,67531
1528463304,67016,67513
1528464251,66998,67495
1528465480,67003,67500
1528466415,66980,67473
1528467387,66970,67463
1528469564,66886,67377
1528470496,66849,67339
1528471459,66839,67328
1528472427,66834,67324
1528473372,66824,67314
1528474339,66803,67294
1528475310,66778,67269
1528476258,66771,67263
1528477239,66755,67249
1528478174,66754,67248
1528479149,66729,67223
1528480134,66723,67217
1528481065,66694,67189
1528482021,66684,67179
1528482982,66673,67168
1528483959,66671,67166
1528484909,66662,67157
1528485854,66641,67136
1528486868,66638,67133
1528487865,66608,67102
1528488981,66608,67102
1528489927,66588,67083
1528490886,66559,67053
1528492114,66550,67044
1528493053,66540,67035
1528494016,66525,67019
1528494985,66508,67002
1528495938,66462,66956
1528497502,66444,66939
1528498488,66438,66933
1528499554,66402,66897
1528500492,66415,66910
1528501463,66384,66878
1528502423,66347,66841
1528503369,66319,66813
1528504349,66287,66780
1528505291,66245,66737
1528506257,66209,66700
1528507225,66198,66688
1528508174,66164,66654
1528509132,66124,66613
1528510113,66115,66605
1528511051,66126,66616
1528512012,66097,66586
1528512984,66007,66494
1528513935,66040,66528
1528514889,66038,66525
1528515868,66001,66486
1528516819,65987,66471
1528517773,65958,66442
1528518749,65932,66414
1528519695,65926,66408
1528520659,65918,66400
1528521629,65915,66397
1528522572,65894,66376
1528523532,65852,66334
1528524509,65834,66316
1528525457,65840,66322
1528526411,65788,66270
1528527389,65789,66273
1528528338,65762,66245
1528529289,65765,66249
1528530274,65721,66204
1528531230,65687,66171
1528532172,65676,66160
1528533154,65623,66108
1528534091,65625,66110
1528535061,65592,66077
1528536012,65593,66077
1528536993,65616,66101
1528537941,65620,66105
1528538895,65617,66102
1528539870,65605,66089
1528540814,65612,66096
1528541786,65597,66081
1528542745,65619,66104
1528543698,65573,66058
1528544664,65559,66044
1528545641,65568,66053
1528546585,65544,66029
1528547557,65535,66020
1528548497,65507,65992
1528549478,65472,65957
1528550413,65456,65941
1528551378,65444,65929
1528552352,65432,65917
1528553295,65412,65896
1528554261,65407,65891
1528555216,65402,65886
1528556187,65390,65873
1528557139,65392,65876
1528558092,65368,65852
1528559076,65364,65848
1528560027,65348,65832
