DateTime,AddedIPs,RemovedIPs
1528203866,30,22
1528204814,29,26
1528205770,25,18
1528206740,6,15
1528207700,39,15
1528208654,23,15
1528209619,18,27
1528210576,22,21
1528211542,16,12
1528212498,17,15
1528213728,14,26
1528214671,30,32
1528215621,22,0
1528216569,30,20
1528217553,23,48
1528218492,13,19
1528219458,13,20
1528220431,32,6
1528221376,19,18
1528222339,16,12
1528223297,21,21
1528224270,19,7
1528225235,28,12
1528226175,11,16
1528227158,35,12
1528228089,11,22
1528229319,31,9
1528230255,22,26
1528231231,22,20
1528232189,21,16
1528233146,20,17
1528234109,27,17
1528235559,18,28
1528236494,19,0
1528237470,26,39
1528238417,17,20
1528239737,28,21
1528240820,20,22
1528241777,24,33
1528242729,19,33
1528243711,39,28
1528244658,38,33
1528245610,35,24
1528246578,18,47
1528247537,58,33
1528248488,45,55
1528249458,48,35
1528250433,21,33
1528251371,40,45
1528252345,36,25
1528253294,30,16
1528254254,33,37
1528255221,24,26
1528256185,28,35
1528257138,14,30
1528258100,39,31
1528259080,29,40
1528260014,11,15
1528260968,22,28
1528261960,23,19
1528262890,22,38
1528263855,9,16
1528264835,22,37
1528265776,25,27
1528266791,25,37
1528267759,22,23
1528268667,29,30
1528269612,41,17
1528270577,15,11
1528271549,21,41
1528272496,44,40
1528273456,13,34
1528274411,33,13
1528275380,19,38
1528276348,32,31
1528277289,12,29
1528278264,40,33
1528279222,35,40
1528280171,17,20
1528281145,36,30
1528282096,21,13
1528283058,25,1
1528284009,12,1
1528284986,28,0
1528285940,15,1
1528286910,38,2
1528287857,13,0
1528288811,19,0
1528289769,43,50
1528290748,34,89
1528291700,27,60
1528292650,9,38
1528293623,32,45
1528294571,19,9
1528295543,27,37
1528296494,13,34
1528297457,22,32
1528298418,20,37
1528299379,19,22
1528300329,27,39
1528301326,21,25
1528302259,22,21
1528303221,20,24
1528304168,6,24
1528305142,17,0
1528306089,11,41
1528307054,26,0
1528308034,13,30
1528309804,44,17
1528313574,70,81
1528318890,82,120
1528322831,91,69
1528325362,66,42
1528328963,110,152
1528330136,44,48
1528333303,122,98
1528335423,88,112
1528336330,50,22
1528337298,56,66
1528338285,33,36
1528339220,14,34
1528340169,27,30
1528341161,31,45
1528342089,10,4
1528343151,23,33
1528344268,31,36
1528345213,30,32
1528346170,23,0
1528347152,15,46
1528348091,18,0
1528349056,21,28
1528350036,23,46
1528351218,19,34
1528352188,33,5
1528353394,28,21
1528354352,16,1316
1528355301,23,13
1528356272,29,18
1528357223,10,10
1528358176,16,25
1528359392,39,19
1528360345,21,3
1528361290,26,23
1528362275,33,30
1528363216,12,21
1528364195,19,17
1528365149,14,16
1528366105,28,19
1528367053,12,15
1528368037,25,7
1528368975,6,12
1528369945,26,6
1528370903,16,20
1528371868,25,13
1528372836,10,20
1528373794,17,24
1528374746,12,22
1528375693,5,8
1528376663,23,13
1528377626,24,8
1528378573,17,17
1528379554,8,5
1528380498,23,18
1528381460,16,20
1528382414,12,19
1528383649,21,13
1528384571,9,16
1528385553,9,9
1528386498,16,13
1528387460,12,17
1528388422,36,9
1528389381,22,13
1528390330,16,21
1528391312,30,0
1528392259,23,26
1528393219,22,7
1528394181,14,0
1528395150,20,29
1528396090,10,28
1528397067,18,13
1528398027,20,19
1528398974,25,14
1528399934,15,20
1528400914,11,9
1528401857,11,15
1528402817,23,13
1528403792,15,32
1528404735,28,17
1528405700,27,17
1528406676,20,20
1528407614,22,11
1528408578,18,20
1528409553,30,28
1528411104,21,33
1528412183,25,11
1528413129,16,53
1528414103,18,0
1528415067,18,17
1528416015,24,37
1528416985,36,35
1528417935,33,41
1528418888,39,10
1528419860,14,41
1528420821,42,38
1528421770,16,27
1528422747,27,30
1528423691,30,24
1528424653,18,23
1528425630,24,24
1528426816,16,18
1528427801,21,27
1528428736,17,30
1528429689,32,9
1528430662,25,14
1528431627,29,8
1528432582,13,28
1528433538,4,15
1528434505,13,16
1528435465,17,7
1528436432,19,15
1528437372,19,11
1528438355,16,17
1528439540,14,16
1528440488,11,16
1528441452,33,24
1528442415,18,14
1528443392,5,22
1528444465,12,5
1528445545,33,0
1528446560,20,0
1528447701,15,0
1528448652,18,0
1528449605,22,0
1528450584,13,0
1528451809,13,1
1528452744,12,0
1528453695,19,1
1528454658,20,0
1528455634,12,0
1528456576,12,0
1528457533,2,0
1528458500,14,0
