DateTime,AddedIPs,RemovedIPs
1528203866,30,30
1528204814,29,29
1528205770,25,25
1528206740,6,6
1528207700,39,39
1528208654,23,23
1528209619,18,18
1528210576,22,22
1528211542,16,16
1528212498,17,17
1528213728,14,14
1528214671,30,30
1528215621,22,22
1528216569,30,30
1528217553,23,23
1528218492,13,13
1528219458,13,13
1528220431,32,32
1528221376,19,19
1528222339,16,16
1528223297,21,21
1528224270,19,19
1528225235,28,28
1528226175,11,11
1528227158,35,35
1528228089,11,11
1528229319,31,31
1528230255,22,22
1528231231,22,22
1528232189,21,21
1528233146,20,20
1528234109,27,27
1528235559,18,18
1528236494,19,19
1528237470,26,26
1528238417,17,17
1528239737,28,28
1528240820,20,20
1528241777,24,24
1528242729,19,19
1528243711,39,39
1528244658,38,38
1528245610,35,35
1528246578,18,18
1528247537,58,58
1528248488,45,45
1528249458,48,48
1528250433,21,21
1528251371,40,40
1528252345,36,36
1528253294,30,30
1528254254,33,33
1528255221,24,24
1528256185,28,28
1528257138,14,14
1528258100,39,39
1528259080,29,29
1528260014,11,11
1528260968,22,22
1528261960,23,23
1528262890,22,22
1528263855,9,9
1528264835,22,22
1528265776,25,25
1528266791,25,25
1528267759,22,22
1528268667,29,29
1528269612,41,41
1528270577,15,15
1528271549,21,21
1528272496,44,44
1528273456,13,13
1528274411,33,33
1528275380,19,19
1528276348,32,32
1528277289,12,12
1528278264,40,40
1528279222,35,35
1528280171,17,17
1528281145,36,36
1528282096,21,21
1528283058,25,25
1528284009,12,12
1528284986,28,28
1528285940,15,15
1528286910,38,38
1528287857,13,13
1528288811,19,19
1528289769,43,43
1528290748,34,34
1528291700,27,27
1528292650,9,9
1528293623,32,32
1528294571,19,19
1528295543,27,27
1528296494,13,13
1528297457,22,22
1528298418,20,20
1528299379,19,19
1528300329,27,27
1528301326,21,21
1528302259,22,22
1528303221,20,20
1528304168,6,6
1528305142,17,17
1528306089,11,11
1528307054,26,26
1528308034,13,13
1528309804,44,44
1528313574,70,70
1528318890,82,82
1528322831,91,91
1528325362,66,66
1528328963,110,110
