DateTime,AddedIPs,RemovedIPs
1528202893,28,175
1528203872,28,189
1528204817,33,238
1528205771,26,209
1528206750,28,129
1528207702,43,6
1528208660,40,10
1528209621,18,7
1528210577,34,8
1528211543,31,8
1528212505,41,14
1528213733,37,130
1528214672,41,0
1528215623,37,136
1528216571,32,209
1528217555,42,327
1528218494,30,153
1528219459,33,142
1528220432,16,147
1528221377,29,178
1528222340,30,137
1528223305,37,169
1528224279,22,145
1528225237,28,197
1528226176,29,295
1528227159,37,294
1528228090,29,246
1528229320,44,168
1528230261,49,225
1528231232,24,171
1528232190,42,254
1528233148,32,321
1528234119,36,272
1528235572,25,1768
1528236495,27,0
1528237477,30,239
1528238419,23,52
1528239738,28,132
1528240821,37,178
1528241778,35,182
1528242735,41,131
1528243712,47,111
1528244659,51,124
1528245611,38,119
1528246587,49,144
1528247538,40,101
1528248489,45,114
1528249476,43,68
1528250434,52,90
1528251372,38,113
1528252347,66,133
1528253295,52,112
1528254255,34,202
1528255222,50,18
1528256186,39,79
1528257142,49,45
1528258101,39,182
1528259081,42,186
1528260016,37,203
1528260977,53,70
1528261961,43,177
1528262892,38,167
1528263867,44,77
1528264836,34,169
1528265783,28,97
1528266792,52,34
1528267763,29,226
1528268668,46,225
1528269613,41,50
1528270578,61,2
1528271550,46,116
1528272500,49,256
1528273457,56,198
1528274412,47,83
1528275381,62,126
1528276349,38,114
1528277297,54,157
1528278273,46,170
1528279223,52,163
1528280172,42,54
1528281146,55,271
1528282097,52,22
1528283068,37,217
1528284010,50,399
1528284988,26,0
1528285941,45,117
1528286911,36,211
1528287864,29,186
1528288813,43,233
1528289778,50,63
1528290749,44,228
1528291705,39,265
1528292673,46,60
1528293629,47,218
1528294572,43,136
1528295545,35,139
1528296495,38,75
1528297458,35,326
1528298420,30,17
1528299380,37,253
1528300330,48,50
1528301327,66,230
1528302266,53,253
1528303222,50,114
1528304169,68,320
1528305147,49,0
1528306093,39,413
1528307066,52,0
1528308035,36,367
1528309813,47,121
1528313575,43,837
1528318893,52,1093
1528322870,59,2058
1528325368,51,381
1528330137,45,1192
1528333305,81,609
1528335425,69,417
1528336338,82,247
1528337299,84,363
1528338286,52,231
1528339222,70,220
1528340171,66,179
1528341162,51,235
1528342090,68,5
1528343167,47,369
1528344270,44,270
1528345214,37,179
1528346172,70,0
1528347153,49,747
1528348092,48,0
1528349067,57,401
1528350754,48,106
1528351692,49,366
1528352962,46,489
1528353925,66,687
1528355059,67,60
1528356012,50,40
1528356967,70,49
1528357936,61,60
1528358896,55,70
1528359858,55,44
1528360823,69,69
1528361774,74,68
1528362736,41,49
1528363700,47,58
1528364683,46,51
1528365640,52,69
1528366581,62,52
1528367543,50,64
1528368490,60,42
1528369464,66,55
1528370414,58,36
1528371368,35,69
1528372344,35,44
1528373299,69,54
1528374254,45,64
1528375220,24,57
1528376175,46,55
1528377136,35,66
1528378099,76,67
1528379069,36,35
1528380021,50,48
1528380977,46,39
1528381952,52,38
1528382889,32,0
1528384109,36,87
1528385068,50,0
1528386010,60,32
1528386984,50,72
1528387940,50,0
1528388896,43,66
1528389868,71,34
1528390820,53,0
1528391782,52,46
1528392746,39,37
1528393700,30,41
1528394659,37,42
1528395618,38,37
1528396581,66,32
1528397545,41,41
1528398501,60,178
1528399476,45,52
1528400408,57,37
1528401368,64,42
1528402350,49,31
1528403298,52,35
1528404260,46,53
1528405228,64,48
1528406181,76,29
1528407132,43,51
1528408106,53,36
1528409058,78,29
1528410010,69,33
1528411105,79,32
1528412185,66,33
1528413130,45,41
1528414113,57,0
1528415076,61,43
1528416035,54,30
1528416986,70,36
1528417937,48,54
1528418889,70,43
1528419870,64,45
1528420823,60,35
1528421772,69,45
1528422751,48,41
1528423692,69,36
1528424660,51,49
1528425631,47,34
1528426833,53,24
1528427802,46,37
1528428737,53,32
1528429691,60,45
1528430663,63,36
1528431628,67,31
1528432583,69,30
1528433539,55,35
1528434506,50,28
1528435470,55,25
1528436433,47,51
1528437380,72,21
1528438364,45,37
1528439541,46,43
1528440489,51,33
1528441458,63,25
1528442416,66,42
1528443394,60,30
1528444467,51,36
1528445557,56,8
1528446561,48,8
1528447703,55,9
1528448653,57,7
1528449612,57,5
1528450586,64,23
1528451817,51,31
1528452746,48,19
1528453697,36,18
1528454664,53,23
1528455635,52,15
1528456578,51,29
1528457534,58,15
1528458501,48,36
1528459467,43,41
1528460422,47,44
1528461394,49,56
1528462370,56,51
1528463305,33,66
1528464253,50,60
1528465491,47,150
1528466416,29,0
1528467395,40,92
1528469565,48,77
1528470497,47,49
1528471461,36,59
1528472428,54,53
1528473373,35,52
1528474341,28,38
1528475311,29,36
1528476268,24,59
1528477241,32,54
1528478176,50,0
1528479150,37,89
1528480139,34,59
1528481069,24,49
1528482022,35,0
1528482991,42,56
1528483964,38,96
1528484910,29,44
1528485856,48,0
1528486869,34,111
1528487866,36,54
1528488982,37,55
1528489929,41,53
1528490887,29,50
1528492115,41,48
1528493062,29,46
1528494017,39,33
1528494986,35,45
1528495940,40,39
1528497504,36,50
1528498495,40,44
1528499555,28,56
1528500502,43,0
1528501482,42,53
1528502425,48,59
1528503370,40,55
1528504351,43,49
1528505293,53,60
1528506262,50,64
1528507227,46,61
1528508183,30,56
1528509150,45,64
1528510114,60,34
1528511058,39,62
1528512013,45,41
1528512986,41,28
1528513937,35,54
1528514900,29,49
1528515883,41,45
1528516820,28,44
1528517779,27,53
1528518750,36,0
1528519697,47,0
1528520670,43,63
1528521631,26,0
1528522574,34,59
1528523533,44,0
1528524517,37,60
1528525466,41,0
1528526413,39,0
1528527390,26,48
1528528339,40,0
1528529291,38,53
1528530286,48,0
1528531236,50,55
1528532174,27,58
1528533156,59,61
1528534093,45,57
1528535062,41,0
1528536014,42,54
1528536995,54,47
1528537958,50,71
1528538897,44,61
1528539872,45,58
1528540816,38,45
1528541788,35,0
1528542747,51,59
1528543700,36,62
1528544675,39,48
1528545643,38,0
1528546587,44,56
1528547559,46,71
1528548499,37,52
1528549480,23,51
1528550414,31,77
1528551379,34,0
1528552369,35,61
1528553297,27,62
1528554271,38,60
1528555217,23,0
1528556188,28,75
1528557141,40,68
1528558093,26,71
1528559086,26,0
1528560034,30,71
1528560972,17,70
1528561953,35,63
1528562895,40,0
1528563866,21,52
1528564821,31,64
1528565793,26,52
1528566994,31,72
1528567946,35,54
1528568894,48,0
1528569878,29,53
1528570820,36,77
1528571790,40,57
1528572733,23,55
1528573702,37,0
1528574658,42,57
1528575618,17,42
1528576581,18,47
1528577550,29,70
1528578502,29,62
1528579487,36,60
1528580415,41,46
1528581370,35,0
1528582358,49,51
1528583299,20,55
1528584392,32,62
1528586454,23,149
1528587381,28,47
1528588340,39,0
1528589316,24,71
1528590288,57,72
1528591212,29,81
1528592188,46,59
1528593172,32,0
1528594105,55,46
1528595077,55,64
1528596024,52,67
1528596974,44,55
1528597956,41,0
1528598900,48,83
1528599862,53,66
1528600811,36,62
1528601821,26,66
1528602747,29,0
1528603708,36,72
1528604655,59,19
1528605648,41,28
1528606572,65,18
1528607554,54,0
1528608501,43,24
1528609471,75,14
1528610422,28,22
1528611381,62,16
1528612355,46,11
1528613300,46,0
1528614271,53,31
1528615214,35,22
1528616187,41,18
1528617138,65,16
1528618106,48,22
1528619068,55,16
1528620014,36,12
1528620987,40,28
1528621950,29,0
1528622901,51,38
1528623875,45,17
1528624842,53,17
1528625777,47,0
1528626748,30,25
1528627699,34,12
1528628663,28,0
1528629614,30,10
1528630598,29,19
1528631532,43,0
1528632510,38,25
1528633465,38,18
1528634416,28,0
1528635380,58,22
1528636604,33,14
1528637536,43,15
1528638537,48,13
1528639466,37,17
1528640420,45,11
1528641393,25,13
1528642346,42,18
1528643294,33,15
1528644300,39,16
1528645215,21,19
1528646175,52,13
1528647155,40,11
1528648093,41,19
1528649075,24,14
1528650032,31,12
1528650973,29,16
1528651959,43,0
1528652898,23,0
1528653884,54,19
1528654816,31,16
1528655799,26,9
1528656733,39,14
1528657700,46,22
1528658680,40,14
1528659632,31,14
1528660573,43,8
1528661574,36,12
1528662500,26,23
1528663472,28,19
1528664421,39,15
1528666876,21,52
1528668014,27,12
1528668989,31,12
1528669943,28,14
1528670911,29,0
1528671859,24,12
1528672835,26,15
1528673774,23,16
1528674743,27,10
1528675711,15,12
1528676666,57,16
1528677625,18,13
1528678588,25,11
1528679535,44,25
1528680511,37,14
1528681464,21,10
1528682451,35,13
1528683373,26,12
1528684363,43,11
1528685303,33,14
1528686288,54,22
1528687230,39,17
1528688189,36,20
1528689150,32,18
1528690103,22,17
1528691061,36,22
1528692026,28,15
1528692987,23,16
1528693942,41,6
1528694893,55,16
1528695885,39,17
1528696830,29,14
1528697779,40,14
1528698757,32,29
1528699697,35,0
1528700656,40,0
1528701662,54,0
1528702572,48,0
1528703570,50,0
1528704494,76,0
1528705481,57,0
1528706665,52,0
1528707628,36,0
1528708590,24,23
1528709538,58,42
1528710499,37,56
1528711480,36,48
1528712415,34,93
