DateTime,AddedIPs,RemovedIPs
1528202893,373,373
1528203872,468,468
1528204817,450,450
1528205771,454,454
1528206750,394,394
1528207702,476,476
1528208660,460,460
1528209621,467,467
1528210577,456,456
1528211543,468,468
1528212505,441,441
1528213733,455,455
1528214672,478,478
1528215623,481,481
1528216571,476,476
1528217555,448,448
1528218494,459,459
1528219459,464,464
1528220432,457,457
1528221377,462,462
1528222340,433,433
1528223305,448,448
1528224279,444,444
1528225237,384,384
1528226176,431,431
1528227159,425,425
1528228090,442,442
1528229320,475,475
1528230261,458,458
1528231232,463,463
1528232190,467,467
1528233148,478,478
1528234119,447,447
1528235572,473,473
1528236495,455,455
1528237477,425,425
1528238419,421,421
1528239738,463,463
1528240821,407,407
1528241778,467,467
1528242735,478,478
1528243712,482,482
1528244659,481,481
1528245611,460,460
1528246587,467,467
1528247538,476,476
1528248489,479,479
1528249476,421,421
1528250434,471,471
1528251372,473,473
1528252347,484,484
1528253295,476,476
1528254255,477,477
1528255222,445,445
1528256186,461,461
1528257142,476,476
1528258101,457,457
1528259081,417,417
1528260016,460,460
1528260977,440,440
1528261961,477,477
1528262892,480,480
1528263867,471,471
1528264836,473,473
1528265783,439,439
1528266792,466,466
1528267763,461,461
1528268668,473,473
1528269613,475,475
1528270578,475,475
1528271550,479,479
1528272500,454,454
1528273457,482,482
1528274412,477,477
1528275381,468,468
1528276349,469,469
1528277297,485,485
1528278273,470,470
1528279223,441,441
1528280172,471,471
1528281146,479,479
1528282097,453,453
1528283068,451,451
1528284010,462,462
1528284988,446,446
1528285941,441,441
1528286911,419,419
1528287864,370,370
1528288813,421,421
1528289778,455,455
1528290749,471,471
1528291705,479,479
1528292673,478,478
1528293629,481,481
1528294572,472,472
1528295545,401,401
1528296495,470,470
1528297458,462,462
1528298420,465,465
1528299380,425,425
1528300330,469,469
1528301327,475,475
1528302266,467,467
1528303222,449,449
1528304169,464,464
1528305147,471,471
1528306093,479,479
1528307066,437,437
1528308035,464,464
1528309813,401,401
1528313575,478,478
1528318893,464,464
1528322870,422,422
1528325368,461,461
1528330137,479,479
1528333305,472,472
1528335425,487,487
1528336338,472,472
1528337299,449,449
1528338286,479,479
1528339222,479,479
1528340171,450,450
1528341162,467,467
1528342090,480,480
1528343167,421,421
1528344270,424,424
1528345214,479,479
1528346172,484,484
1528347153,482,482
1528348092,469,469
1528349067,433,433
1528350754,474,474
1528351692,486,486
1528352962,477,477
1528353925,465,465
1528355059,485,485
1528356012,458,458
1528356967,472,472
1528357936,474,474
1528358896,479,479
1528359858,479,479
1528360823,473,473
1528361774,471,471
1528362736,475,475
1528363700,360,360
1528364683,410,410
1528365640,478,478
1528366581,464,464
1528367543,472,472
1528368490,460,460
1528369464,475,475
1528370414,475,475
1528371368,454,454
1528372344,433,433
1528373299,469,469
1528374254,450,450
1528375220,413,413
1528376175,399,399
1528377136,420,420
1528378099,461,461
1528379069,453,453
1528380021,446,446
1528380977,447,447
1528381952,412,412
1528382889,432,432
1528384109,405,405
1528385068,473,473
1528386010,457,457
1528386984,479,479
1528387940,479,479
1528388896,476,476
1528389868,476,476
1528390820,467,467
1528391782,482,482
1528392746,467,467
1528393700,439,439
1528394659,390,390
1528395618,368,368
1528396581,475,475
1528397545,473,473
1528398501,480,480
1528399476,477,477
1528400408,471,471
1528401368,477,477
1528402350,477,477
1528403298,470,470
1528404260,467,467
1528405228,468,468
1528406181,476,476
1528407132,476,476
1528408106,481,481
1528409058,481,481
1528410010,464,464
1528411105,484,484
1528412185,479,479
1528413130,480,480
1528414113,486,486
1528415076,479,479
1528416035,467,467
1528416986,479,479
1528417937,450,450
1528418889,478,478
1528419870,474,474
1528420823,479,479
1528421772,490,490
1528422751,483,483
1528423692,461,461
1528424660,462,462
1528425631,471,471
1528426833,475,475
1528427802,461,461
1528428737,439,439
1528429691,458,458
1528430663,466,466
1528431628,481,481
1528432583,468,468
1528433539,487,487
1528434506,474,474
1528435470,482,482
1528436433,440,440
1528437380,478,478
1528438364,480,480
1528439541,470,470
1528440489,461,461
1528441458,465,465
1528442416,473,473
1528443394,463,463
1528444467,480,480
1528445557,480,480
1528446561,451,451
1528447703,481,481
1528448653,478,478
1528449612,474,474
1528450586,474,474
1528451817,487,487
1528452746,488,488
1528453697,483,483
1528454664,475,475
1528455635,465,465
1528456578,482,482
1528457534,461,461
1528458501,437,437
1528459467,474,474
1528460422,466,466
1528461394,465,465
1528462370,481,481
1528463305,482,482
1528464253,480,480
1528465491,485,485
1528466416,398,398
1528467395,471,471
1528469565,433,433
1528470497,481,481
1528471461,417,417
1528472428,477,477
1528473373,473,473
1528474341,473,473
1528475311,477,477
1528476268,475,475
1528477241,456,456
1528478176,482,482
1528479150,479,479
1528480139,472,472
1528481069,473,473
1528482022,435,435
1528482991,477,477
1528483964,434,434
1528484910,468,468
1528485856,477,477
1528486869,466,466
1528487866,473,473
1528488982,475,475
1528489929,475,475
1528490887,470,470
1528492115,467,467
1528493062,471,471
1528494017,465,465
1528494986,475,475
1528495940,474,474
1528497504,477,477
1528498495,479,479
1528499555,378,378
1528500502,476,476
1528501482,479,479
1528502425,474,474
1528503370,475,475
1528504351,477,477
1528505293,472,472
1528506262,430,430
1528507227,479,479
1528508183,399,399
1528509150,478,478
1528510114,484,484
1528511058,484,484
1528512013,478,478
1528512986,481,481
1528513937,478,478
1528514900,472,472
1528515883,469,469
1528516820,480,480
1528517779,381,381
1528518750,473,473
1528519697,482,482
1528520670,475,475
1528521631,475,475
1528522574,471,471
1528523533,464,464
1528524517,477,477
1528525466,417,417
1528526413,474,474
1528527390,476,476
1528528339,479,479
1528529291,448,448
1528530286,477,477
1528531236,444,444
1528532174,483,483
1528533156,479,479
1528534093,469,469
1528535062,470,470
1528536014,368,368
1528536995,479,479
1528537958,453,453
1528538897,466,466
1528539872,468,468
1528540816,472,472
1528541788,406,406
1528542747,458,458
1528543700,459,459
1528544675,463,463
1528545643,443,443
1528546587,457,457
1528547559,438,438
1528548499,469,469
1528549480,379,379
1528550414,453,453
1528551379,465,465
1528552369,438,438
1528553297,476,476
1528554271,451,451
1528555217,440,440
1528556188,483,483
1528557141,457,457
1528558093,441,441
1528559086,443,443
1528560034,438,438
1528560972,388,388
1528561953,441,441
1528562895,449,449
1528563866,449,449
1528564821,449,449
1528565793,418,418
1528566994,382,382
1528567946,460,460
1528568894,460,460
1528569878,482,482
1528570820,435,435
1528571790,444,444
1528572733,460,460
1528573702,417,417
