DateTime,AddedIPs,RemovedIPs
1527071525,73,67
1527075844,93,64
1527079684,74,84
1527083524,69,70
1527089522,136,114
1527093363,93,75
1527097442,86,85
1527101282,0,6
1527103203,102,76
1527105123,73,84
1527107043,77,92
1527112814,79,86
1527114723,71,131
1527118803,91,110
1527122643,70,77
1527126484,80,76
1527130563,68,92
1527135365,89,110
1527137282,91,91
1527141123,101,75
1527144964,61,78
1527149042,149,101
1527154804,48,54
1527156723,72,111
1527162482,100,61
1527166323,87,64
1527172084,86,75
1527174014,79,73
1527175924,91,73
1527179763,67,77
1527183604,92,61
1527187683,89,75
1527191522,76,77
1527195363,74,90
1527197284,74,103
1527201124,62,94
1527205204,94,114
1527209043,67,100
1527212883,70,76
1527216723,84,95
1527220563,84,91
1527224412,88,93
1527226323,102,70
1527230162,70,56
1527234003,72,65
1527237843,67,58
1527241683,59,74
1527245523,62,62
1527249364,80,53
1527253443,68,69
1527255364,68,74
1527259202,67,63
1527263282,69,75
1527267364,83,81
1527271214,78,62
1527273124,86,66
1527276963,102,138
1527278883,171,142
1527280802,65,92
1527284643,90,78
1527288483,0,0
1527291850,124,189
1527294006,0,0
1527296414,78,84
1527298565,88,70
1527301444,0,0
1527303845,72,88
1527306246,84,93
1527308885,0,0
1527311767,71,103
1527314885,85,60
1527317044,58,59
1527318965,0,0
1527321365,99,60
1527323524,72,59
1527325925,0,0
1527327846,0,0
1527330485,73,55
1527332647,63,54
1527335045,69,76
1527337464,0,0
1527339845,106,105
1527342005,0,0
1527344167,0,0
1527347044,76,63
1527348967,80,75
1527351367,0,0
1527353286,71,71
1527355930,54,48
1527358565,0,0
1527360484,79,66
1527363126,75,79
1527365765,113,122
1527368648,145,166
1527371764,0,0
1527374406,58,85
1527377765,90,74
1527380406,0,0
1527383045,49,73
1527386164,63,59
1527388564,74,87
1527391207,0,0
1527393365,75,92
1527395527,63,89
1527397445,0,0
1527399606,78,63
1527403445,56,34
1527407282,53,47
1527411122,60,50
1527414964,71,53
1527418818,72,63
1527420722,62,67
1527424562,62,59
1527426482,78,57
1527430322,57,66
1527432244,66,57
1527434162,57,66
1527436082,69,67
1527439922,77,68
1527443763,82,66
1527447612,78,71
1527449522,58,71
1527453362,75,79
1527457202,67,76
1527461765,62,99
1527463683,87,101
1527467522,52,79
1527471603,62,62
1527473523,239,161
1527475443,198,289
1527479282,97,102
1527483123,66,87
1527487213,101,72
1527489124,76,52
1527492963,59,57
1527494882,75,67
1527500642,61,69
1527504482,70,63
1527508325,80,53
1527510243,53,80
1527512162,122,86
1527514083,64,73
1527516009,116,109
1527517922,59,65
1527519842,0,6
1527521762,102,63
1527527523,90,75
1527529442,77,81
1527533282,76,83
1527537123,73,80
1527539043,82,89
1527543602,73,102
1527547442,56,104
1527551281,89,95
1527555123,54,72
1527557043,72,54
1527558963,116,124
1527562807,71,83
1527566643,89,98
1527570482,71,81
1527572402,95,71
1527576243,76,66
1527580082,70,68
1527583922,69,51
1527585841,45,67
1527593522,109,94
1527597363,81,60
1527601202,76,62
1527605043,68,70
1527606962,81,68
1527610802,87,78
1527615363,70,84
1527617282,84,81
1527623043,107,61
1527624962,8,0
1527626882,64,76
1527630722,63,95
1527634563,63,99
1527640322,133,161
1527644163,87,70
1527646082,68,99
1527651843,96,100
1527655682,74,82
1527659522,90,79
1527665282,77,76
1527667210,69,55
1527669123,67,66
1527672963,74,51
1527676803,69,60
1527680883,69,93
1527684722,93,73
1527690481,76,60
1527692412,67,63
1527694322,90,67
1527698162,82,79
1527702243,80,86
1527706082,86,69
1527711843,77,76
1527713764,78,81
1527717614,69,81
1527719522,71,108
1527723603,92,89
1527727443,53,99
1527729363,68,88
1527731283,88,68
1527733203,68,88
1527735121,73,77
1527738963,92,104
1527742811,75,72
1527744722,98,79
1527746643,75,68
1527752403,74,78
1527756242,70,61
1527760082,64,62
1527762002,52,46
1527767764,82,55
1527771613,74,74
1527775444,78,56
1527779283,70,66
1527783123,132,131
1527790802,87,85
1527792722,116,126
1527794643,196,169
1527796563,75,73
1527800643,80,79
1527802562,70,91
1527806404,68,115
1527808324,142,107
1527812163,65,76
1527817923,119,75
1527822722,76,92
1527824642,81,90
1527828482,69,84
1527832322,100,78
1527836164,68,53
1527840017,82,54
1527841924,67,76
1527843844,70,73
1527849603,68,55
1527851523,112,113
1527853442,145,141
1527857282,64,64
1527861123,84,70
1527863044,76,66
1527868811,83,66
1527870724,78,76
1527874803,76,72
1527876722,73,79
1527878642,124,122
1527880562,122,124
1527882482,84,70
1527886322,73,86
1527890163,66,83
1527892083,57,93
1527896404,91,85
1527900242,58,81
1527904082,81,64
1527907923,70,92
1527911763,84,99
1527914887,66,88
1527917050,0,0
1527919217,0,274
1527923767,280,49
1527926417,69,69
1527929050,0,0
1527931207,70,58
1527933615,82,69
1527935766,74,54
1527938408,0,0
1527940815,82,72
1527943207,68,55
1527945368,0,0
1527947526,84,72
1527949449,0,0
1527951847,66,65
1527954245,69,65
1527956885,0,0
1527959047,64,81
1527961685,64,60
