DateTime,Entries,UniqueIPs
1528364683,19029,19643
1528365149,19016,19630
1528365640,19010,19626
1528366105,19018,19637
1528366581,19052,19672
1528367053,19034,19654
1528367543,19207,19836
1528368037,19216,19845
1528368490,19181,19813
1528368975,19170,19802
1528369464,19199,19832
1528369945,19212,19845
1528370414,19150,19784
1528370903,19144,19779
1528371002,19247,19888
1528371368,19329,19975
1528371868,19338,19984
1528372344,19245,19882
1528372836,19227,19864
1528373299,19345,19987
1528373794,19349,19993
1528374254,19362,20009
1528374746,19580,20231
1528375220,19453,20096
1528375693,19434,20076
1528376175,19507,20151
1528376663,19497,20140
1528377136,19464,20094
1528377626,19467,20097
1528378099,19486,20124
1528378202,19589,20232
1528378573,19595,20238
1528379069,19539,20175
1528379554,19524,20161
1528380021,19522,20159
1528380498,19531,20168
1528380977,19405,20035
1528381460,19402,20032
1528381952,19471,20105
1528382414,19475,20109
1528382889,19536,20172
1528383649,19543,20179
1528384109,19483,20101
1528384571,19473,20091
1528385068,19495,20125
1528385553,19567,20199
1528386010,19577,20208
1528386498,19573,20204
1528386984,19584,20213
1528387460,19579,20208
1528387940,19570,20198
1528388422,19584,20213
1528388896,19548,20171
1528389002,19610,20240
1528389381,19614,20244
1528389868,19625,20247
1528390330,19634,20256
1528390820,19621,20239
1528391312,19636,20254
1528391782,19631,20244
1528392259,19645,20258
1528392746,19714,20329
1528393219,19799,20422
1528393700,19778,20396
1528394181,19783,20401
1528394659,19767,20382
1528395150,19766,20379
1528395618,19835,20452
1528396090,19843,20460
1528396201,19912,20536
1528396581,19939,20559
1528397067,19904,20522
1528397545,19970,20591
1528398027,19987,20608
1528398501,20112,20744
1528398974,20132,20764
1528399476,20221,20861
1528399934,20278,20922
1528400408,20244,20895
1528400914,20203,20857
1528401368,20312,20975
1528401857,20321,20984
1528402350,20396,21061
1528402817,20421,21088
1528403298,20518,21191
1528403402,20661,21339
1528403792,20674,21352
1528404260,20737,21420
1528404735,20764,21447
1528405228,20867,21557
1528405700,20826,21516
1528406181,20824,21509
1528406676,20850,21536
1528407132,20993,21685
1528407614,21012,21704
1528408106,21103,21809
1528408578,21115,21824
1528409058,21250,21964
1528409553,21226,21940
1528410010,21250,21959
1528411105,21395,22109
1528412185,21377,22097
1528412899,21377,22098
1528413130,21476,22198
1528414113,21613,22344
1528414202,21658,22391
1528414820,21661,22395
1528415076,21776,22520
1528416035,21859,22610
1528416730,21862,22613
1528416986,21862,22613
1528417937,19729,20369
1528418664,19734,20375
1528418889,19872,20523
1528419870,19804,20454
1528420566,19809,20459
1528420823,19924,20584
1528421401,19983,20650
1528421772,20080,20758
1528422485,20079,20757
1528422751,19907,20583
