DateTime,AddedIPs,RemovedIPs
1528269613,26,0
1528270578,46,48
1528271550,30,28
1528272500,32,88
1528273457,27,31
1528274412,25,39
1528275381,37,67
1528276349,23,38
1528277297,41,52
1528278273,33,48
1528279223,33,39
1528280172,30,41
1528281146,36,44
1528282097,34,31
1528283068,25,51
1528284010,36,35
1528284988,16,49
1528285941,24,9
1528286911,27,73
1528287864,842,3510
1528288813,22,76
1528289778,37,47
1528290749,29,40
1528291705,26,45
1528292673,28,38
1528293629,28,48
1528294572,16,26
1528295545,22,57
1528296495,28,12
1528297458,21,70
1528298420,21,10
1528299380,25,75
1528300330,27,39
1528301327,39,113
1528302266,28,0
1528303222,27,52
1528304169,41,51
1528305147,29,40
1528306093,26,56
1528306575,58,0
1528307066,30,11
1528308035,23,82
1528309813,27,114
1528313575,22,211
1528318893,5634,191
1528322870,138,865
1528325368,84,157
1528330137,165,295
1528333305,143,169
1528335425,109,92
1528336338,80,45
1528337299,75,51
1528338286,46,23
1528339222,37,77
1528340171,41,37
1528341162,42,46
1528342090,25,34
1528343167,37,45
1528344270,45,32
1528345214,138,171
1528346172,44,29
1528347153,28,107
1528348092,25,0
1528349067,34,20
1528350036,20,27
1528350754,13,50
1528351218,17,32
1528351692,11,43
1528352188,30,6
1528352962,13,55
1528353394,28,33
1528353925,26,2
1528354352,15,4
1528355059,19,31
1528355301,20,18
1528356012,12,16
1528356272,28,9
1528356967,16,30
1528357223,7,13
1528357936,15,5
1528358176,15,22
1528358896,14,15
1528359392,36,15
1528359858,15,16
1528360345,18,17
1528360823,22,21
1528361290,21,8
1528361774,27,51
1528362275,28,10
1528362736,11,42
1528363216,11,8
1528363700,13,43
1528364195,16,25
1528364683,12,16
1528365149,11,17
1528365640,16,33
1528366105,25,22
1528366581,28,0
1528367053,10,21
1528367543,12,20
1528368037,24,19
1528368490,16,49
1528368975,4,20
1528369464,17,24
1528369945,24,12
1528370414,14,34
1528370903,14,21
1528371368,12,30
1528371868,22,7
1528372344,12,44
1528372836,9,25
1528373299,23,34
1528373794,901,2768
1528374254,13,14
1528374746,10,23
1528375220,4,28
1528375693,5,21
1528376175,13,31
1528376663,20,23
1528377136,10,29
1528377626,21,38
1528378099,14,41
1528378573,14,0
1528379069,10,0
1528379554,6,20
1528380021,12,25
1528380498,21,17
1528380977,8,26
1528381460,14,32
1528381952,23,8
1528382414,12,20
1528382889,9,39
1528383649,21,16
1528384109,8,53
1528384571,6,29
1528385068,14,35
1528385553,7,39
1528386010,17,0
1528386498,15,13
1528386984,17,48
1528387460,7,27
1528387940,19,0
1528388422,32,7
1528388896,9,34
1528389381,19,35
1528389868,12,69
1528390330,15,35
1528390820,18,0
1528391312,28,36
1528391782,18,35
1528392259,22,18
1528392746,8,19
1528393219,85,14
1528393700,5,45
1528394181,13,31
1528394659,16,34
1528395150,18,35
1528395618,8,40
1528396090,9,27
1528396581,21,54
1528397067,15,26
1528397545,11,17
1528398027,17,22
1528398501,22,41
1528398974,20,16
1528399476,11,29
1528399934,12,27
1528400408,27,46
1528400914,9,0
1528401368,28,43
1528401857,9,20
1528402350,15,17
1528402817,21,35
1528403298,14,26
1528403792,13,28
1528404260,12,24
1528404735,26,21
1528405228,24,41
1528405700,23,52
1528406181,21,31
1528406676,20,42
1528407132,11,43
1528407614,19,0
1528408106,21,25
1528408578,33,5
1528409058,29,491
1528409553,27,56
1528410010,23,40
1528411105,54,0
1528412185,44,139
1528413130,38,0
1528414113,38,88
1528415076,43,0
1528416035,46,72
1528416986,56,45
1528417937,39,62
1528418889,55,39
1528419870,46,69
1528420823,46,43
1528421772,39,61
1528422751,44,52
1528423692,53,112
1528424660,27,13
1528425631,38,106
1528426833,33,57
1528427802,25,54
1528428737,36,55
1528429691,54,54
1528430663,44,59
1528431628,107,150
1528432583,31,78
1528433539,19,45
1528434506,24,47
1528435470,35,32
1528436433,31,71
1528437380,40,53
1528438364,22,87
1528439541,24,52
1528440489,24,58
1528441458,49,28
1528442416,36,95
1528443394,21,41
1528444467,30,49
1528445557,49,29
1528446561,34,59
1528447703,31,76
1528448653,30,44
1528449612,36,17
1528450586,28,59
1528451817,33,47
1528452746,25,37
1528453697,26,33
1528454664,40,42
1528455635,31,54
1528456578,22,24
1528457534,24,69
1528458501,32,71
1528459467,29,0
1528460422,775,2054
1528461394,26,41
1528462370,27,20
1528463305,28,29
1528464253,23,41
1528465491,33,32
1528466416,19,41
1528467395,24,27
1528469565,34,83
1528470497,22,35
1528471461,37,28
1528472428,33,27
1528473373,26,26
1528474341,20,32
1528475311,20,21
1528476268,21,31
1528477241,21,37
1528478176,91,24
1528479150,34,41
1528480139,15,19
1528481069,24,33
1528482022,19,18
1528482991,28,23
1528483964,33,20
1528484910,28,25
1528485856,29,29
1528486869,30,27
1528487866,19,32
1528488982,33,27
1528489929,24,33
1528490887,15,30
1528492115,39,25
1528493062,22,35
1528494017,27,37
1528494986,19,33
1528495940,14,551
1528497504,39,27
1528498495,45,24
1528499555,36,54
1528500502,24,14
1528501482,35,38
1528502425,30,23
1528503370,39,36
1528504351,50,38
1528505293,33,33
1528506262,50,34
1528507227,34,17
1528508183,29,35
1528509150,30,27
1528510114,42,26
1528511058,18,0
1528512013,35,19
1528512986,23,45
1528513937,42,0
1528514900,14,13
1528515883,30,31
1528516820,12,17
1528517779,97,85
1528518750,22,22
1528519697,28,19
1528520670,25,19
1528521631,30,14
1528522574,24,28
1528523533,21,24
1528524517,32,34
1528525466,23,10
1528526413,21,28
1528527390,37,13
1528528339,30,27
1528529291,29,14
1528530286,21,25
1528531236,20,23
1528532174,11,14
1528533156,23,17
1528534093,20,9
1528535062,34,14
1528536014,38,11
1528536995,61,17
1528537958,30,14
1528538897,43,19
1528539872,34,18
1528540816,48,14
1528541788,35,20
1528542747,42,0
1528543700,28,46
1528544675,30,27
1528545643,21,0
1528546587,876,1506
1528547559,19,15
1528548499,18,9
1528549480,13,13
1528550414,17,6
1528551379,20,12
1528552369,22,20
1528553297,18,24
1528554271,26,17
1528555217,24,26
1528556188,20,27
1528557141,29,19
1528558093,9,11
1528559086,20,23
1528560034,22,17
1528560972,12,28
1528561953,26,9
1528562895,15,21
1528563370,35,0
1528563866,15,15
1528564821,24,16
1528565793,25,0
1528566994,23,40
1528567221,16,0
1528567946,23,3
1528568894,20,6
1528569878,27,8
1528570820,22,26
1528571790,22,71
1528572733,26,72
1528573702,21,59
1528574658,26,46
1528575618,17,45
1528576581,24,84
1528577550,14,93
1528578502,22,71
1528579487,18,89
1528580415,21,72
1528581370,19,575
1528582358,20,206
1528582820,27,0
1528583299,12,245
1528584392,23,101
1528586454,46,115
1528587381,26,152
1528588340,30,97
1528589316,37,125
1528590288,70,66
1528591212,57,124
1528592188,47,188
1528593172,38,196
1528594105,45,264
1528595077,29,179
1528596024,64,132
1528596974,53,125
1528597956,31,111
1528598900,24,0
1528599862,36,258
1528600811,29,202
1528601821,42,285
1528602747,22,0
1528603708,45,221
1528604655,296,53
1528605648,22,159
1528606572,25,114
1528607554,28,119
1528608501,18,100
1528609471,23,81
1528610422,37,78
1528611381,25,117
1528612355,36,103
1528613300,30,55
1528614271,42,57
1528615214,38,54
1528616187,12,63
1528617138,35,76
1528618106,43,78
1528619068,35,39
1528620014,34,55
1528620987,42,98
1528621950,33,55
1528622901,30,55
1528623875,26,20
1528624842,50,74
1528625777,35,28
1528626748,40,42
1528627699,21,98
1528628663,25,88
1528629614,20,44
1528630598,25,83
1528631532,24,48
1528632510,42,66
1528633465,589,1890
1528634416,15,53
1528635380,39,75
1528636604,26,25
1528637536,32,63
1528638537,28,56
1528639466,27,88
1528640420,35,70
1528641393,24,69
1528642346,24,58
1528643294,30,50
1528644300,26,94
1528645215,21,38
1528646175,30,120
1528647155,29,112
1528648093,35,190
1528649075,16,77
1528650032,30,197
1528650973,16,122
1528651959,53,196
1528652412,50,0
1528652898,17,102
1528653884,29,112
1528654816,30,115
1528655799,20,98
1528656733,31,53
1528657700,28,60
1528658680,30,61
1528659632,27,38
1528660573,31,89
1528661574,27,45
1528662500,26,79
1528663472,22,50
1528664421,39,100
1528666876,44,149
1528667767,41,0
1528668014,32,56
1528668989,24,544
1528669943,34,164
1528670911,22,55
1528671859,31,28
1528672835,20,153
1528673774,19,0
1528674743,16,169
1528675711,25,45
1528676666,39,80
1528677625,22,137
1528678588,33,0
1528679535,29,72
1528680511,27,98
1528681464,25,64
1528682451,33,80
1528683373,23,91
1528684363,32,103
1528685303,40,45
1528686288,50,78
1528687230,30,67
1528688189,38,99
1528689150,19,24
1528690103,36,111
1528691061,108,77
1528692026,22,86
1528692987,14,35
1528693942,36,79
1528694893,35,35
1528695885,35,66
1528696830,41,35
1528697779,38,81
1528698757,28,62
1528699697,17,41
1528700656,27,82
1528701662,31,39
1528702572,21,50
1528703570,26,77
1528704494,66,77
1528705481,62,16
1528706665,50,142
1528707628,44,0
1528708590,11,61
1528709538,35,64
1528710499,27,39
1528711480,35,74
1528712415,21,24
