DateTime,AddedIPs,RemovedIPs
1528359122,8,0
1528359722,12,0
1528360323,78,0
1528360921,4,0
1528362193,3,2
1528363322,2,1
1528364164,51,43
1528364521,3,1
1528365122,1,0
1528365788,1,3
1528366321,6,1
1528367522,1,0
1528368004,64,43
1528368122,1,0
1528369328,2,2
1528369921,1,0
1528370522,2,0
1528371843,65,114
1528372988,1,0
1528373762,78,0
1528374123,2,0
1528374722,4,0
1528375321,1,0
1528376528,0,2
1528377721,1,0
1528378922,2,0
1528379522,56,22
1528380188,0,2
1528381443,53,91
1528381922,9,0
1528382522,6,0
1528383121,19,0
1528383789,0,1
1528384922,1,0
1528385524,52,47
1528386122,2,0
1528387388,1,0
1528388522,3,0
1528389036,2,0
1528389362,68,16
1528389722,8,0
1528390322,3,0
1528391283,1,107
1528391522,4,0
1528392121,2,0
1528392723,3,0
1528393203,73,0
1528394521,25,0
1528394588,1,5
1528395722,13,0
1528397043,72,63
1528398122,5,0
1528398190,0,2
1528398963,77,66
1528399322,2,0
1528400522,3,0
1528401121,1,0
1528401789,1,2
1528402922,2,0
1528403521,1,0
1528403581,1,1
1528404122,3,0
1528404722,63,134
1528405389,1,2
1528405922,1,0
1528406643,68,0
1528407721,7,0
1528408921,8,0
1528409522,11,0
1528411322,10,0
1528411922,3,0
1528412424,59,19
1528412522,9,0
1528413122,3,0
1528413722,2,0
1528414322,74,131
1528414922,10,0
1528416122,1,0
1528416197,0,1
1528417322,2,0
1528418164,47,74
1528418521,2,0
1528419488,0,1
1528420321,1,0
1528420922,8,0
1528421522,12,0
1528422004,0,89
1528422122,5,0
1528422721,9,0
1528423321,5,0
1528423389,2,0
1528423922,65,0
1528424522,3,0
1528425844,56,10
1528426322,4,0
1528426923,4,1
1528426929,0,1
1528427522,15,0
1528427763,0,153
1528428122,1,0
1528428722,2,0
1528429322,14,0
1528430590,3,0
1528431122,5,0
1528431603,155,98
1528432322,7,0
1528432921,1,0
1528434122,3,0
1528434195,0,2
1528434722,2,0
1528435443,17,78
1528435921,1,0
1528436522,4,0
1528437721,1,0
1528437789,0,3
1528438922,1,0
1528439522,126,0
1528440721,10,0
1528441443,4,99
1528442522,2,0
1528443121,3,0
1528443362,71,0
1528444922,3,0
1528445282,51,46
1528446122,3,0
1528446781,6,0
1528447321,4,0
1528447921,25,1
1528448522,15,0
1528448590,0,1
1528451285,51,56
1528452129,5,2
1528453204,0,47
1528453322,32,0
1528454522,8,0
1528455122,65,0
1528455789,7,2
1528457043,2,44
1528458121,5,0
1528458963,56,0
1528459322,4,0
1528459921,0,1
1528461722,1,0
1528462818,49,41
1528462993,5,0
1528463522,4,0
1528464121,10,0
1528464722,69,45
1528465322,6,1
1528466589,1,2
1528467122,4,0
1528469525,67,50
1528470121,9,0
1528470190,0,3
