DateTime,Entries,UniqueIPs
1527552302,6720,641641104
1527553205,6703,641641086
1527553502,6704,641641342
1527557046,6728,641641367
1527558309,6727,641641366
1527560107,6730,641641369
1527563702,6716,641641355
1527567320,6712,641641352
1527571202,6690,641641327
1527572731,6689,641641071
1527574502,6700,641641084
1527575019,6701,641641340
1527575702,6701,641641340
1527578402,6711,641641350
1527579302,6712,641641351
1527582003,6706,641641346
1527582302,6705,641641090
1527585842,6703,641641088
1527588902,6691,641641075
1527593021,6692,641641075
1527594303,6693,641641076
1527596121,6689,641641072
1527598805,6678,641624176
1527599702,6682,641624180
1527603307,6683,641624181
1527603602,6685,641624183
1527604501,6688,641624184
1527607429,6679,641624175
1527610808,6702,641624199
1527615365,6703,641624199
1527617725,6703,641624199
1527618002,6711,641624208
1527621307,6718,641624214
1527625377,6717,641624213
1527628804,6720,641624216
1527632137,6691,641624187
1527635702,6703,641624199
1527639332,6726,641624222
1527642870,6715,641624210
1527646502,6734,641624230
1527649926,6735,641624231
1527650108,6730,641624227
1527654347,6726,641624223
1527657604,6722,641624219
1527659524,6728,641624225
1527660902,6728,641624226
1527663366,6729,641624227
1527664502,6705,641624202
1527668102,6718,641624215
1527668517,6719,641624215
1527671703,6719,641624214
1527675327,6703,641624197
1527679372,6677,641624169
1527680888,6676,641624169
1527682818,6701,641624196
1527685203,6685,641589380
1527686111,6683,641589378
1527686646,6683,641589379
1527687902,6684,641589380
1527690160,6706,641589405
1527692102,6707,641589405
1527693302,6717,641589417
1527697323,6711,641589411
1527699302,6711,641589411
1527700508,6726,641589426
1527704402,6725,641589425
1527704844,6726,641589681
1527708007,6720,641589675
1527710403,6720,641589675
1527711845,6721,641589673
1527714845,6689,641589640
1527717002,6687,641555848
1527718802,6688,641555848
1527722640,6689,641556104
1527724806,6688,641556104
1527726302,6689,641556104
1527726601,6751,641556169
1527729602,6752,641556172
1527732856,6747,641556167
1527736509,6708,641556128
1527740051,6711,641556132
1527743652,6702,641556122
1527746645,6701,641556121
1527747302,6711,641556132
1527751296,6717,641556138
1527752404,6718,641556139
1527754502,6718,641556137
1527754958,6718,641556137
1527758606,6723,641556144
1527761709,6724,641556145
