DateTime,AddedIPs,RemovedIPs
1527670091,37,30
1527672021,33,48
1527673942,23,23
1527675850,33,39
1527677767,214,68
1527680921,39,64
1527682840,33,1973
1527684752,32,32
1527686656,898,0
1527688591,27,31
1527690491,36,47
1527692430,60,81
1527694352,29,30
1527696262,41,21
1527698197,26,20
1527700360,19,26
1527702258,31,30
1527704182,35,33
1527706106,40,2
1527708018,28,57
1527709933,26,70
1527711873,23,46
1527713773,39,37
1527715710,36,45
1527717637,70,100
1527720154,32,35
1527722174,30,26
1527724090,48,35
1527726024,51,30
1527727942,43,32
1527729851,833,0
1527731783,22,27
1527733692,21,44
1527735617,83,76
1527737549,42,29
1527739470,48,20
1527741370,51,19
1527743293,65,26
1527745211,46,30
1527747135,26,31
1527749054,11,1
1527750970,44,55
1527752889,46,69
1527754809,46,43
1527756746,72,36
1527758652,59,41
1527760587,35,49
1527762494,31,48
1527764427,51,61
1527766347,27,36
1527768262,42,1800
1527770171,50,29
1527772093,836,0
1527774028,32,46
1527775936,44,27
1527777777,27,18
1527779767,37,45
1527781703,38,35
1527783615,38,20
1527785793,31,29
1527787953,86,55
1527789865,38,24
1527792024,32,4
1527793954,166,79
1527795854,20,53
1527797771,42,63
1527799702,28,42
1527801616,23,40
1527803531,17,22
1527805466,32,39
1527807385,19,27
1527809803,84,51
1527811698,27,36
1527813613,20,28
1527815537,782,0
1527817469,25,43
1527819379,29,23
1527821312,22,18
1527823211,15,45
1527825156,13,33
1527827055,52,25
1527829002,19,20
1527830895,30,23
1527834756,69,56
1527836659,50,54
1527838587,46,75
1527840510,32,62
1527842436,16,41
1527844341,27,38
1527846267,34,21
1527848173,49,39
1527850099,26,26
1527852025,38,19
1527853932,28,30
1527855858,29,1870
1527857782,47,58
1527859692,1026,0
1527861630,110,50
1527863550,41,27
1527865458,44,54
1527867390,40,47
1527869333,45,53
1527871218,47,55
1527873382,54,72
1527875304,45,44
1527877215,38,30
1527879132,27,2
1527881068,37,37
1527882972,35,48
1527884893,35,56
1527886837,57,142
1527888752,17,36
1527890663,16,32
1527892886,19,21
1527895000,19,36
1527896914,21,24
1527898809,18,35
1527900744,26,49
1527902654,940,0
1527904582,25,18
1527906490,24,25
1527908416,22,75
1527910348,15,43
1527912257,20,50
1527914985,22,52
1527917161,33,70
1527923875,0,106
1527926510,0,0
1527929145,64,75
1527931307,64,66
1527933724,90,67
1527935858,36,21
1527938515,33,35
1527940948,70,1655
1527943307,38,46
1527945472,730,0
1527947627,45,23
1527949543,31,33
1527951944,0,0
1527954346,40,16
1527956975,34,20
1527959106,69,56
1527961735,27,20
1527964144,25,44
1527966542,100,47
1527968942,97,50
1527971100,90,30
1527973271,112,45
1527975413,56,33
1527977831,65,51
