DateTime,AddedIPs,RemovedIPs
1528240502,82,198
1528241402,92,217
1528242302,112,187
1528243202,88,175
1528244101,74,135
1528245001,54,124
1528245902,97,159
1528246802,128,195
1528247701,94,145
1528248602,68,192
1528249502,93,226
1528250402,111,200
1528251301,180,181
1528252201,88,153
1528253101,80,148
1528254001,118,125
1528254901,191,139
1528255802,74,141
1528256701,98,120
1528257601,143,170
1528258501,155,202
1528259401,72,135
1528260302,139,126
1528261201,96,141
1528262101,149,285
1528263002,79,119
1528263901,160,131
1528264801,85,206
1528265701,174,133
1528266601,132,111
1528267502,185,184
1528268401,111,169
1528269301,118,173
1528270202,86,165
1528271102,99,189
1528272001,114,137
1528272901,140,126
1528273802,144,131
1528274702,130,129
1528275601,111,105
1528276502,131,164
1528277401,85,215
1528278302,94,115
1528279202,69,89
1528280101,128,97
1528281002,112,133
1528281902,252,107
1528282801,219,92
1528283701,230,74
1528284602,191,127
1528285501,217,105
1528286402,184,143
1528287302,127,102
1528288202,150,86
1528289101,188,82
1528290002,86,129
1528290902,126,125
1528291801,178,115
1528292702,138,72
1528293601,141,102
1528294502,106,118
1528295402,96,172
1528296301,165,93
1528297202,139,98
1528298101,129,119
1528299001,80,165
1528299902,161,83
1528300802,156,97
1528301702,315,123
1528302601,275,157
1528303502,250,86
1528304402,315,203
1528305301,205,121
1528306201,322,174
1528307101,265,151
1528308001,156,187
1528309803,3749,314
1528313402,1439,571
1528318802,1579,790
1528322402,545,471
1528325102,342,554
1528329602,995,1195
1528333203,1766,1003
1528335002,619,341
1528335902,356,233
1528336802,309,237
1528337702,337,147
1528338603,253,153
1528339502,308,122
1528340401,264,187
1528341302,309,180
1528342202,213,156
1528343102,202,98
1528344002,149,138
1528344902,171,162
1528345802,114,186
1528346703,155,181
1528347602,227,144
1528348501,263,282
1528349402,92,182
1528350302,68,212
1528351202,192,153
1528352102,314,198
1528353002,172,2720
1528353901,237,596
1528354801,249,363
1528355701,191,320
1528356601,260,347
1528357502,201,297
1528358402,193,287
1528359302,168,257
1528360201,199,279
1528361101,236,235
1528362001,180,259
1528362901,183,257
1528363802,399,230
1528364701,234,157
1528365601,238,164
1528366501,302,121
1528367401,86,145
1528368302,109,126
1528369202,74,150
1528370102,72,138
1528371002,79,237
1528371901,82,155
1528372802,97,127
1528373702,91,523
1528374602,284,642
1528375502,219,510
1528376402,68,452
1528377301,65,380
1528378201,56,308
1528379101,56,301
1528380001,66,385
1528380901,77,265
1528381801,95,310
1528382702,63,246
1528383601,56,309
1528384502,63,258
1528385402,72,297
1528386302,65,411
1528387202,58,272
1528388101,43,195
1528389001,74,291
1528389902,57,162
1528390801,85,185
1528391701,72,215
1528392601,45,177
1528393502,60,123
1528394402,44,116
1528395302,62,164
1528396201,62,266
1528397101,68,379
1528398001,79,330
1528398902,82,207
1528399801,54,170
1528400701,57,246
1528401601,90,160
1528402501,80,184
1528403401,57,175
1528404302,54,225
1528405201,72,213
1528406101,70,158
1528407001,45,151
1528407901,64,212
1528408801,41,170
1528409702,84,170
1528410602,42,148
1528411501,57,78
1528412401,58,61
1528413301,202,79
1528414201,52,73
1528415101,55,48
1528416001,47,57
1528416901,54,44
1528417801,51,64
1528418701,45,61
1528419601,66,72
1528420501,56,77
1528421401,74,82
1528422301,52,56
1528423201,71,59
1528424101,55,88
1528425001,110,81
1528425901,78,58
1528426801,55,60
1528427701,58,73
1528428601,76,74
1528429501,59,46
1528430401,66,66
1528431301,73,41
1528432202,111,84
1528433101,62,46
1528434001,115,57
1528434901,70,59
1528435801,101,205
1528436701,93,54
1528437601,72,55
1528438501,85,49
1528439402,163,55
1528440301,83,48
1528441201,64,47
1528442101,66,63
1528443001,61,57
1528443901,71,76
1528444801,69,50
1528445701,118,74
1528446601,72,57
1528447501,108,112
1528448402,88,81
1528449301,61,53
1528450201,80,58
1528451101,85,78
1528452001,79,59
1528452901,70,68
1528453801,59,72
1528454701,66,108
1528455601,78,64
1528456501,58,115
1528457401,71,68
1528458301,42,102
1528459201,86,89
1528460101,72,74
1528461001,70,82
1528461902,62,158
1528462801,62,86
1528463701,55,65
1528464601,80,61
1528465501,76,62
1528466401,48,70
1528467301,49,66
1528469101,120,187
1528470001,46,104
1528470901,64,89
1528471801,47,60
1528472701,76,85
1528473601,44,82
