DateTime,Entries,UniqueIPs
1528240502,6683,6683
1528241402,6558,6558
1528242302,6483,6483
1528243202,6396,6396
1528244101,6335,6335
1528245001,6265,6265
1528245902,6203,6203
1528246802,6136,6136
1528247701,6085,6085
1528248602,5961,5961
1528249502,5828,5828
1528250402,5739,5739
1528251301,5738,5738
1528252201,5673,5673
1528253101,5605,5605
1528254001,5598,5598
1528254901,5650,5650
1528255802,5583,5583
1528256701,5561,5561
1528257601,5534,5534
1528258501,5487,5487
1528259401,5424,5424
1528260302,5437,5437
1528261201,5392,5392
1528262101,5256,5256
1528263002,5216,5216
1528263901,5245,5245
1528264801,5124,5124
1528265701,5165,5165
1528266601,5186,5186
1528267502,5187,5187
1528268401,5129,5129
1528269301,5074,5074
1528270202,4995,4995
1528271102,4905,4905
1528272001,4882,4882
1528272901,4896,4896
1528273802,4909,4909
1528274702,4910,4910
1528275601,4916,4916
1528276502,4883,4883
1528277401,4753,4753
1528278302,4732,4732
1528279202,4712,4712
1528280101,4743,4743
1528281002,4722,4722
1528281902,4867,4867
1528282801,4994,4994
1528283701,5150,5150
1528284602,5214,5214
1528285501,5326,5326
1528286402,5367,5367
1528287302,5392,5392
1528288202,5456,5456
1528289101,5562,5562
1528290002,5519,5519
1528290902,5520,5520
1528291801,5583,5583
1528292702,5649,5649
1528293601,5688,5688
1528294502,5676,5676
1528295402,5600,5600
1528296301,5672,5672
1528297202,5713,5713
1528298101,5723,5723
1528299001,5638,5638
1528299902,5716,5716
1528300802,5775,5775
1528301702,5967,5967
1528302601,6085,6085
1528303502,6249,6249
1528304402,6361,6361
1528305301,6445,6445
1528306201,6593,6593
1528307101,6707,6707
1528308001,6676,6676
1528309803,10111,10111
1528313402,10979,10979
1528318802,11768,11768
1528322402,11842,11842
1528325102,11630,11630
1528329602,11430,11430
1528333203,12193,12193
1528335002,12471,12471
1528335902,12594,12594
1528336802,12666,12666
1528337702,12856,12856
1528338603,12956,12956
1528339502,13142,13142
1528340401,13219,13219
1528341302,13348,13348
1528342202,13405,13405
1528343102,13509,13509
1528344002,13520,13520
1528344902,13529,13529
1528345802,13457,13457
1528346703,13431,13431
1528347602,13514,13514
1528348501,13495,13495
1528349402,13405,13405
1528350302,13261,13261
1528351202,13300,13300
1528352102,13416,13416
1528353002,10868,10868
1528353901,10509,10509
1528354801,10395,10395
1528355701,10266,10266
1528356601,10179,10179
1528357502,10083,10083
1528358402,9989,9989
1528359302,9900,9900
1528360201,9820,9820
1528361101,9821,9821
1528362001,9742,9742
1528362901,9668,9668
1528363802,9837,9837
1528364701,9914,9914
1528365601,9988,9988
1528366501,10169,10169
1528367401,10110,10110
1528368302,10093,10093
1528369202,10017,10017
1528370102,9951,9951
1528371002,9793,9793
1528371901,9720,9720
1528372802,9690,9690
1528373702,9258,9258
1528374602,8900,8900
1528375502,8609,8609
1528376402,8225,8225
1528377301,7910,7910
1528378201,7658,7658
1528379101,7413,7413
1528380001,7094,7094
1528380901,6906,6906
1528381801,6691,6691
1528382702,6508,6508
1528383601,6255,6255
1528384502,6060,6060
1528385402,5835,5835
1528386302,5489,5489
1528387202,5275,5275
1528388101,5123,5123
1528389001,4906,4906
1528389902,4801,4801
1528390801,4701,4701
1528391701,4558,4558
1528392601,4426,4426
1528393502,4363,4363
1528394402,4291,4291
1528395302,4189,4189
1528396201,3985,3985
1528397101,3674,3674
1528398001,3423,3423
1528398902,3298,3298
1528399801,3182,3182
1528400701,2993,2993
1528401601,2923,2923
1528402501,2819,2819
1528403401,2701,2701
1528404302,2530,2530
1528405201,2389,2389
1528406101,2301,2301
1528407001,2195,2195
1528407901,2047,2047
1528408801,1918,1918
1528409702,1832,1832
1528410602,1726,1726
1528411501,1705,1705
1528412401,1702,1702
1528413301,1825,1825
1528414201,1804,1804
1528415101,1811,1811
1528416001,1801,1801
1528416901,1811,1811
1528417801,1798,1798
1528418701,1782,1782
1528419601,1776,1776
1528420501,1755,1755
1528421401,1747,1747
1528422301,1743,1743
1528423201,1755,1755
1528424101,1722,1722
1528425001,1751,1751
1528425901,1771,1771
1528426801,1766,1766
1528427701,1751,1751
1528428601,1753,1753
1528429501,1766,1766
1528430401,1766,1766
1528431301,1798,1798
1528432202,1825,1825
1528433101,1841,1841
1528434001,1899,1899
1528434901,1910,1910
1528435801,1806,1806
1528436701,1845,1845
1528437601,1862,1862
1528438501,1898,1898
1528439402,2006,2006
1528440301,2041,2041
1528441201,2058,2058
1528442101,2061,2061
1528443001,2065,2065
1528443901,2060,2060
1528444801,2079,2079
1528445701,2123,2123
1528446601,2138,2138
1528447501,2134,2134
1528448402,2141,2141
1528449301,2149,2149
1528450201,2171,2171
1528451101,2178,2178
1528452001,2198,2198
1528452901,2200,2200
1528453801,2187,2187
1528454701,2145,2145
1528455601,2159,2159
1528456501,2102,2102
1528457401,2105,2105
1528458301,2045,2045
1528459201,2042,2042
1528460101,2040,2040
1528461001,2028,2028
1528461902,1932,1932
1528462801,1908,1908
1528463701,1898,1898
1528464601,1917,1917
1528465501,1931,1931
1528466401,1909,1909
1528467301,1892,1892
1528469101,1825,1825
1528470001,1767,1767
1528470901,1742,1742
1528471801,1729,1729
1528472701,1720,1720
1528473601,1682,1682
1528474501,1669,1669
1528475401,1639,1639
1528476302,1650,1650
1528477201,1641,1641
1528478101,1617,1617
1528479001,1617,1617
1528479901,1607,1607
1528480801,1616,1616
1528481701,1583,1583
1528482601,1585,1585
1528483501,1576,1576
1528484401,1582,1582
1528485301,1596,1596
1528486201,1595,1595
1528487101,1575,1575
1528488001,1557,1557
1528488901,2859,2859
1528489801,3708,3708
1528490701,4337,4337
1528491601,4900,4900
1528492501,5304,5304
1528493402,5373,5373
1528494301,5433,5433
1528495202,5477,5477
1528496101,5550,5550
1528497002,5615,5615
1528497901,5680,5680
1528498801,5891,5891
1528499701,5974,5974
1528500601,6057,6057
1528501501,6160,6160
1528502401,6256,6256
1528503301,6378,6378
1528504201,6455,6455
1528505101,6510,6510
1528506001,6558,6558
1528506901,6608,6608
1528507801,6662,6662
1528508702,6740,6740
1528509601,6816,6816
1528510501,6880,6880
1528511401,6931,6931
1528512301,7007,7007
1528513201,7079,7079
1528514102,7204,7204
1528515002,7283,7283
1528515902,7364,7364
1528516801,7469,7469
1528517702,7521,7521
1528518602,7595,7595
1528519501,7671,7671
1528520402,7791,7791
1528521302,7910,7910
1528522201,8050,8050
1528523101,8180,8180
1528524001,8280,8280
1528524902,8394,8394
1528525801,8472,8472
1528526701,8556,8556
1528527602,8673,8673
1528528502,8763,8763
1528529401,8860,8860
1528530302,8979,8979
1528531202,9134,9134
1528532102,9272,9272
1528533002,8164,8164
1528533902,7416,7416
1528534801,6916,6916
1528535702,6435,6435
1528536602,6169,6169
1528537502,6189,6189
1528538402,6234,6234
1528539301,6223,6223
1528540201,6222,6222
1528541102,6232,6232
1528542001,6341,6341
1528542901,6219,6219
1528543801,6246,6246
1528544701,6239,6239
1528545602,6211,6211
1528546502,6200,6200
1528547402,6183,6183
1528548302,6197,6197
1528549201,6275,6275
1528550102,6246,6246
1528551002,6270,6270
1528551901,6282,6282
1528552801,6275,6275
1528553701,6287,6287
1528554602,6317,6317
1528555501,6344,6344
1528556401,6408,6408
1528557302,6491,6491
1528558201,6489,6489
1528559101,6480,6480
1528560002,6545,6545
1528560901,6590,6590
1528561802,6663,6663
1528562702,6704,6704
1528563602,6776,6776
1528564501,6764,6764
1528565401,6769,6769
1528566302,6757,6757
1528567202,6822,6822
1528568101,6830,6830
1528569001,6769,6769
1528569901,6788,6788
1528570801,6803,6803
1528571701,6788,6788
1528572601,6779,6779
1528573501,6768,6768
1528574401,6726,6726
1528575301,6638,6638
1528576201,6578,6578
1528577101,6490,6490
1528578001,6465,6465
1528578902,6464,6464
1528579802,6442,6442
1528580701,6373,6373
1528581602,6329,6329
1528582502,6289,6289
1528583402,6239,6239
1528584301,6213,6213
1528586101,6040,6040
1528587002,5963,5963
1528587901,5878,5878
1528588802,5809,5809
1528589702,5758,5758
1528590602,5737,5737
1528591502,5706,5706
1528592401,5617,5617
1528593302,5559,5559
1528594202,5626,5626
1528595102,5587,5587
1528596001,5540,5540
1528596901,5528,5528
1528597802,5547,5547
1528598702,5495,5495
1528599601,5447,5447
1528600502,5379,5379
1528601401,5318,5318
1528602301,5280,5280
1528603201,5266,5266
1528604101,5268,5268
1528605001,5259,5259
1528605901,5260,5260
1528606802,5319,5319
1528607701,5294,5294
1528608601,5319,5319
1528609502,5350,5350
1528610401,5451,5451
1528611301,5393,5393
1528612202,5497,5497
1528613102,5585,5585
1528614001,5676,5676
1528614901,5731,5731
1528615801,5802,5802
1528616702,5894,5894
1528617601,5954,5954
1528618501,6031,6031
1528619402,6196,6196
1528620302,6262,6262
1528621202,6367,6367
1528622102,6396,6396
1528623001,6440,6440
1528623901,6465,6465
1528624802,6578,6578
1528625702,6597,6597
1528626602,6572,6572
1528627502,6679,6679
1528628402,6709,6709
1528629302,6743,6743
1528630202,6795,6795
1528631101,6797,6797
1528632002,6852,6852
1528632902,6931,6931
1528633801,6970,6970
1528634702,6944,6944
1528635602,7008,7008
1528636502,7035,7035
1528637403,6993,6993
1528638303,6972,6972
1528639202,7020,7020
1528640102,7154,7154
1528641002,7389,7389
1528641902,7474,7474
1528642802,7554,7554
1528643702,7757,7757
1528644602,8010,8010
1528645502,8212,8212
1528646402,8413,8413
1528647302,8602,8602
1528648202,8843,8843
1528649103,9063,9063
1528650002,9249,9249
1528650902,9388,9388
1528651802,9812,9812
1528652702,9995,9995
1528653602,10145,10145
1528654502,10175,10175
1528655403,10144,10144
1528656302,10109,10109
1528657202,10108,10108
1528658102,9988,9988
1528659002,10028,10028
1528659902,10048,10048
1528660802,10052,10052
1528661702,10008,10008
1528662602,9928,9928
1528663502,9769,9769
1528664402,9695,9695
1528666202,9573,9573
1528667102,9528,9528
1528668002,9479,9479
1528668903,9457,9457
1528669802,9346,9346
1528670702,9230,9230
1528671602,9054,9054
1528672502,8937,8937
1528673402,8852,8852
1528674302,8640,8640
1528675202,8543,8543
1528676101,8456,8456
1528677001,8443,8443
1528677901,8420,8420
1528678801,8446,8446
1528679702,8467,8467
1528680601,8516,8516
1528681501,8534,8534
1528682401,8544,8544
1528683301,8550,8550
1528684201,8528,8528
1528685101,8437,8437
1528686002,8308,8308
1528686902,8238,8238
1528687802,8070,8070
1528688701,7883,7883
1528689601,7852,7852
1528690501,7850,7850
1528691401,7831,7831
1528692302,7769,7769
1528693201,7785,7785
1528694102,7647,7647
1528695001,7557,7557
1528695901,7292,7292
1528696801,7516,7516
1528697701,7654,7654
1528698601,7797,7797
1528699501,7906,7906
1528700402,7950,7950
1528701302,7927,7927
1528702202,8279,8279
1528703101,8517,8517
1528704001,8588,8588
1528704901,8576,8576
1528705801,8600,8600
1528706701,8617,8617
1528707601,8660,8660
1528708501,8766,8766
1528709402,8898,8898
1528710302,8949,8949
1528711202,9032,9032
1528712102,9034,9034
