DateTime,Entries,UniqueIPs
1526505035,2529,2564
1526510435,2529,2564
1526515835,2532,2567
1526521234,2515,2548
1526527235,2508,2541
1526532035,2496,2529
1526538035,2465,2498
1526542835,2435,2467
1526548235,2366,2399
1526554235,2349,2381
1526559035,2326,2358
1526564436,2310,2342
1526570435,2293,2326
1526575245,2241,2274
1526580635,2230,2263
1526586036,2222,2255
1526591436,2210,2243
1526595034,2220,2252
1526600436,2285,2317
1526604636,2292,2325
1526610040,2316,2350
1526615439,2327,2361
1526620838,2354,2388
1526626237,2377,2411
1526631637,2380,2413
1526636435,2410,2444
1526642436,2408,2442
1526647836,2392,2426
1526652635,2396,2429
1526658635,2394,2428
1526664036,2382,2416
1526668836,2375,2408
1526674235,2347,2379
1526679636,2294,2328
1526685035,2314,2348
1526690436,2311,2346
1526696435,2307,2342
1526701835,2296,2329
1526706634,2264,2295
1526712636,2252,2281
1526718035,2237,2266
1526723435,2199,2229
1526728235,2192,2221
1526734236,2231,2260
1526739035,2245,2274
1526745035,2249,2278
1526749835,2277,2307
1526755835,2349,2385
1526760635,2350,2386
1526765437,2400,2436
1526769635,2414,2450
1526775036,2444,2481
1526780437,2450,2487
1526785835,2434,2470
1526791235,2434,2470
1526796635,2430,2466
1526802634,2414,2449
1526808035,2378,2412
1526812836,2355,2389
1526818235,2310,2344
1526823635,2294,2327
1526829035,2306,2339
1526834435,2287,2320
1526839835,2259,2292
1526843433,2288,2321
1526848235,2216,2248
1526852435,2180,2212
1526857837,2225,2259
1526863235,2202,2235
1526868635,2246,2280
1526874036,2256,2289
1526879435,2270,2303
1526884835,2296,2327
1526890837,2341,2370
1526896236,2361,2390
1526901635,2383,2412
1526907036,2421,2449
1526913035,2446,2474
1526917835,2453,2481
1526922636,2463,2491
1526928635,2453,2481
1526933435,2463,2491
1526938836,2465,2494
1526944835,2417,2443
1526950236,2373,2398
1526956235,2366,2391
1526961035,2342,2368
1526966437,2329,2355
1526971235,2311,2338
1526977236,2340,2367
1526982637,2293,2320
1526988037,2312,2339
1526993436,2275,2302
1526998835,2212,2241
1527003636,2229,2258
1527009036,2255,2285
1527014436,2252,2282
1527018033,2274,2304
1527023436,2280,2310
1527027034,2300,2330
1527031836,2284,2315
1527035433,2307,2339
1527039635,2307,2339
1527043835,2321,2353
1527048636,2315,2346
1527054635,2324,2355
1527059454,2310,2341
1527064836,2295,2325
1527068433,2306,2336
1527073835,2285,2315
1527079236,2251,2281
1527082834,2224,2253
1527088235,2212,2241
1527093637,2189,2219
1527097233,2200,2230
1527100835,2179,2210
1527106236,2149,2179
1527111638,2171,2201
1527115234,2151,2181
1527120636,2120,2150
1527124232,2137,2167
1527130235,2127,2158
1527135038,2104,2135
1527139835,2097,2128
1527144036,2122,2153
1527147634,2151,2183
1527153636,2156,2188
1527158435,2179,2211
1527163836,2210,2242
1527169836,2200,2232
1527175235,2214,2247
1527180036,2266,2301
1527183034,2282,2318
1527186636,2341,2378
1527193834,2348,2384
1527197437,2331,2367
1527201034,2331,2366
1527204635,2311,2344
1527208233,2318,2351
1527212436,2280,2312
1527216636,2265,2296
1527221436,2251,2282
1527227435,2222,2253
1527232235,2174,2203
1527238236,2188,2217
1527243036,2171,2200
1527248437,2160,2188
1527253836,2144,2175
1527259836,2127,2157
1527267634,2099,2127
1527271837,2064,2094
1527277236,2087,2118
1527280835,2118,2149
1527283836,2145,2176
1527288036,2151,2181
1527291033,2157,2187
1527291033,2157,2187
1527295236,2170,2201
1527295236,2170,2201
1527298832,2168,2198
1527298832,2168,2198
1527298832,2180,2211
1527298832,2180,2211
1527304835,2180,2211
1527304835,2180,2211
1527304835,2196,2227
1527304835,2196,2227
1527309638,2194,2226
1527309638,2194,2226
1527309638,2194,2226
1527309638,2209,2241
1527315635,2199,2231
1527315635,2199,2231
1527315635,2199,2231
1527315635,2199,2231
1527319836,2232,2264
1527319836,2232,2264
1527319836,2232,2264
1527319836,2266,2298
1527324035,2215,2247
1527324035,2254,2286
1527324035,2254,2286
1527327633,2230,2263
1527327633,2230,2263
1527451836,2212,2246
1527456637,2271,2305
1527460837,2260,2294
1527466236,2274,2307
1527471636,2261,2292
1527477036,2258,2289
1527482437,2239,2270
1527487836,2200,2229
1527493236,2185,2214
1527499236,2165,2194
1527504035,2150,2179
1527510035,2148,2177
1527514236,2135,2164
1527518436,2124,2154
1527523835,2150,2180
1527528637,2120,2150
1527532836,2089,2119
1527538236,2059,2088
1527541835,2081,2114
1527547237,2098,2131
1527552637,2137,2171
