DateTime,AddedIPs,RemovedIPs
1528243322,7,0
1528244521,1,0
1528245722,2,2
1528246322,0,1
1528246922,2,0
1528248122,2,3
1528249321,2,0
1528250522,2,4
1528251121,6,4
1528252922,7,2
1528253522,8,0
1528254122,3,0
1528255322,3,0
1528255922,11,0
1528256522,4,0
1528257121,18,1
1528257721,1,0
1528258322,6,0
1528258921,5,3
1528259521,2,0
1528260121,5,1
1528260723,2,5
1528261321,2,20
1528261922,1,2
1528262522,2,0
1528263721,1,7
1528264322,2,2
1528264921,2,1
1528265522,1,23
1528266122,5,1
1528266721,1,0
1528267322,5,1
1528267922,4,10
1528268522,2,0
1528269121,1,1
1528269722,5,0
1528270922,3,21
1528272122,0,3
1528273323,7,1
1528274521,3,4
1528275722,4,1
1528276321,1,24
1528276921,2,2
1528278121,2,10
1528279321,1,3
1528281122,3,9
1528281722,0,1
1528282322,2,1
1528282922,4,0
1528284121,3,5
1528285322,1,0
1528286522,4,13
1528287722,5,2
1528288921,9,4
1528289521,1,0
1528290122,6,0
1528291322,3,3
1528293722,6,6
1528294321,1,9
1528294923,4,1
1528296121,0,6
1528297321,4,16
1528297921,2,21
1528298522,0,10
1528299121,1,0
1528299721,1,5
1528300922,3,8
1528302123,1,0
1528302721,7,3
1528303322,1,0
1528304522,6,9
1528305122,2,0
1528305722,3,1
1528306322,1,1
1528306922,2,0
1528307522,5,10
1528308122,3,6
1528309322,6,19
1528312922,7,43
1528318322,7,15
1528322521,5,12
1528324922,9,11
1528329721,3,23
1528332721,2,23
1528335121,2,0
1528335721,4,0
1528336922,27,0
1528337522,11,8
1528338121,10,2
1528338722,2,0
1528339922,1,7
1528340521,2,0
1528341721,5,4
1528342321,2,5
1528342922,2,18
1528343521,1,0
1528344121,3,0
1528345322,7,6
1528346521,5,4
1528347721,1,2
1528348922,9,4
1528349521,1,0
1528350122,10,0
1528351321,8,1
1528352522,2,12
1528353122,2,26
1528353723,4,1
1528354322,2,2
1528354921,6,0
1528356121,0,30
1528356721,4,0
1528357321,4,0
1528359122,10,0
1528359722,15,0
1528360322,1,0
1528362122,1,7
1528363322,0,5
1528364521,0,1
1528365722,1,2
1528366321,6,9
1528367522,1,1
1528368122,1,2
1528369322,1,5
1528369921,1,0
1528370522,2,1
1528371122,0,7
1528371721,0,1
1528372322,0,4
1528372922,1,6
1528373522,0,3
1528374123,1,33
1528374722,4,0
1528375321,1,2
1528375921,0,2
1528376522,1,2
1528377721,1,0
1528378922,3,0
1528380122,0,29
1528381321,2,2
1528382522,3,3
1528383121,19,1
1528383722,0,2
1528384922,2,10
1528386122,2,0
1528387321,2,23
1528388522,4,6
1528389722,4,3
1528390322,3,1
1528391522,4,27
1528392121,1,2
1528392723,3,2
1528394521,27,4
1528395722,14,14
1528396922,4,1
1528398122,0,1
1528399322,2,4
1528401121,2,2
1528401721,1,18
1528402321,0,2
1528403521,1,10
1528404122,2,5
1528405321,0,13
1528406521,0,1
1528407122,2,0
1528407721,2,0
1528408921,8,5
1528409522,13,4
1528411322,8,4
1528411922,4,2
1528412522,2,5
1528413722,4,1
1528414922,3,3
1528415522,1,0
1528417322,1,3
1528418521,0,13
1528419724,1,3
1528420321,2,0
1528420922,4,0
1528421522,17,1
1528422122,3,7
1528422721,10,1
1528423321,4,0
1528424522,3,0
1528425722,0,1
1528426322,5,0
1528426923,0,18
1528427522,17,0
1528428122,2,0
1528428722,2,1
1528429322,15,0
1528431122,6,3
1528431722,0,10
1528432322,5,0
1528432921,2,0
1528434122,1,7
1528434722,2,0
1528435322,18,12
1528435921,1,4
1528436522,4,6
1528437721,1,0
1528438323,0,9
1528438922,1,4
1528440122,0,3
1528440721,13,0
1528441321,2,1
1528441921,0,7
1528443121,3,1
1528443721,1,2
1528444922,3,34
1528446122,1,0
1528447921,26,19
1528448522,8,2
1528449721,0,1
1528451521,0,1
1528452122,5,1
1528453322,35,5
1528454522,8,1
1528455122,1,5
1528455721,6,4
1528456921,0,4
1528458121,5,7
1528458722,0,4
1528459322,4,0
1528460521,0,1
1528461722,1,5
1528463522,4,0
1528464121,8,0
1528465322,3,17
1528466522,0,3
1528467122,4,0
1528467721,1,0
1528469521,2,4
1528470121,10,0
1528472522,1,1
1528473121,5,0
1528473721,3,3
1528474921,3,3
1528475521,4,2
1528476121,6,3
1528477321,2,4
1528477922,1,0
1528478521,1,2
1528479721,0,5
1528480922,1,0
1528481521,1,1
1528482122,1,0
1528483322,2,9
1528484522,1,3
1528485121,0,17
1528486921,1,7
1528488122,2,20
1528488721,2,0
1528489322,2,8
1528490522,0,2
1528491123,1,1
1528491721,7,2
1528492321,1,1
1528494122,0,11
1528495322,0,1
1528496521,0,8
1528497721,1,10
1528498322,2,1
1528500122,8,1
1528500722,0,2
1528501323,3,0
1528502521,0,20
1528503121,0,1
1528504922,12,4
1528506122,5,4
1528506722,4,1
1528507321,2,0
1528507921,2,4
1528508522,0,8
1528509122,1,0
1528509721,4,4
1528510323,0,17
1528510921,2,0
1528511522,5,7
1528512122,17,1
1528513322,3,5
1528513921,3,1
1528515121,2,1
1528515721,2,0
1528516922,1,19
1528518122,3,14
1528518722,0,6
1528519322,0,1
1528520522,1,3
1528521721,0,23
1528522321,2,3
1528522922,12,0
1528523522,3,4
1528524122,1,2
1528524722,2,7
1528525322,0,8
1528526521,0,1
