DateTime,AddedIPs,RemovedIPs
1528279321,80,80
1528280521,80,80
1528281122,80,80
1528281722,78,78
1528282322,75,75
1528282922,79,79
1528284121,80,80
1528285322,79,79
1528286522,80,80
1528287722,79,79
1528288921,80,80
1528289521,80,80
1528290122,78,78
1528291322,79,79
1528292521,65,65
1528293722,80,80
1528294321,80,80
1528294923,80,80
1528296121,80,80
1528297321,79,79
1528297921,71,71
1528298522,70,70
1528299121,80,80
1528299721,80,80
1528300922,78,78
1528302123,80,80
1528302721,80,80
1528303322,80,80
1528304522,80,80
1528305122,80,80
1528305722,80,80
1528306322,77,77
1528306922,80,80
1528307522,80,80
1528308122,78,78
1528309322,72,72
1528312922,74,74
1528318322,74,74
1528322521,80,80
1528324922,78,78
1528329721,77,77
1528332721,76,76
1528335121,74,74
1528335721,32,32
1528336922,80,80
1528337522,80,80
1528338121,80,80
1528338722,80,80
1528339321,80,80
1528339922,61,61
1528340521,80,80
1528341721,79,79
1528342321,80,80
1528342922,37,37
1528343521,80,80
1528344121,80,80
1528345322,79,79
1528346521,80,80
1528347721,80,80
1528348922,80,80
1528349521,80,80
1528350122,80,80
1528351321,66,66
1528352522,74,74
1528353122,80,80
1528353723,80,80
1528354322,80,80
1528354921,80,80
1528356121,69,69
1528356721,80,80
1528357321,80,80
1528358522,63,63
1528359122,73,73
1528359722,76,76
1528360322,80,80
1528360921,79,79
1528362122,76,76
1528363322,61,61
1528364521,79,79
1528365722,15,15
1528366321,80,80
1528366921,80,80
1528367522,80,80
1528368122,80,80
1528369322,80,80
1528369921,67,67
1528370522,66,66
1528371122,72,72
1528371721,20,20
1528372322,53,53
1528372922,76,76
1528373522,80,80
1528374123,80,80
1528374722,80,80
1528375321,79,79
1528375921,80,80
1528376522,80,80
1528377122,31,31
1528377721,80,80
1528378322,80,80
1528378922,80,80
1528380122,77,77
1528381321,75,75
1528381922,80,80
1528382522,80,80
1528383121,80,80
1528383722,78,78
1528384922,80,80
1528386122,77,77
1528387321,60,60
1528388522,80,80
1528389722,79,79
1528390322,80,80
1528390921,79,79
1528391522,80,80
1528392121,80,80
1528392723,78,78
1528393322,80,80
1528394521,79,79
1528395722,45,45
1528396922,52,52
1528398122,79,79
1528399322,52,52
1528400522,80,80
1528401121,80,80
1528401721,80,80
1528402321,80,80
1528402922,78,78
1528403521,80,80
1528404122,78,78
1528405321,53,53
1528406521,78,78
1528407122,78,78
1528407721,80,80
1528408921,79,79
1528409522,77,77
1528410122,54,54
1528411322,78,78
1528411922,80,80
1528412522,71,71
1528413722,65,65
1528414922,78,78
1528415522,77,77
1528416122,80,80
1528417322,80,80
1528418521,80,80
1528419724,79,79
1528420321,80,80
1528420922,73,73
1528421522,80,80
1528422122,80,80
1528422721,80,80
1528423321,80,80
1528424522,38,38
1528425722,20,20
1528426322,80,80
1528426923,80,80
1528427522,80,80
1528428122,78,78
1528428722,79,79
1528429322,71,71
1528430522,80,80
1528431122,80,80
1528431722,80,80
1528432322,80,80
1528432921,76,76
1528434122,70,70
1528434722,80,80
1528435322,80,80
1528435921,80,80
1528436522,80,80
1528437121,80,80
1528437721,80,80
1528438323,23,23
1528438922,76,76
1528440122,75,75
1528440721,77,77
1528441321,74,74
1528441921,77,77
1528443121,71,71
1528443721,79,79
1528444922,72,72
1528446122,74,74
1528446721,80,80
1528447321,80,80
1528447921,71,71
1528448522,38,38
1528449721,46,46
1528451521,78,78
1528452122,79,79
1528453322,80,80
1528454522,80,80
1528455122,80,80
1528455721,47,47
1528456921,80,80
1528458121,77,77
1528458722,80,80
1528459322,80,80
1528460521,80,80
1528461722,80,80
1528462922,78,78
1528463522,79,79
1528464121,80,80
1528465322,79,79
1528466522,70,70
1528467122,79,79
1528467721,78,78
1528469521,80,80
1528470121,80,80
1528471323,77,77
1528472522,79,79
1528473121,80,80
1528473721,80,80
1528474921,74,74
1528475521,80,80
1528476121,80,80
1528477321,80,80
1528477922,80,80
1528478521,77,77
1528479721,79,79
1528480922,64,64
1528481521,80,80
1528482122,80,80
1528483322,65,65
1528484522,77,77
1528485121,80,80
1528485721,26,26
1528486921,45,45
1528488122,61,61
1528488721,80,80
1528489322,80,80
1528490522,65,65
1528491123,80,80
1528491721,80,80
1528492321,79,79
