DateTime,AddedIPs,RemovedIPs
1528245721,9,9
1528246922,10,10
1528248122,12,12
1528249321,16,16
1528250522,9,9
1528251723,6,6
1528252321,5,5
1528252922,2,2
1528253522,3,3
1528254122,2,2
1528254723,3,3
1528255322,1,1
1528256522,27,27
1528257121,3,3
1528257721,3,3
1528258921,3,3
1528259521,3,3
1528260121,2,2
1528261321,8,8
1528261922,6,6
1528262522,10,10
1528263121,3,3
1528263721,3,3
1528264921,5,5
1528266122,5,5
1528266721,2,2
1528267322,8,8
1528267922,2,2
1528268522,5,5
1528269121,10,10
1528269722,4,4
1528270922,2,2
1528272122,4,4
1528272722,2,2
1528273323,7,7
1528274521,13,13
1528275722,8,8
1528276321,4,4
1528276921,12,12
1528278121,9,9
1528279321,5,5
1528280521,9,9
1528281722,3,3
1528282922,5,5
1528284121,5,5
1528285322,3,3
1528286522,4,4
1528287722,6,6
1528288921,2,2
1528290122,4,4
1528291322,7,7
1528291921,2,2
1528292521,1,1
1528293722,2,2
1528294321,3,3
1528294923,2,2
1528296121,3,3
1528297321,4,4
1528298522,4,4
1528299721,7,7
1528300921,4,4
1528302123,10,10
1528302721,7,7
1528303322,5,5
1528304522,10,10
1528305122,5,5
1528305722,4,4
1528306322,2,2
1528306922,1,1
1528308122,6,6
1528309321,4,4
1528312922,26,26
1528318322,18,18
1528322521,31,31
1528324922,10,10
1528329721,38,38
1528332721,13,13
1528335121,15,15
1528335721,7,7
1528336322,1,1
1528336922,3,3
1528337522,3,3
1528338121,3,3
1528340521,4,4
1528341721,6,6
1528342922,7,7
1528344121,2,2
1528345322,4,4
1528346521,2,2
1528347721,7,7
1528348922,9,9
1528349521,9,9
1528350122,3,3
1528351321,8,8
1528352522,6,6
1528353122,8,8
1528353723,1,1
1528354322,2,2
1528354921,2,2
1528356121,6,6
1528356721,6,6
1528357321,2,2
1528358522,3,3
1528359122,1,1
1528359722,4,4
1528360322,3,3
1528360921,4,4
1528361522,1,1
1528362122,7,7
1528363322,7,7
1528364521,13,13
1528365122,6,6
1528365722,4,4
1528366921,15,15
1528367522,3,3
1528368122,6,6
1528369322,11,11
1528370522,12,12
1528371721,13,13
1528372922,5,5
1528374123,8,8
1528374722,2,2
1528375321,2,2
1528376522,1,1
1528377122,6,6
1528377721,3,3
1528378322,1,1
1528378922,2,2
1528380121,4,4
1528381321,3,3
1528381922,9,9
1528382521,6,6
1528383722,2,2
1528384922,6,6
1528385522,3,3
1528386122,3,3
1528387321,5,5
1528389722,8,8
1528390921,7,7
1528392121,7,7
1528393321,5,5
1528394521,4,4
1528395721,6,6
1528396322,4,4
1528398122,9,9
1528399321,4,4
1528400521,6,6
1528401121,5,5
1528401721,7,7
