DateTime,AddedIPs,RemovedIPs
1526875202,117,0
1526878802,124,0
1526882402,119,0
1526886002,1656,0
1526889602,1645,0
1526893202,945,0
1526896802,400,0
1526900402,355,0
1526904002,467,0
1526907602,520,0
1526911202,365,0
1526914802,162,0
1526918401,140,0
1526922002,149,0
1526926502,294,0
1526930101,122,0
1526934602,107,1
1526938202,92,0
1526942702,126,0
1526946302,122,0
1526949901,98,2463
1526953501,115,0
1526957102,130,0
1526960702,113,0
1526964302,112,0
1526967902,121,0
1526971501,148,0
1526975101,182,0
1526978702,165,0
1526982302,179,0
1526985902,241,0
1526989502,159,0
1526993102,174,0
1526996702,123,0
1527000302,140,0
1527003901,119,0
1527007502,134,0
1527011101,116,0
1527014702,98,0
1527018301,128,0
1527021902,121,0
1527025502,114,0
1527029101,184,0
1527032702,192,0
1527036301,119,8258
1527039902,123,0
1527043501,138,0
1527047102,211,0
1527050702,249,0
1527054302,134,0
1527057902,133,0
1527061502,141,0
1527065102,217,1
1527068702,295,0
1527072302,125,0
1527075901,144,0
1527079502,254,0
1527083102,241,0
1527086702,139,0
1527090302,136,0
1527093901,86,0
1527097502,85,0
1527101102,126,0
1527104701,110,0
1527108302,103,0
1527111902,100,0
1527115502,111,0
1527119101,84,0
1527122701,100,3517
1527126301,136,0
1527129901,217,0
1527133502,102,0
1527137101,128,0
1527140701,116,0
1527144301,116,0
1527147902,147,0
1527151502,149,0
1527155101,121,0
1527158702,120,0
1527162302,147,0
1527165902,128,0
1527169502,124,0
1527173101,129,0
1527176701,98,0
1527180302,114,0
1527183902,120,0
1527187502,121,1
1527191102,210,0
1527194702,84,0
1527198302,88,0
1527201902,111,0
1527205502,75,0
1527209102,95,3736
1527212702,96,0
1527216302,124,0
1527219902,102,0
1527223501,160,0
1527227101,117,0
1527230702,215,0
1527234301,154,0
1527237902,121,0
1527241502,120,0
1527245101,210,0
1527248702,146,0
1527253202,140,0
1527256802,181,0
1527260402,173,0
1527264002,375,0
1527267602,124,0
1527271202,96,0
1527274801,105,0
1527278402,119,0
1527282001,121,0
1527285602,112,0
1527289202,111,0
1527293702,141,3001
1527298202,221,0
1527301801,254,0
1527305402,107,0
1527309902,134,0
1527314402,170,0
1527318902,191,0
1527323402,207,0
1527327001,114,0
1527330602,108,0
1527334202,140,0
1527337802,123,1
1527341402,139,0
1527345002,102,0
1527348602,116,0
1527353102,102,0
1527356702,81,1
1527360301,87,0
1527364829,72,2452
1527368402,2576,0
1527373229,101,2665
1527377402,2792,0
1527381001,55,3472
1527385501,134,0
1527390002,174,0
1527394502,109,0
1527401701,221,0
1527405302,85,0
1527408902,119,0
1527412502,123,0
1527416102,129,0
1527419702,115,0
1527423302,106,0
1527426901,97,0
1527430502,83,0
1527434102,68,0
1527437702,90,0
1527441302,80,0
1527444902,164,0
1527448502,106,0
1527452102,104,0
1527455702,73,0
1527459302,92,0
1527462902,68,0
1527466502,127,2909
1527470101,104,0
1527473702,111,0
1527477301,113,0
1527480901,79,0
1527484501,109,0
1527488102,231,0
1527491701,120,0
1527495302,164,0
1527498902,209,0
1527502502,148,0
1527506102,195,0
1527509702,367,0
1527513302,136,0
1527516902,209,0
1527520502,207,0
1527524102,122,0
1527527702,105,0
1527531301,82,0
1527534902,79,0
1527538502,109,0
1527542101,81,0
1527545701,108,0
1527549302,93,0
1527552901,82,2234
1527556502,99,0
1527560101,96,0
1527563702,98,0
1527567302,103,0
1527570902,110,0
1527574502,150,0
1527578101,142,0
1527581701,196,0
1527585302,131,0
1527588902,136,0
1527592501,157,0
1527596102,137,0
1527599702,141,0
1527603302,161,0
1527606902,129,0
1527610502,129,0
1527614102,131,0
1527617701,135,0
1527621302,122,0
1527624902,112,0
1527628502,98,0
1527632102,102,0
1527635702,106,0
1527639302,86,3338
1527642901,126,0
1527646502,118,0
1527650102,119,0
1527653702,124,0
1527657301,114,0
1527660902,115,0
1527664501,204,0
1527668101,291,0
1527671702,199,0
1527675301,341,0
1527678902,194,0
1527682502,152,0
1527686101,455,0
1527689702,616,0
1527693302,163,0
1527696901,108,0
1527700501,89,0
1527704102,96,0
1527707702,101,0
1527711302,95,0
1527714902,110,0
1527718502,86,0
1527722101,70,0
1527725701,76,3062
1527729301,156,0
1527732902,96,0
1527736502,90,0
1527740102,88,0
1527743701,106,0
1527747302,145,0
1527750901,113,0
1527754502,149,0
1527758102,119,0
1527761701,107,0
1527765302,106,0
1527768901,111,0
1527772501,84,0
1527776102,109,0
1527779701,82,0
1527783302,103,0
1527786902,99,0
1527790501,94,0
1527794101,120,0
1527797701,102,0
1527801301,123,0
1527804902,118,0
1527809402,125,0
1527813002,66,4303
1527816602,80,0
1527820202,114,0
1527823802,90,0
1527827401,102,0
1527831002,101,0
1527834602,394,0
1527838202,107,0
1527841801,116,0
1527845402,167,0
1527849001,220,0
1527852602,114,0
1527856201,141,0
1527859802,111,0
1527863402,179,0
1527867002,86,0
1527870601,135,0
1527874201,280,0
1527877802,87,0
1527881401,83,0
1527885002,74,0
1527888602,96,0
1527892202,80,0
1527895802,70,0
1527899402,89,2462
1527903001,81,0
1527906601,77,0
1527910201,72,0
1527914702,111,0
1527919202,125,0
1527923702,103,0
1527927302,121,0
1527930901,0,0
1527934502,127,0
1527938101,95,0
1527941701,109,0
1527945302,124,0
1527948902,89,0
1527952502,88,0
1527956101,71,0
1527959702,80,0
1527963302,92,0
1527966902,69,0
1527970501,82,0
1527974101,81,0
1527977702,90,0
1527981302,92,0
1527985802,78,3073
1527989401,86,0
1527993001,84,0
1527996602,81,0
1528000202,109,0
1528003802,102,0
1528007401,98,0
1528011001,111,0
1528014601,110,0
1528018202,109,0
1528021802,83,0
1528025402,134,0
1528029001,92,0
1528032602,77,0
1528036202,94,0
1528039801,79,0
1528043401,97,0
1528047902,113,0
1528051502,74,0
1528055102,86,0
1528058701,81,0
1528062301,77,0
1528065902,67,0
1528069502,88,0
1528073101,80,2187
1528076702,92,0
1528080302,102,0
1528083902,97,0
1528087502,129,0
1528091102,136,0
1528094701,460,0
1528098302,214,0
1528101902,183,0
1528105502,229,0
1528109101,176,0
1528112702,191,0
1528116302,185,0
1528119902,115,0
1528123502,92,0
1528128001,139,0
1528131602,87,0
1528135202,79,0
1528138802,359,0
1528142402,382,0
1528146002,230,0
1528149602,124,0
1528153202,121,0
1528156802,100,2014
1528160402,103,0
1528164002,87,0
1528167602,125,0
1528171202,132,0
1528174801,128,0
1528178402,162,0
1528182002,110,0
1528185602,156,0
1528189202,116,0
1528192802,133,0
1528196402,139,0
1528200002,126,0
1528203601,130,0
1528207202,108,0
1528210803,104,0
1528214402,118,0
1528218002,90,0
1528221601,91,0
1528225203,98,0
1528228802,81,0
1528232402,75,0
1528236002,78,0
1528239602,79,0
1528243202,97,3970
1528246802,92,0
1528250401,87,0
1528254002,96,0
1528257602,103,0
1528261202,87,0
1528264801,103,0
1528268401,149,0
1528272002,178,0
1528275602,373,0
1528279202,226,0
1528282802,233,0
1528286402,144,0
1528290002,179,0
1528293601,190,0
1528297202,170,0
1528300802,92,0
1528304402,99,0
1528308002,70,0
1528313402,125,0
1528317901,116,0
1528322401,98,0
1528329602,156,2778
1528335001,271,0
1528338602,127,0
1528342202,85,0
1528345801,96,0
1528349401,103,0
1528353002,126,0
1528356602,123,0
1528360202,172,0
1528363802,167,0
1528367402,136,0
1528371002,135,0
1528374602,251,0
1528378202,138,0
1528381801,102,0
1528385402,108,0
1528389002,103,0
1528392602,100,0
1528396201,102,0
1528399802,71,0
1528403402,175,0
1528407001,108,0
1528410602,85,0
1528414202,73,0
1528417802,55,3127
1528421401,103,0
1528425001,84,0
1528428602,96,0
1528432202,101,0
1528435802,104,0
1528439402,107,0
1528443002,88,0
1528446601,139,0
1528450202,140,0
1528453802,158,0
1528457401,123,0
1528461002,120,0
1528464602,143,0
1528469102,184,0
1528472701,154,0
1528476302,138,0
1528479902,121,0
1528483502,142,0
1528487102,118,1
1528490702,88,0
1528494302,98,0
1528498802,135,0
1528502402,68,3072
1528506002,116,0
1528509602,145,0
1528513202,118,0
1528516802,126,0
1528520402,140,0
1528524002,145,0
1528527602,171,0
1528531202,127,0
1528534802,120,0
1528538402,183,0
1528542002,133,0
1528545602,112,0
1528549202,125,0
1528552802,103,0
1528556402,94,0
1528560002,91,0
1528563602,102,0
1528567202,87,0
1528570802,104,0
1528574402,105,0
1528578002,91,0
1528581602,93,0
1528586101,99,0
1528589701,98,2724
1528593301,78,0
1528596902,120,0
1528600502,95,0
1528604102,105,0
1528607702,72,0
1528611301,100,0
1528614902,85,0
1528618502,82,0
1528622102,104,0
1528625702,220,0
1528629302,337,0
1528632902,210,0
1528636501,192,0
1528640101,150,0
1528643701,59,0
1528647302,77,0
1528650902,89,0
1528654501,70,0
1528658102,80,0
1528661701,84,0
1528666202,107,0
1528669802,81,0
1528673402,65,0
1528677002,85,2718
1528680602,130,0
1528684201,132,0
1528687802,113,0
1528691402,87,0
1528695002,121,0
1528698602,135,0
1528702201,126,0
1528705802,131,0
1528709401,170,0
